step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
100,12,8e-6,5.802121,331.0009,678.15,0.4392,30.169701
200,25,1.6666667e-5,4.864155,129.5614,60.60,0.0371,25.152132
300,37,2.4666666e-5,4.016203,55.4900,34.58,0.0223,20.730478
400,50,3.3333334e-5,3.419533,30.5552,34.99,0.0218,17.774376
500,62,4.1333333e-5,3.011357,20.3150,36.13,0.0234,15.663092
600,75,5e-5,2.667378,14.4022,59.79,0.0376,13.899729
700,87,5.7999998e-5,2.395723,10.9761,98.22,0.0600,12.424982
800,100,6.666667e-5,2.187228,8.9105,35.34,0.0221,11.459002
900,112,7.466666e-5,2.000362,7.3917,34.63,0.0215,10.337953
1000,125,8.333333e-5,1.890296,6.6213,35.38,0.0239,9.896682
1100,137,9.1333335e-5,1.782722,5.9460,40.23,0.0236,9.273127
1200,150,9.999986e-5,1.655750,5.2370,34.24,0.0220,8.524752
1300,162,9.999983e-5,1.551832,4.7201,34.46,0.0225,8.061352
1400,175,9.99998e-5,1.493275,4.4517,34.81,0.0224,7.719723
1500,187,9.999979e-5,1.429300,4.1758,76.63,0.0504,7.446481
1600,200,9.999974e-5,1.430161,4.1794,34.63,0.0227,7.524970
1700,212,9.9999714e-5,1.348676,3.8523,35.03,0.0215,7.002745
1800,225,9.9999685e-5,1.328025,3.7736,36.68,0.0212,6.919362
1900,237,9.999964e-5,1.283993,3.6110,34.50,0.0220,6.715239
2000,250,9.99996e-5,1.247052,3.4801,35.24,0.0220,6.497764
2100,262,9.999957e-5,1.232114,3.4285,39.04,0.0245,6.457182
2200,275,9.9999525e-5,1.199197,3.3175,36.14,0.0207,6.230068
2300,287,9.999948e-5,1.153579,3.1695,35.76,0.0239,6.000301
2400,300,9.999944e-5,1.168588,3.2174,35.65,0.0232,6.105574
2500,312,9.999939e-5,1.107424,3.0266,34.77,0.0209,5.728886
2600,325,9.9999335e-5,1.096032,2.9923,35.25,0.0222,5.697470
2700,337,9.999928e-5,1.107646,3.0272,34.94,0.0220,5.849347
2800,350,9.999923e-5,1.080154,2.9451,34.53,0.0216,5.603697
2900,362,9.9999175e-5,1.053622,2.8680,34.73,0.0225,5.486294
3000,375,9.999912e-5,1.009545,2.7444,34.71,0.0233,5.198227
3100,387,9.999906e-5,1.026555,2.7914,39.04,0.0254,5.354723
3200,400,9.9998986e-5,1.035672,2.8170,34.68,0.0226,5.417888
3300,412,9.999893e-5,1.006687,2.7365,34.70,0.0208,5.228600
3400,425,9.999887e-5,1.011915,2.7509,34.49,0.0219,5.255266
3500,437,9.99988e-5,0.973557,2.6473,34.13,0.0230,5.101025
3600,450,9.9998724e-5,0.977091,2.6567,34.48,0.0215,5.092184
3700,462,9.999865e-5,0.973124,2.6462,35.27,0.0201,5.023790
3800,475,9.999858e-5,0.944868,2.5725,34.64,0.0218,4.951148
3900,487,9.9998506e-5,0.961318,2.6151,35.37,0.0221,4.993649
4000,500,9.999842e-5,0.944756,2.5722,36.05,0.0214,4.910203
4100,512,9.9998346e-5,0.921717,2.5136,39.19,0.0244,4.781412
4200,525,9.999826e-5,0.932039,2.5397,34.98,0.0219,4.832429
4300,537,9.999817e-5,0.901542,2.4634,34.79,0.0221,4.686677
4400,550,9.99981e-5,0.927259,2.5276,35.37,0.0215,4.872980
4500,562,9.999801e-5,0.880775,2.4128,34.37,0.0229,4.572122
4600,575,9.999791e-5,0.913468,2.4930,36.16,0.0222,4.791794
4700,587,9.999782e-5,0.880466,2.4120,35.36,0.0217,4.561552
4800,600,9.999772e-5,0.890544,2.4365,35.89,0.0226,4.682703
4900,612,9.999763e-5,0.881008,2.4133,34.48,0.0219,4.620462
5000,625,9.999753e-5,0.879894,2.4106,33.99,0.0235,4.580443
5100,637,9.999744e-5,0.888913,2.4325,41.12,0.0258,4.663408
5200,650,9.999733e-5,0.912334,2.4901,35.62,0.0219,4.760364
5300,662,9.999724e-5,0.830674,2.2949,34.07,0.0233,4.297795
5400,675,9.999712e-5,0.886422,2.4264,36.27,0.0212,4.619291
5500,687,9.999702e-5,0.863847,2.3723,34.08,0.0226,4.531300
5600,700,9.9996905e-5,0.845428,2.3290,34.80,0.0228,4.413417
5700,712,9.99968e-5,0.857087,2.3563,35.25,0.0206,4.474936
5800,725,9.999669e-5,0.841087,2.3189,34.87,0.0221,4.415827
5900,737,9.999657e-5,0.832890,2.3000,34.33,0.0230,4.322469
6000,750,9.9996454e-5,0.823935,2.2795,34.84,0.0215,4.284277
6100,762,9.999634e-5,0.800809,2.2273,39.30,0.0257,4.159651
6200,775,9.999621e-5,0.830227,2.2938,34.61,0.0228,4.318199
6300,787,9.999609e-5,0.825707,2.2835,34.85,0.0217,4.332315
6400,800,9.999596e-5,0.791412,2.2065,34.91,0.0222,4.130141
6500,812,9.999584e-5,0.826895,2.2862,34.84,0.0215,4.325221
6600,825,9.99957e-5,0.826517,2.2853,34.47,0.0211,4.325289
6700,837,9.999558e-5,0.805088,2.2369,34.38,0.0213,4.179908
6800,850,9.9995435e-5,0.787090,2.1970,33.87,0.0225,4.111729
6900,862,9.9995304e-5,0.809672,2.2472,34.53,0.0225,4.255990
7000,875,9.999516e-5,0.822124,2.2753,35.24,0.0207,4.287121
7100,887,9.999503e-5,0.813025,2.2547,41.73,0.0263,4.266797
7200,900,9.999488e-5,0.809082,2.2458,35.96,0.0211,4.204428
7300,912,9.999474e-5,0.783735,2.1896,35.34,0.0226,4.101356
7400,925,9.999459e-5,0.784246,2.1908,34.17,0.0222,4.124688
7500,937,9.999446e-5,0.770345,2.1605,34.71,0.0223,3.985547
7600,950,9.99943e-5,0.777889,2.1769,35.31,0.0217,4.034000
7700,962,9.9994155e-5,0.780430,2.1824,36.06,0.0228,4.107232
7800,975,9.9993995e-5,0.770170,2.1601,36.33,0.0221,4.031437
7900,987,9.999385e-5,0.770822,2.1615,36.13,0.0205,3.998275
8000,1000,9.9993675e-5,0.748194,2.1132,35.09,0.0226,3.903531
8100,1012,9.999353e-5,0.759170,2.1365,68.33,0.0435,3.981910
8200,1025,9.999337e-5,0.769988,2.1597,47.21,0.0291,4.040797
8300,1037,9.999321e-5,0.754194,2.1259,34.83,0.0216,3.932205
8400,1050,9.9993034e-5,0.755610,2.1289,35.19,0.0218,3.939972
8500,1062,9.9992874e-5,0.741906,2.0999,35.47,0.0222,3.869991
8600,1075,9.99927e-5,0.745231,2.1069,36.08,0.0228,3.926095
8700,1087,9.999254e-5,0.733441,2.0822,35.67,0.0231,3.835796
8800,1100,9.9992365e-5,0.734288,2.0840,35.10,0.0212,3.820860
8900,1112,9.999219e-5,0.738823,2.0935,35.65,0.0219,3.832325
9000,1125,9.9992e-5,0.735529,2.0866,36.21,0.0231,3.851199
9100,1137,9.999184e-5,0.722881,2.0604,38.81,0.0244,3.757631
9200,1150,9.999165e-5,0.726473,2.0678,35.19,0.0213,3.778338
9300,1162,9.999148e-5,0.750495,2.1180,35.11,0.0215,3.923103
