step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
100,12,8e-6,5.649360,284.1096,373.17,0.2417,29.372332
200,25,1.6666667e-5,4.762910,117.0862,57.11,0.0350,24.630632
300,37,2.4666666e-5,4.014772,55.4107,42.62,0.0275,20.722807
400,50,3.3333334e-5,3.449373,31.4806,43.97,0.0273,17.928246
500,62,4.1333333e-5,3.020455,20.5006,44.49,0.0288,15.710092
600,75,5e-5,2.649877,14.1523,51.70,0.0325,13.807986
700,87,5.7999998e-5,2.368400,10.6803,51.48,0.0315,12.284348
800,100,6.666667e-5,2.154066,8.6198,47.49,0.0297,11.286674
900,112,7.466666e-5,1.962274,7.1155,47.10,0.0292,10.141638
1000,125,8.333333e-5,1.858325,6.4130,46.42,0.0314,9.730609
1100,137,9.1333335e-5,1.753228,5.7732,53.84,0.0316,9.120626
1200,150,9.999986e-5,1.623055,5.0686,42.28,0.0272,8.358116
1300,162,9.999983e-5,1.533660,4.6351,42.40,0.0277,7.968951
1400,175,9.99998e-5,1.470045,4.3494,47.93,0.0309,7.601338
1500,187,9.999979e-5,1.411950,4.1040,50.17,0.0330,7.357217
1600,200,9.999974e-5,1.420399,4.1388,46.73,0.0307,7.475107
1700,212,9.9999714e-5,1.337585,3.8098,47.17,0.0290,6.946278
1800,225,9.9999685e-5,1.323078,3.7550,49.11,0.0284,6.895232
1900,237,9.999964e-5,1.268639,3.5560,46.82,0.0299,6.635803
2000,250,9.99996e-5,1.240481,3.4573,46.68,0.0291,6.464526
2100,262,9.999957e-5,1.227433,3.4125,53.97,0.0339,6.433179
2200,275,9.9999525e-5,1.196002,3.3069,48.19,0.0276,6.215027
2300,287,9.999948e-5,1.140280,3.1276,46.27,0.0309,5.931767
2400,300,9.999944e-5,1.153545,3.1694,47.05,0.0307,6.028695
2500,312,9.999939e-5,1.097635,2.9971,48.33,0.0291,5.681043
2600,325,9.9999335e-5,1.080416,2.9459,46.84,0.0295,5.616632
2700,337,9.999928e-5,1.101727,3.0094,46.27,0.0292,5.819620
2800,350,9.999923e-5,1.069002,2.9125,46.41,0.0291,5.546299
2900,362,9.9999175e-5,1.045757,2.8456,45.32,0.0293,5.445335
3000,375,9.999912e-5,1.002234,2.7244,45.36,0.0305,5.161418
3100,387,9.999906e-5,1.013872,2.7563,52.96,0.0345,5.288670
3200,400,9.9998986e-5,1.021236,2.7766,45.91,0.0299,5.344003
3300,412,9.999893e-5,0.989349,2.6895,46.89,0.0281,5.140110
