step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-6,4.904070,134.8374,2351.72,1.4664,0.208485,0.546386,25.710743
20,20,4e-6,4.756441,116.3311,2485.00,1.5652,0.195285,0.489753,24.149378
30,30,5.9999998e-6,4.616290,101.1182,2471.36,1.4765,0.186757,0.424774,24.442793
40,40,8e-6,4.430882,84.0055,2385.55,1.5352,0.165776,0.338348,22.475246
50,50,1e-5,4.219903,68.0269,2132.78,1.5056,0.142326,0.255495,21.734032
60,60,1.19999995e-5,4.087811,59.6092,2414.46,1.5351,0.129538,0.211599,21.071306
70,70,1.3999999e-5,3.961261,52.5235,2380.59,1.4706,0.121022,0.179689,21.040188
80,80,1.6e-5,3.873569,48.1138,2179.90,1.5005,0.111936,0.158225,20.005293
90,90,1.8e-5,3.773943,43.5515,2177.30,1.4438,0.104695,0.123005,19.964474
100,100,2e-5,3.712829,40.9695,2093.14,1.5182,0.095769,0.095689,19.164757
110,110,2.2e-5,3.662326,38.9518,2471.37,1.5091,0.092050,0.079039,18.956470
120,120,2.3999999e-5,3.577245,35.7749,2353.55,1.5288,0.088322,0.069515,18.284826
130,130,2.5999998e-5,3.573952,35.6572,2312.42,1.4870,0.091425,0.057334,18.644138
140,140,2.7999999e-5,3.488703,32.7435,2953.58,1.5022,0.091365,0.052789,17.939905
150,150,3.0000001e-5,3.476418,32.3437,2297.37,1.5053,0.094164,0.053905,17.805290
160,160,3.2e-5,3.435349,31.0422,2293.10,1.5305,0.101347,0.044477,17.569263
170,170,3.4e-5,3.383718,29.4802,2749.55,1.4695,0.110208,0.046867,17.640820
180,180,3.6e-5,3.324787,27.7931,2288.91,1.4996,0.119193,0.045392,17.046558
190,190,3.8e-5,3.327995,27.8824,2522.82,1.4881,0.130044,0.049548,17.327274
200,200,4e-5,3.263896,26.1512,2441.98,1.5139,0.135421,0.047342,16.560604
210,210,4.1999996e-5,3.231279,25.3120,2772.52,1.5168,0.153294,0.051422,16.452953
220,220,4.4e-5,3.206029,24.6809,2400.01,1.5124,0.157147,0.050194,16.327913
230,230,4.6e-5,3.159414,23.5568,2292.15,1.4637,0.163309,0.051501,16.610920
240,240,4.7999998e-5,3.107420,22.3633,2412.01,1.4890,0.184197,0.053250,16.262655
250,250,5e-5,3.088972,21.9545,2604.50,1.4919,0.189334,0.053424,16.002432
260,260,5.1999996e-5,3.101303,22.2269,2078.46,1.5026,0.197739,0.057160,15.872431
270,270,5.4e-5,3.007331,20.2333,2296.56,1.5056,0.202541,0.048376,15.378322
280,280,5.5999997e-5,3.006406,20.2146,2127.53,1.5180,0.226603,0.054260,15.561223
290,290,5.7999998e-5,2.939532,18.9070,2042.40,1.5151,0.249038,0.054345,15.077894
300,300,6.0000002e-5,2.930835,18.7433,2035.05,1.4781,0.275448,0.057846,15.438095
310,310,6.2e-5,2.863323,17.5196,1999.02,1.4816,0.303965,0.060434,15.111115
320,320,6.4e-5,2.869870,17.6347,2070.44,1.4814,0.336018,0.064613,15.121376
330,330,6.6e-5,2.753008,15.6898,2305.51,1.4959,0.339621,0.062034,14.230879
340,340,6.8e-5,2.751582,15.6674,2578.46,1.5010,0.377562,0.068613,14.345325
350,350,6.9999995e-5,2.735952,15.4244,2797.94,1.5516,0.396157,0.071980,13.773746
360,360,7.2e-5,2.670328,14.4447,2020.14,1.5073,0.380540,0.061877,13.790517
370,370,7.3999996e-5,2.679939,14.5842,2955.54,1.5506,0.413318,0.066946,13.750101
380,380,7.6e-5,2.664869,14.3661,2698.62,1.4910,0.398153,0.061588,14.092859
390,390,7.8e-5,2.592257,13.3599,2960.67,1.5618,0.420119,0.062131,13.193906
400,400,8e-5,2.578223,13.1737,2116.04,1.4886,0.472178,0.069322,13.520742
410,410,8.2e-5,2.577483,13.1640,2119.79,1.4621,0.468537,0.062839,13.644641
420,420,8.399999e-5,2.476497,11.8995,2346.71,1.5418,0.446513,0.058349,12.721722
430,430,8.6e-5,2.403180,11.0583,2155.35,1.5484,0.485593,0.061854,12.163451
440,440,8.8e-5,2.426840,11.3230,2054.73,1.5146,0.515760,0.067695,12.411937
450,450,8.9999994e-5,2.443325,11.5113,2615.72,1.4859,0.529468,0.067829,12.923335
460,460,9.2e-5,2.403308,11.0597,2766.65,1.5042,0.519787,0.065294,12.639750
470,470,9.3999995e-5,2.394274,10.9602,2590.82,1.4823,0.545817,0.069604,12.519258
480,480,9.5999996e-5,2.349844,10.4839,1905.67,1.5212,0.518250,0.066178,12.075597
490,490,9.8e-5,2.292320,9.8979,2171.65,1.4841,0.510604,0.063697,12.019089
500,500,9.992107e-5,2.277174,9.7491,2485.64,1.5097,0.511602,0.064976,11.873341
510,510,9.9917874e-5,2.294465,9.9191,2399.06,1.5107,0.524809,0.065543,11.842730
520,520,9.991463e-5,2.224091,9.2451,2818.76,1.5697,0.515877,0.064255,11.264066
530,530,9.991132e-5,2.222786,9.2330,2542.02,1.5352,0.506923,0.059316,11.444489
540,540,9.990794e-5,2.187442,8.9124,2174.81,1.4671,0.502399,0.059788,11.600252
550,550,9.990449e-5,2.117935,8.3139,2193.46,1.5028,0.494131,0.063511,11.037436
560,560,9.990099e-5,2.132226,8.4336,2448.08,1.5259,0.544496,0.062484,10.982080
570,570,9.989743e-5,2.162431,8.6922,2974.66,1.5085,0.570619,0.069705,11.390549
580,580,9.98938e-5,2.142654,8.5220,2290.55,1.4968,0.481332,0.060405,11.259977
590,590,9.989011e-5,2.073363,7.9515,2009.29,1.4787,0.489445,0.061514,10.930108
600,600,9.9886354e-5,2.069198,7.9185,2103.11,1.5085,0.519908,0.061806,10.824838
610,610,9.9882534e-5,2.046402,7.7400,2236.84,1.5319,0.519564,0.063553,10.494977
620,620,9.987865e-5,2.005731,7.4315,2528.76,1.5078,0.550445,0.067082,10.419006
630,630,9.987471e-5,2.059907,7.8452,2312.08,1.5115,0.536835,0.066735,10.706906
640,640,9.987071e-5,2.012500,7.4820,2673.42,1.5343,0.518287,0.063572,10.219741
650,650,9.986664e-5,2.001357,7.3991,2035.09,1.4820,0.539871,0.069692,10.618773
660,660,9.9862504e-5,2.000961,7.3962,3091.42,1.4970,0.556976,0.074041,10.578513
670,670,9.9858305e-5,1.988040,7.3012,2512.71,1.5570,0.518953,0.063431,10.021143
680,680,9.985405e-5,2.018924,7.5302,2762.70,1.5337,0.538468,0.067927,10.480141
690,690,9.984973e-5,1.986220,7.2879,2071.00,1.5135,0.510105,0.064272,10.257489
700,700,9.984534e-5,1.952901,7.0491,2752.77,1.5178,0.520312,0.067151,10.119329
710,710,9.9840894e-5,1.934646,6.9216,2625.70,1.4884,0.515388,0.066978,10.105570
720,720,9.983638e-5,1.901224,6.6941,2140.05,1.5350,0.512134,0.062559,9.690642
730,730,9.9831814e-5,1.899843,6.6848,2260.25,1.4882,0.533317,0.065122,10.019807
740,740,9.982717e-5,1.925269,6.8570,3128.48,1.5460,0.539678,0.069064,9.835020
750,750,9.982248e-5,1.932218,6.9048,2779.58,1.5410,0.499658,0.069374,9.928267
760,760,9.981771e-5,1.923523,6.8450,2145.25,1.4857,0.527429,0.071465,10.163933
770,770,9.981289e-5,1.925660,6.8597,1988.60,1.4359,0.527969,0.068870,10.426546
780,780,9.980801e-5,1.825152,6.2037,2478.60,1.4867,0.518444,0.068368,9.506880
790,790,9.980305e-5,1.886398,6.5956,2183.20,1.4721,0.545934,0.075853,9.985989
800,800,9.979804e-5,1.904410,6.7154,2252.75,1.5226,0.513137,0.064756,9.770150
810,810,9.979297e-5,1.851691,6.3706,3017.59,1.5064,0.533649,0.065716,9.693289
820,820,9.978782e-5,1.805349,6.0821,2128.06,1.5365,0.522477,0.067633,9.235716
830,830,9.978262e-5,1.779670,5.9279,2090.00,1.5136,0.541708,0.071533,9.174047
840,840,9.977736e-5,1.781341,5.9378,2351.08,1.5672,0.534898,0.071709,8.970316
850,850,9.9772034e-5,1.772970,5.8883,2467.18,1.5256,0.553226,0.072197,9.158049
860,860,9.9766636e-5,1.828646,6.2255,2853.80,1.5410,0.549202,0.071021,9.325364
870,870,9.9761186e-5,1.831139,6.2410,2401.70,1.5129,0.570341,0.074649,9.432428
880,880,9.975567e-5,1.809811,6.1093,2160.05,1.4774,0.567293,0.075050,9.545452
890,890,9.975009e-5,1.774493,5.8973,2495.47,1.5220,0.571146,0.073924,9.172998
900,900,9.974445e-5,1.793720,6.0118,2495.75,1.5026,0.568725,0.074099,9.303745
