step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,4.611053,100.5900,648.80,0.5212,0.082747,0.417241,28.659985
20,20,4e-5,4.464890,86.9115,588.48,0.4755,0.060150,0.224490,30.125813
30,30,6.0000002e-5,4.377059,79.6036,587.88,0.4725,0.048920,0.141372,29.580618
40,40,8e-5,4.263633,71.0677,565.81,0.4942,0.043306,0.102932,28.315495
50,50,1e-4,4.204635,66.9961,624.43,0.5480,0.044261,0.096659,24.260864
60,60,1.20000004e-4,4.113662,61.1703,678.71,0.5540,0.045920,0.078753,23.346596
70,70,1.3999999e-4,4.044917,57.1065,647.72,0.5212,0.051024,0.073833,24.808191
80,80,1.6e-4,3.973403,53.1651,654.56,0.5281,0.051974,0.063524,23.997295
90,90,1.7999999e-4,3.907064,49.7527,608.71,0.4930,0.056256,0.061228,25.575785
100,100,2e-4,3.819889,45.5991,644.65,0.5186,0.053063,0.049585,23.463329
110,110,2.2e-4,3.753852,42.6852,595.12,0.5214,0.049852,0.044444,22.298145
120,120,2.4000001e-4,3.672411,39.3467,632.92,0.5101,0.051974,0.041441,22.264843
130,130,2.5999997e-4,3.602567,36.6923,608.21,0.5107,0.051497,0.041758,22.278585
140,140,2.7999998e-4,3.601658,36.6590,596.14,0.4798,0.055003,0.045307,23.627285
150,150,2.9999999e-4,3.525059,33.9558,570.99,0.4597,0.052414,0.039490,24.128345
160,160,3.2e-4,3.486382,32.6675,578.19,0.4689,0.055384,0.039940,23.593090
170,170,3.4e-4,3.410542,30.2816,577.27,0.4994,0.051635,0.033993,21.567545
180,180,3.5999998e-4,3.329859,27.9344,603.50,0.4864,0.054293,0.037277,21.389610
190,190,3.7999998e-4,3.301689,27.1585,613.17,0.4955,0.059422,0.048595,20.970184
200,200,3.9990622e-4,3.252567,25.8566,566.00,0.4892,0.061182,0.055277,20.948330
210,210,3.998966e-4,3.206204,24.6852,622.09,0.5006,0.058041,0.054235,19.929138
220,220,3.9988657e-4,3.173727,23.8964,594.59,0.4779,0.061519,0.047297,20.893820
230,230,3.99876e-4,3.120984,22.6687,599.89,0.4829,0.062291,0.039720,20.247286
240,240,3.99865e-4,3.061303,21.3554,620.83,0.5143,0.065185,0.041668,18.833691
250,250,3.9985348e-4,3.046571,21.0431,628.47,0.5070,0.072928,0.043485,18.851665
260,260,3.9984155e-4,3.068724,21.5144,554.66,0.4881,0.080696,0.049039,19.926712
270,270,3.9982912e-4,2.999006,20.0656,629.60,0.5101,0.085452,0.047193,18.535231
280,280,3.9981626e-4,2.978600,19.6603,671.96,0.5399,0.085144,0.039007,17.185474
290,290,3.998029e-4,2.971056,19.5125,578.36,0.4856,0.092434,0.045126,19.061611
300,300,3.9978907e-4,2.938659,18.8905,551.59,0.4429,0.102305,0.039961,21.173471
310,310,3.9977476e-4,2.952899,19.1614,554.49,0.4686,0.116523,0.052765,20.082657
320,320,3.9976003e-4,2.925053,18.6352,615.45,0.5093,0.130561,0.054394,18.132442
330,330,3.9974478e-4,2.869020,17.6197,627.85,0.5072,0.139088,0.049452,17.519535
340,340,3.997291e-4,2.849046,17.2713,554.42,0.4874,0.150030,0.056382,18.343060
350,350,3.9971294e-4,2.808610,16.5868,589.50,0.4986,0.152142,0.053993,17.977726
360,360,3.996963e-4,2.807513,16.5687,616.05,0.4969,0.175284,0.055541,17.691916
370,370,3.9967918e-4,2.795918,16.3777,608.70,0.4907,0.191656,0.060187,18.243546
380,380,3.996616e-4,2.741522,15.5106,602.31,0.4992,0.192320,0.066220,17.211325
390,390,3.9964358e-4,2.767453,15.9180,609.92,0.4913,0.195842,0.061577,17.708788
400,400,3.9962507e-4,2.745265,15.5687,594.22,0.4930,0.205908,0.069206,17.737524
410,410,3.996061e-4,2.708377,15.0049,567.38,0.4888,0.209274,0.059868,17.462294
420,420,3.9958666e-4,2.748065,15.6124,610.78,0.4916,0.216437,0.065895,17.488239
430,430,3.9956675e-4,2.683593,14.6376,610.96,0.4907,0.237836,0.075579,17.226414
440,440,3.9954635e-4,2.679800,14.5822,589.58,0.4783,0.226124,0.068342,17.498003
450,450,3.995255e-4,2.669364,14.4308,590.06,0.5050,0.235972,0.065828,16.577312
460,460,3.995042e-4,2.687117,14.6893,690.92,0.5553,0.246706,0.074719,15.044474
470,470,3.9948244e-4,2.695890,14.8187,579.96,0.5122,0.246134,0.071225,16.277561
480,480,3.9946017e-4,2.646691,14.1073,546.66,0.4402,0.253849,0.069855,18.967516
490,490,3.9943747e-4,2.631294,13.8917,602.76,0.5150,0.257558,0.072813,15.915950
500,500,3.9941428e-4,2.610648,13.6079,636.64,0.5122,0.241450,0.065727,15.864845
510,510,3.993906e-4,2.559012,12.9230,682.56,0.5489,0.235944,0.069543,14.421857
520,520,3.9936652e-4,2.562483,12.9680,649.04,0.5226,0.270802,0.079659,15.317472
530,530,3.9934192e-4,2.611662,13.6217,596.68,0.4861,0.268959,0.081277,16.823408
540,540,3.9931686e-4,2.605768,13.5416,598.99,0.4840,0.264614,0.081929,16.904255
550,550,3.9929137e-4,2.578561,13.1782,597.36,0.4815,0.270545,0.086499,16.947258
560,560,3.9926538e-4,2.634367,13.9345,584.19,0.4959,0.280451,0.090790,16.549767
570,570,3.9923892e-4,2.541497,12.6987,555.76,0.4877,0.265554,0.082793,16.521421
580,580,3.99212e-4,2.513330,12.3460,673.14,0.5423,0.261113,0.090267,14.413608
590,590,3.9918462e-4,2.503381,12.2238,569.21,0.4892,0.282424,0.090642,15.998197
600,600,3.9915676e-4,2.564523,12.9945,572.44,0.4612,0.298085,0.096956,17.463879
610,610,3.9912842e-4,2.557425,12.9025,542.10,0.5075,0.283540,0.106288,15.876913
620,620,3.9909966e-4,2.479700,11.9377,581.52,0.4681,0.305620,0.095349,16.795357
630,630,3.9907038e-4,2.509705,12.3013,581.43,0.4982,0.285174,0.096100,15.799925
640,640,3.9904067e-4,2.513363,12.3464,589.06,0.5149,0.294881,0.096519,15.123079
650,650,3.9901052e-4,2.533587,12.5986,623.72,0.5035,0.294677,0.089594,15.897797
660,660,3.9897984e-4,2.482917,11.9761,607.57,0.4895,0.294739,0.095945,15.811014
670,670,3.9894873e-4,2.469449,11.8159,531.69,0.4902,0.330529,0.099052,16.036682
680,680,3.9891715e-4,2.488198,12.0396,615.68,0.4956,0.307479,0.092417,15.663198
690,690,3.9888508e-4,2.506164,12.2578,605.60,0.4949,0.311617,0.101333,15.790622
700,700,3.9885257e-4,2.543387,12.7227,526.93,0.4615,0.328822,0.101982,17.438986
710,710,3.9881957e-4,2.454885,11.6451,570.62,0.4825,0.320829,0.103417,16.028572
720,720,3.9878616e-4,2.473292,11.8614,591.76,0.4777,0.326804,0.103206,16.292210
730,730,3.9875222e-4,2.464901,11.7623,609.44,0.5360,0.312798,0.094226,14.432790
740,740,3.9871782e-4,2.456153,11.6599,654.76,0.5269,0.301623,0.091026,14.524023
750,750,3.9868298e-4,2.430090,11.3599,607.54,0.4960,0.319689,0.100245,15.257986
760,760,3.9864768e-4,2.442660,11.5036,606.01,0.4882,0.309689,0.098347,15.747952
770,770,3.986119e-4,2.468194,11.8011,537.00,0.4590,0.342635,0.115486,16.903873
780,780,3.9857565e-4,2.482841,11.9752,583.70,0.4689,0.350487,0.109571,16.713398
790,790,3.9853895e-4,2.402948,11.0557,588.44,0.4783,0.333289,0.099312,15.875547
800,800,3.985018e-4,2.483531,11.9835,567.06,0.4564,0.346285,0.115940,17.139370
810,810,3.9846415e-4,2.370531,10.7031,579.08,0.4675,0.344241,0.115452,15.970469
820,820,3.9842605e-4,2.441330,11.4883,593.59,0.4781,0.354986,0.111257,16.275183
830,830,3.9838746e-4,2.507987,12.2802,596.05,0.4800,0.338520,0.104392,16.605808
840,840,3.9834843e-4,2.528878,12.5394,592.76,0.4769,0.338927,0.100320,16.592426
850,850,3.9830897e-4,2.445233,11.5332,578.25,0.4652,0.372711,0.106794,16.660833
860,860,3.9826898e-4,2.420999,11.2571,555.12,0.4463,0.370128,0.107658,17.126736
870,870,3.9822856e-4,2.386374,10.8740,586.38,0.4718,0.366311,0.102058,15.831195
880,880,3.9818764e-4,2.468995,11.8106,571.84,0.4979,0.353831,0.110893,15.855870
890,890,3.981463e-4,2.486495,12.0191,594.17,0.4896,0.361101,0.123080,15.830534
900,900,3.981045e-4,2.440513,11.4789,586.48,0.4723,0.369250,0.120328,16.210636
910,910,3.980622e-4,2.358572,10.5758,649.54,0.5235,0.334818,0.108026,14.150110
920,920,3.9801945e-4,2.386708,10.8776,585.03,0.4834,0.364030,0.105755,15.449430
