step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.611991,273.6886,8506.05,8.4336,0.000199,0.037598,34.240318
20,20,2e-5,4.926682,137.9212,8150.31,8.1281,0.001131,0.037210,32.875366
30,30,3.0000001e-5,3.998001,54.4891,8147.17,8.0871,0.001486,0.034595,28.631252
40,40,4e-5,3.233680,25.3729,7758.02,8.3835,0.001238,0.030711,20.343801
50,50,5e-5,2.951713,19.1387,8182.41,8.1379,0.001291,0.029148,20.147953
60,60,6.0000002e-5,2.717313,15.1396,8231.44,8.5852,0.001483,0.026739,15.585048
70,70,6.9999995e-5,2.430551,11.3651,8684.16,8.6706,0.001546,0.024694,13.695549
80,80,8e-5,2.453149,11.6249,8494.88,8.5584,0.001785,0.024522,14.349095
90,90,8.9999994e-5,2.393784,10.9549,8436.40,8.4134,0.001682,0.023810,14.738317
100,100,1e-4,2.225472,9.2578,8470.93,8.4265,0.001813,0.023001,13.747182
110,110,1.1e-4,2.176478,8.8152,7744.91,8.2218,0.002164,0.023306,14.507291
120,120,1.20000004e-4,2.114272,8.2836,8273.90,8.4069,0.002235,0.022724,13.106468
130,130,1.2999999e-4,2.127382,8.3929,7969.48,8.5650,0.002457,0.022954,12.591329
140,140,1.3999999e-4,2.037893,7.6744,8351.51,8.2964,0.002395,0.022680,12.541766
150,150,1.4999999e-4,1.981858,7.2562,8023.62,8.3498,0.002680,0.022431,12.037741
160,160,1.6e-4,1.984804,7.2776,8395.18,8.3641,0.002830,0.022498,12.216528
170,170,1.7e-4,2.093812,8.1158,7518.24,8.2058,0.002859,0.022878,13.316462
180,180,1.7999999e-4,1.988255,7.3028,8134.96,8.0907,0.002940,0.021866,13.283267
