step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.095345,163.2601,2149.08,2.1308,0.000331,0.000050,31.088531
20,20,2e-5,4.710241,111.0790,2093.53,2.0878,0.002035,0.000278,31.437710
30,30,3.0000001e-5,4.096142,60.1080,2103.69,2.0882,0.003153,0.000380,29.343319
40,40,4e-5,3.519511,33.7679,1900.47,2.0537,0.002392,0.000348,22.126028
50,50,5e-5,3.228352,25.2380,2031.68,2.0206,0.002589,0.000353,22.026743
60,60,6.0000002e-5,3.090315,21.9840,1967.97,2.0526,0.003240,0.000586,17.718567
70,70,6.9999995e-5,2.903799,18.2433,2045.26,2.0421,0.003710,0.000670,16.363117
80,80,8e-5,2.802228,16.4813,2036.47,2.0517,0.004513,0.000753,16.367693
90,90,8.9999994e-5,2.703020,14.9247,2010.41,2.0049,0.004702,0.000754,16.626461
100,100,1e-4,2.554121,12.8600,2026.78,2.0161,0.005148,0.000834,15.759051
110,110,1.1e-4,2.478004,11.9175,1926.95,2.0456,0.005691,0.000891,16.499756
120,120,1.20000004e-4,2.389095,10.9036,2021.13,2.0536,0.006171,0.001108,14.813387
130,130,1.2999999e-4,2.389509,10.9081,1901.11,2.0432,0.006755,0.001333,14.142082
140,140,1.3999999e-4,2.313971,10.1145,2057.74,2.0442,0.006672,0.001317,14.230191
150,150,1.4999999e-4,2.213654,9.1491,1947.71,2.0269,0.008012,0.001657,13.437193
160,160,1.6e-4,2.205521,9.0750,2059.47,2.0519,0.008293,0.001710,13.582533
170,170,1.7e-4,2.280249,9.7791,1870.40,2.0414,0.008633,0.001677,14.502359
180,180,1.7999999e-4,2.253919,9.5250,2058.54,2.0473,0.008595,0.001663,15.056910
190,190,1.8999999e-4,2.218871,9.1969,2040.23,2.0331,0.009177,0.001662,15.764775
200,200,1.999556e-4,2.272042,9.6992,1932.13,2.0422,0.008826,0.001726,14.894467
210,210,1.9995103e-4,2.287030,9.8456,1843.19,2.0400,0.009249,0.001856,13.819255
220,220,1.9994628e-4,2.100185,8.1677,2043.35,2.0394,0.009929,0.002040,13.500879
230,230,1.9994128e-4,2.037470,7.6712,1929.48,2.0323,0.010220,0.002149,13.154149
240,240,1.9993607e-4,2.086687,8.0582,1919.36,2.0418,0.011116,0.002461,12.544318
250,250,1.999306e-4,2.140909,8.5072,1961.49,2.0326,0.010895,0.002218,14.052071
260,260,1.9992495e-4,2.010683,7.4684,2063.29,2.0378,0.009995,0.002028,12.701754
