step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.309344,202.2175,10762.48,10.6708,0.136258,0.059511
20,20,2e-5,4.387335,80.4258,10952.50,10.9226,0.126647,0.049786
30,30,3.0000001e-5,3.694851,40.2396,10780.70,10.7013,0.112219,0.040436
40,40,4e-5,3.256004,25.9456,10112.78,10.9281,0.087889,0.032902
50,50,5e-5,2.992073,19.9269,10867.00,10.8079,0.074840,0.026428
60,60,6.0000002e-5,2.864048,17.5324,10796.55,11.2606,0.063460,0.024502
70,70,6.9999995e-5,2.637498,13.9782,11334.19,11.3165,0.057585,0.022150
80,80,8e-5,2.617382,13.6998,11126.94,11.2101,0.061100,0.022272
90,90,8.9999994e-5,2.539560,12.6741,11271.69,11.2410,0.060615,0.021141
100,100,1e-4,2.387453,10.8857,11154.36,11.0958,0.059503,0.020743
110,110,1.1e-4,2.346603,10.4500,10366.42,11.0048,0.063454,0.021217
120,120,1.20000004e-4,2.251366,9.5007,10960.15,11.1363,0.059333,0.020118
130,130,1.2999999e-4,2.267998,9.6600,10563.13,11.3525,0.056755,0.020188
140,140,1.3999999e-4,2.158634,8.6593,11199.84,11.1260,0.056172,0.020096
150,150,1.4999999e-4,2.091950,8.1007,10828.39,11.2686,0.056010,0.020374
160,160,1.6e-4,2.084278,8.0388,11183.80,11.1425,0.054160,0.020015
170,170,1.7e-4,2.232799,9.3259,10118.17,11.0435,0.053369,0.020639
180,180,1.7999999e-4,2.111958,8.2644,11081.40,11.0211,0.049774,0.018620
190,190,1.8999999e-4,2.093135,8.1103,11062.62,11.0239,0.051036,0.018581
200,200,1.9983227e-4,2.172312,8.7786,10412.95,11.0063,0.049231,0.018495
210,210,1.9981508e-4,2.157480,8.6493,9970.53,11.0353,0.045309,0.017276
220,220,1.9979705e-4,1.969620,7.1680,11509.14,11.4867,0.044603,0.017002
230,230,1.997782e-4,1.876808,6.5326,10733.91,11.3058,0.044034,0.017154
240,240,1.997585e-4,1.981236,7.2517,10390.19,11.0529,0.043860,0.017612
250,250,1.9973796e-4,2.076287,7.9748,10500.87,10.8813,0.043333,0.017201
260,260,1.997166e-4,1.893771,6.6444,11620.11,11.4767,0.039148,0.015867
270,270,1.9969439e-4,1.889467,6.6158,12576.91,12.4867,0.040137,0.016103
280,280,1.9967135e-4,1.797026,6.0317,11768.86,11.7208,0.038086,0.015761
290,290,1.9964747e-4,1.707874,5.5172,11690.57,11.6247,0.039441,0.015830
300,300,1.9962277e-4,1.795632,6.0233,12898.12,13.5714,0.037961,0.015718
310,310,1.9959721e-4,1.778569,5.9214,12774.91,13.7324,0.036690,0.015238
320,320,1.9957083e-4,1.899381,6.6818,13488.67,13.3686,0.038477,0.016056
330,330,1.9954362e-4,1.846193,6.3357,11249.87,13.4546,0.036398,0.015700
340,340,1.9951556e-4,1.772305,5.8844,13679.67,13.6158,0.033994,0.014668
350,350,1.9948668e-4,1.900015,6.6860,13636.83,13.5785,0.034092,0.014878
360,360,1.9945696e-4,1.798596,6.0412,13032.02,13.4038,0.033565,0.014535
370,370,1.994264e-4,1.743403,5.7168,13281.90,13.2148,0.036639,0.014870
380,380,1.9939501e-4,1.725532,5.6155,12930.88,13.3131,0.037291,0.015579
390,390,1.993628e-4,1.812828,6.1278,13035.00,13.3000,0.035776,0.015420
400,400,1.9932975e-4,1.812794,6.1275,13725.88,13.6725,0.031062,0.014296
410,410,1.9929587e-4,1.710745,5.5331,13584.04,13.5180,0.031442,0.013868
420,420,1.9926114e-4,1.720747,5.5887,12658.75,13.4634,0.033216,0.014731
