step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.284564,197.2681,10306.68,10.2189,0.139014,0.061014
20,20,2e-5,4.330985,76.0191,10993.60,10.9636,0.128660,0.050756
30,30,3.0000001e-5,3.724332,41.4435,10913.08,10.8327,0.116081,0.042134
40,40,4e-5,3.268966,26.2841,10176.34,10.9968,0.091336,0.034577
50,50,5e-5,2.998125,20.0479,10933.60,10.8741,0.076805,0.027509
60,60,6.0000002e-5,2.843315,17.1726,10860.70,11.3275,0.065094,0.025193
70,70,6.9999995e-5,2.627713,13.8421,11435.46,11.4176,0.059246,0.022847
80,80,8e-5,2.587921,13.3021,11143.88,11.2272,0.061406,0.022412
90,90,8.9999994e-5,2.511574,12.3243,11308.09,11.2773,0.060203,0.021064
100,100,1e-4,2.362639,10.6189,11315.18,11.2558,0.059363,0.020827
110,110,1.1e-4,2.340914,10.3907,10436.77,11.0795,0.064064,0.021586
120,120,1.20000004e-4,2.253850,9.5243,11034.42,11.2118,0.058568,0.020411
130,130,1.2999999e-4,2.267057,9.6510,10570.97,11.3609,0.057533,0.020967
140,140,1.3999999e-4,2.168963,8.7492,11308.37,11.2338,0.055389,0.020151
150,150,1.4999999e-4,2.094826,8.1240,10889.22,11.3319,0.055502,0.020411
160,160,1.6e-4,2.071104,7.9336,11259.27,11.2176,0.054886,0.020373
170,170,1.7e-4,2.223859,9.2429,10181.76,11.1129,0.055598,0.021409
180,180,1.7999999e-4,2.108179,8.2332,11173.75,11.1130,0.052345,0.019306
190,190,1.8999999e-4,2.082355,8.0233,11147.32,11.1083,0.053814,0.019365
200,200,1.9983227e-4,2.168569,8.7458,10468.33,11.0648,0.051109,0.019367
210,210,1.9981508e-4,2.153292,8.6132,10020.59,11.0907,0.047704,0.018202
220,220,1.9979705e-4,1.976490,7.2174,11507.30,11.4849,0.047730,0.018169
230,230,1.997782e-4,1.893530,6.6428,10945.33,11.5285,0.046388,0.018117
240,240,1.997585e-4,2.004928,7.4256,10476.85,11.1451,0.046263,0.018574
250,250,1.9973796e-4,2.065704,7.8909,10598.15,10.9821,0.044179,0.017487
260,260,1.997166e-4,1.888932,6.6123,11535.90,11.3935,0.040011,0.016231
270,270,1.9969439e-4,1.879721,6.5517,12645.90,12.5552,0.040740,0.016388
280,280,1.9967135e-4,1.780440,5.9325,12063.36,12.0141,0.040185,0.016064
290,290,1.9964747e-4,1.692678,5.4340,11676.35,11.6106,0.043011,0.016678
300,300,1.9962277e-4,1.790053,5.9898,12998.29,13.6768,0.041431,0.016942
310,310,1.9959721e-4,1.794639,6.0173,12490.89,13.4271,0.039646,0.016475
320,320,1.9957083e-4,1.902129,6.7001,13643.79,13.5223,0.040035,0.016505
330,330,1.9954362e-4,1.942749,6.9779,11367.99,13.5959,0.037365,0.015934
340,340,1.9951556e-4,1.774730,5.8987,13780.92,13.7166,0.035826,0.015334
350,350,1.9948668e-4,1.891614,6.6301,13766.21,13.7073,0.035231,0.015401
360,360,1.9945696e-4,1.801124,6.0565,13127.46,13.5019,0.035178,0.015093
370,370,1.994264e-4,1.742157,5.7096,13408.26,13.3405,0.039190,0.015728
380,380,1.9939501e-4,1.732737,5.6561,12999.58,13.3838,0.038939,0.016198
390,390,1.993628e-4,1.812671,6.1268,13091.94,13.3581,0.038359,0.016134
400,400,1.9932975e-4,1.806257,6.0876,14142.08,14.0870,0.033455,0.015001
410,410,1.9929587e-4,1.721371,5.5922,13651.40,13.5851,0.034117,0.014626
420,420,1.9926114e-4,1.719369,5.5810,12728.05,13.5371,0.034858,0.015142
430,430,1.992256e-4,1.683767,5.3858,13441.97,13.6770,0.034662,0.014883
440,440,1.991892e-4,1.692664,5.4339,13496.16,13.7815,0.033938,0.014677
450,450,1.99152e-4,1.651796,5.2163,13646.04,13.6274,0.034216,0.014657
460,460,1.9911396e-4,1.569443,4.8040,13534.81,13.5163,0.033584,0.014169
470,470,1.9907509e-4,1.440585,4.2232,13166.45,13.7296,0.033603,0.013815
480,480,1.9903539e-4,1.580657,4.8581,13893.21,13.7722,0.034503,0.015049
490,490,1.9899487e-4,1.661634,5.2679,13650.12,14.0961,0.034364,0.015279
500,500,1.989535e-4,1.766958,5.8530,13419.70,13.6652,0.034493,0.015347
510,510,1.9891132e-4,1.529321,4.6150,13745.28,13.7238,0.031570,0.013479
520,520,1.988683e-4,1.613049,5.0181,13901.08,13.8443,0.034426,0.015345
530,530,1.9882445e-4,1.545959,4.6925,13808.75,13.7791,0.032445,0.013949
540,540,1.9877979e-4,1.604686,4.9763,12679.86,13.7866,0.033504,0.014491
550,550,1.9873428e-4,1.681196,5.3720,13827.70,13.7046,0.032949,0.014789
560,560,1.9868797e-4,1.734474,5.6659,12957.10,14.0373,0.031217,0.014319
570,570,1.9864082e-4,1.733700,5.6616,14009.57,13.8902,0.030613,0.014369
580,580,1.9859284e-4,1.734659,5.6670,13398.90,13.9209,0.031742,0.014494
590,590,1.9854403e-4,1.640097,5.1557,13683.58,13.5617,0.033625,0.014417
600,600,1.9849441e-4,1.658463,5.2512,12653.42,13.6794,0.031624,0.014052
610,610,1.9844396e-4,1.702342,5.4868,14032.64,13.9617,0.029802,0.013894
620,620,1.9839269e-4,1.578811,4.8492,13946.21,13.8811,0.028721,0.013206
630,630,1.9834058e-4,1.513745,4.5437,14087.08,14.0541,0.027770,0.012754
640,640,1.9828767e-4,1.502157,4.4914,13979.58,13.9090,0.029004,0.013234
650,650,1.9823393e-4,1.461607,4.3129,13125.03,13.7790,0.030081,0.013356
660,660,1.9817938e-4,1.578806,4.8492,13638.38,13.6038,0.032353,0.014301
670,670,1.9812399e-4,1.428667,4.1731,13721.98,13.6051,0.029181,0.012564
680,680,1.9806778e-4,1.466272,4.3331,13713.74,13.6604,0.031777,0.013549
690,690,1.9801076e-4,1.631332,5.1107,12840.58,13.6881,0.031910,0.014451
700,700,1.9795292e-4,1.439032,4.2166,13588.78,13.5464,0.029407,0.012871
710,710,1.9789426e-4,1.643388,5.1727,12842.30,13.8689,0.031520,0.014241
720,720,1.9783479e-4,1.461492,4.3124,14213.06,14.1660,0.027121,0.012226
730,730,1.9777448e-4,1.445753,4.2450,13281.52,14.3040,0.031503,0.013680
740,740,1.9771337e-4,1.457369,4.2946,13721.01,13.6358,0.032311,0.013821
750,750,1.9765143e-4,1.591522,4.9112,13926.82,13.8296,0.031953,0.014471
760,760,1.975887e-4,1.463993,4.3232,13154.84,13.6424,0.029914,0.012753
770,770,1.9752514e-4,1.405753,4.0786,13164.82,13.7195,0.030503,0.012830
780,780,1.9746076e-4,1.428585,4.1728,13846.73,13.8036,0.030668,0.012839
790,790,1.9739557e-4,1.400865,4.0587,12914.64,13.9441,0.031797,0.013101
800,800,1.9732956e-4,1.640830,5.1595,13913.47,13.8539,0.030445,0.013749
810,810,1.9726275e-4,1.455140,4.2851,13843.76,13.7818,0.028820,0.012857
820,820,1.9719511e-4,1.501320,4.4876,12613.34,13.7142,0.031211,0.013689
830,830,1.9712668e-4,1.517401,4.5604,13189.76,13.7231,0.030497,0.013498
840,840,1.9705744e-4,1.553037,4.7258,13783.00,13.6947,0.028641,0.013284
850,850,1.9698737e-4,1.498136,4.4733,13026.90,13.6928,0.030014,0.013669
860,860,1.969165e-4,1.625136,5.0791,13530.32,13.6074,0.031412,0.014341
870,870,1.9684482e-4,1.398851,4.0505,12616.22,13.5561,0.030119,0.012914
880,880,1.9677235e-4,1.434741,4.1986,13660.75,13.5496,0.031081,0.013194
890,890,1.9669905e-4,1.392695,4.0257,13686.53,13.6227,0.031344,0.013466
900,900,1.9662495e-4,1.540957,4.6691,13035.81,13.5961,0.028380,0.013480
