step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.124269,168.0513,11355.79,11.2590,0.000364,0.035568
20,20,2e-5,4.364274,78.5923,10952.97,10.9231,0.001481,0.034166
30,30,3.0000001e-5,3.635672,37.9273,10807.34,10.7277,0.001601,0.031669
40,40,4e-5,3.055778,21.2377,10176.31,10.9968,0.001898,0.028018
50,50,5e-5,2.848504,17.2619,10990.82,10.9310,0.002277,0.026327
60,60,6.0000002e-5,2.636589,13.9655,10907.92,11.3768,0.002472,0.024665
70,70,6.9999995e-5,2.400443,11.0281,11294.00,11.2764,0.002549,0.022512
80,80,8e-5,2.436930,11.4379,11252.72,11.3369,0.003260,0.022736
90,90,8.9999994e-5,2.372910,10.7286,11279.00,11.2482,0.003331,0.022332
100,100,1e-4,2.208992,9.1065,11216.29,11.1575,0.003923,0.022096
110,110,1.1e-4,2.174514,8.7979,10494.59,11.1408,0.004383,0.022516
120,120,1.20000004e-4,2.107156,8.2248,11001.66,11.1785,0.004770,0.022009
130,130,1.2999999e-4,2.126800,8.3880,10564.73,11.3542,0.005213,0.022490
140,140,1.3999999e-4,2.032748,7.6350,11378.22,11.3032,0.005034,0.022139
150,150,1.4999999e-4,1.973801,7.1980,10783.58,11.2219,0.005719,0.021622
160,160,1.6e-4,1.969326,7.1658,11236.01,11.1945,0.005787,0.021502
170,170,1.7e-4,2.100572,8.1708,10189.71,11.1216,0.006588,0.022195
180,180,1.7999999e-4,1.978777,7.2339,11199.28,11.1384,0.006550,0.020720
190,190,1.8999999e-4,1.996110,7.3604,11061.49,11.0227,0.006369,0.021054
200,200,1.9983227e-4,2.088989,8.0767,10480.30,11.0774,0.006494,0.020988
210,210,1.9981508e-4,2.004538,7.4227,10228.10,11.3203,0.006821,0.019660
220,220,1.9979705e-4,1.869656,6.4861,11771.38,11.7484,0.007005,0.019435
230,230,1.997782e-4,1.790469,5.9923,10456.73,11.0139,0.007000,0.019021
240,240,1.997585e-4,1.914845,6.7859,10456.97,11.1240,0.007829,0.019508
250,250,1.9973796e-4,1.994265,7.3468,10728.45,11.1171,0.007352,0.019587
260,260,1.997166e-4,1.820388,6.1743,12561.90,12.4068,0.006654,0.017701
270,270,1.9969439e-4,1.780877,5.9351,12300.54,12.2123,0.006792,0.017815
280,280,1.9967135e-4,1.701586,5.4826,11907.94,11.8593,0.006972,0.017579
290,290,1.9964747e-4,1.622502,5.0657,13492.24,13.4162,0.007041,0.017480
300,300,1.9962277e-4,1.714266,5.5526,12620.16,13.2789,0.007043,0.017656
310,310,1.9959721e-4,1.706830,5.5115,12978.90,13.9517,0.007434,0.017641
320,320,1.9957083e-4,1.825040,6.2030,13642.50,13.5210,0.007637,0.018532
330,330,1.9954362e-4,1.763709,5.8340,11295.38,13.5091,0.007341,0.017847
340,340,1.9951556e-4,1.709155,5.5243,14006.38,13.9410,0.007332,0.016854
350,350,1.9948668e-4,1.844169,6.3228,13647.67,13.5893,0.007138,0.017061
360,360,1.9945696e-4,1.723700,5.6052,13135.00,13.5097,0.007188,0.016736
370,370,1.994264e-4,1.658259,5.2502,13607.31,13.5386,0.007976,0.017071
380,380,1.9939501e-4,1.648771,5.2006,12932.47,13.3148,0.008287,0.017456
390,390,1.993628e-4,1.740038,5.6976,13058.96,13.3244,0.008549,0.017633
400,400,1.9932975e-4,1.743901,5.7196,13748.74,13.6952,0.007484,0.016812
410,410,1.9929587e-4,1.653688,5.2262,13616.48,13.5503,0.007650,0.016038
420,420,1.9926114e-4,1.646216,5.1873,12709.60,13.5175,0.007630,0.016581
430,430,1.992256e-4,1.609069,4.9982,13408.03,13.6425,0.007536,0.016206
440,440,1.991892e-4,1.639341,5.1518,13371.47,13.6542,0.008074,0.016395
450,450,1.99152e-4,1.596227,4.9344,13492.89,13.4745,0.008330,0.016273
460,460,1.9911396e-4,1.502498,4.4929,13535.17,13.5167,0.008567,0.015458
470,470,1.9907509e-4,1.402277,4.0644,13189.30,13.7534,0.008796,0.014489
480,480,1.9903539e-4,1.506381,4.5104,13797.55,13.6773,0.009044,0.016285
490,490,1.9899487e-4,1.598593,4.9461,13264.91,13.6983,0.009299,0.016559
500,500,1.989535e-4,1.717835,5.5725,13341.46,13.5856,0.009259,0.017077
510,510,1.9891132e-4,1.461504,4.3124,13697.64,13.6763,0.008306,0.014867
520,520,1.988683e-4,1.552234,4.7220,13856.80,13.8002,0.008460,0.015786
530,530,1.9882445e-4,1.488328,4.4297,13779.09,13.7496,0.008771,0.015159
540,540,1.9877979e-4,1.576522,4.8381,12556.74,13.6527,0.009217,0.015494
550,550,1.9873428e-4,1.633661,5.1226,13945.65,13.8215,0.008663,0.015734
560,560,1.9868797e-4,1.680581,5.3687,12923.63,14.0011,0.008712,0.015304
570,570,1.9864082e-4,1.676507,5.3468,14134.56,14.0141,0.009091,0.015647
580,580,1.9859284e-4,1.673100,5.3287,13428.36,13.9515,0.008953,0.015235
590,590,1.9854403e-4,1.572217,4.8173,13633.23,13.5118,0.009242,0.015690
600,600,1.9849441e-4,1.608025,4.9929,12650.28,13.6760,0.009109,0.015657
610,610,1.9844396e-4,1.644817,5.1801,14041.99,13.9710,0.008560,0.015717
620,620,1.9839269e-4,1.535893,4.6455,14005.40,13.9401,0.008538,0.014725
630,630,1.9834058e-4,1.469055,4.3451,14142.67,14.1096,0.008281,0.013969
640,640,1.9828767e-4,1.457787,4.2964,13956.88,13.8864,0.008554,0.014253
650,650,1.9823393e-4,1.420957,4.1411,13176.54,13.8331,0.008641,0.014237
660,660,1.9817938e-4,1.515129,4.5500,13547.82,13.5135,0.008997,0.015779
670,670,1.9812399e-4,1.396465,4.0409,14063.08,13.9433,0.008647,0.014027
680,680,1.9806778e-4,1.430045,4.1789,13624.16,13.5711,0.009415,0.014892
690,690,1.9801076e-4,1.577159,4.8412,12906.93,13.7588,0.009610,0.015588
700,700,1.9795292e-4,1.383631,3.9894,13775.10,13.7322,0.009412,0.014454
710,710,1.9789426e-4,1.595094,4.9288,12916.69,13.9493,0.009875,0.015714
720,720,1.9783479e-4,1.430179,4.1794,14076.09,14.0295,0.009292,0.013506
730,730,1.9777448e-4,1.387749,4.0058,12798.44,13.7838,0.010332,0.014272
740,740,1.9771337e-4,1.408268,4.0889,13797.11,13.7114,0.010281,0.014496
750,750,1.9765143e-4,1.528922,4.6132,13898.36,13.8013,0.010122,0.015433
760,760,1.975887e-4,1.408265,4.0889,13182.96,13.6716,0.009876,0.014569
770,770,1.9752514e-4,1.333736,3.7952,13151.83,13.7060,0.009999,0.013872
780,780,1.9746076e-4,1.374843,3.9545,13879.68,13.8364,0.010828,0.014069
790,790,1.9739557e-4,1.361443,3.9018,13052.47,14.0929,0.010947,0.014014
800,800,1.9732956e-4,1.597868,4.9425,13843.52,13.7843,0.010117,0.015893
810,810,1.9726275e-4,1.397937,4.0468,13851.78,13.7898,0.009748,0.014167
820,820,1.9719511e-4,1.452238,4.2727,12670.54,13.7764,0.010762,0.014924
