step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.628966,278.3742,13591.36,13.4756,0.000000,0.036125
20,20,2e-5,4.871903,130.5692,12803.33,12.7684,0.000000,0.034944
30,30,3.0000001e-5,3.890620,48.9412,11928.09,11.8402,0.000000,0.032089
40,40,4e-5,3.208255,24.7359,11096.62,11.9913,0.000000,0.028387
50,50,5e-5,2.910596,18.3677,11895.58,11.8309,0.000000,0.026306
60,60,6.0000002e-5,2.719593,15.1741,11640.37,12.1407,0.000000,0.024303
70,70,6.9999995e-5,2.487946,12.0365,12468.27,12.4488,0.000000,0.022318
80,80,8e-5,2.514402,12.3592,12138.71,12.2295,0.000000,0.022202
90,90,8.9999994e-5,2.439773,11.4704,12257.54,12.2241,0.000000,0.021820
100,100,1e-4,2.291341,9.8882,12190.47,12.1265,0.000000,0.021212
110,110,1.1e-4,2.238879,9.3828,11072.10,11.7539,0.000000,0.021483
100,100,1e-4,2.324500,10.2216,12162.67,12.0989,0.000000,0.021506,14.354993
110,110,1.1e-4,2.274098,9.7191,11290.32,11.9856,0.000000,0.021464,15.151093
