step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
141580,35395,5e-4,0.498696,1.6466,4502.13,3.1413,0.209474,0.223356,2.660886
141590,35397,5e-4,0.555916,1.7435,657.65,0.4809,0.221579,0.254371,2.895373
141600,35400,5e-4,0.577536,1.7816,687.25,0.4424,0.227502,0.257640,3.035549
141610,35402,5e-4,0.548355,1.7304,665.04,0.4821,0.218646,0.235266,2.819722
141620,35405,5e-4,0.531254,1.7011,675.08,0.4560,0.211401,0.205573,2.726696
141630,35407,5e-4,0.526814,1.6935,785.67,0.4623,0.220109,0.218301,2.782608
141640,35410,5e-4,0.536679,1.7103,594.27,0.4793,0.224715,0.231057,2.829380
141650,35412,5e-4,0.622513,1.8636,732.28,0.4473,0.227468,0.246238,3.270007
141660,35415,5e-4,0.564946,1.7594,823.25,0.4376,0.216595,0.223415,2.950968
141670,35417,5e-4,0.576773,1.7803,697.19,0.4647,0.225970,0.237296,3.005702
141680,35420,5e-4,0.550338,1.7338,684.66,0.4680,0.209980,0.221372,2.789927
141690,35422,5e-4,0.615986,1.8515,800.17,0.4420,0.219021,0.231103,3.171295
141700,35425,5e-4,0.573902,1.7752,745.30,0.4610,0.205899,0.209530,2.954633
141710,35427,5e-4,0.625147,1.8685,663.08,0.4665,0.212272,0.209023,3.272102
141720,35430,5e-4,0.481590,1.6186,656.32,0.4553,0.200653,0.197282,2.487292
141730,35432,5e-4,0.555040,1.7420,748.38,0.4722,0.210314,0.211021,2.895523
141740,35435,5e-4,0.558283,1.7477,715.54,0.4719,0.209833,0.208786,2.891719
141750,35437,5e-4,0.523465,1.6879,678.05,0.4785,0.198458,0.201677,2.703139
141760,35440,5e-4,0.526561,1.6931,647.76,0.4811,0.190207,0.185738,2.680686
141770,35442,5e-4,0.563133,1.7562,649.22,0.4775,0.200734,0.198370,3.005352
141780,35445,5e-4,0.501029,1.6504,644.06,0.4661,0.193830,0.186408,2.645917
141790,35447,5e-4,0.543376,1.7218,771.44,0.4704,0.199058,0.195879,2.829470
141800,35450,5e-4,0.635255,1.8875,819.55,0.4781,0.219224,0.222360,3.324034
141810,35452,5e-4,0.539390,1.7150,768.73,0.4647,0.193945,0.190672,2.751398
141820,35455,5e-4,0.559698,1.7501,868.38,0.4889,0.193543,0.187140,2.864788
141830,35457,5e-4,0.562436,1.7549,679.22,0.4758,0.197175,0.194284,2.916243
141840,35460,5e-4,0.609941,1.8403,933.65,0.4672,0.207292,0.200677,3.218808
141850,35462,5e-4,0.586555,1.7978,648.47,0.4433,0.204123,0.212458,3.121808
141860,35465,5e-4,0.548722,1.7310,639.58,0.4698,0.195910,0.192717,2.879203
141870,35467,5e-4,0.576453,1.7797,623.61,0.4762,0.198290,0.203435,3.048170
141880,35470,5e-4,0.560974,1.7524,716.33,0.4716,0.198169,0.191802,2.919349
141890,35472,5e-4,0.512980,1.6703,647.90,0.4834,0.186986,0.187385,2.647861
141900,35475,5e-4,0.550520,1.7342,713.49,0.4809,0.198199,0.199667,2.875713
141910,35477,5e-4,0.666045,1.9465,842.99,0.4405,0.209736,0.217798,3.538523
141920,35480,5e-4,0.583154,1.7917,804.26,0.4625,0.203059,0.202427,3.071218
141930,35482,5e-4,0.610778,1.8419,870.19,0.4457,0.204241,0.191502,3.204525
141940,35485,5e-4,0.611368,1.8430,835.01,0.4338,0.197907,0.191902,3.222617
141950,35487,5e-4,0.553335,1.7390,816.63,0.4799,0.191144,0.179988,2.794603
141960,35490,5e-4,0.582932,1.7913,789.62,0.4701,0.194910,0.183285,2.984128
141970,35492,5e-4,0.553800,1.7399,733.43,0.4505,0.184651,0.173163,2.871404
141980,35495,5e-4,0.492343,1.6361,636.73,0.4838,0.183558,0.185569,2.519670
141990,35497,5e-4,0.595613,1.8141,710.49,0.4510,0.195868,0.190280,3.123266
142000,35500,5e-4,0.616471,1.8524,683.48,0.4592,0.192132,0.180408,3.286465
142010,35502,5e-4,0.564813,1.7591,705.21,0.4890,0.193675,0.186586,2.937665
142020,35505,5e-4,0.578383,1.7832,620.14,0.4731,0.204083,0.194856,3.075931
142030,35507,5e-4,0.584189,1.7935,893.72,0.4540,0.216680,0.216913,3.049136
142040,35510,5e-4,0.601861,1.8255,782.85,0.4563,0.208494,0.203301,3.141567
142050,35512,5e-4,0.571800,1.7715,707.68,0.4620,0.199497,0.198442,3.031160
142060,35515,5e-4,0.531226,1.7010,713.43,0.4732,0.197476,0.192665,2.830655
142070,35517,5e-4,0.527995,1.6955,640.15,0.4885,0.189227,0.191862,2.765650
142080,35520,5e-4,0.546483,1.7272,789.83,0.4810,0.202867,0.201146,2.794151
142090,35522,5e-4,0.542520,1.7203,702.68,0.4954,0.202758,0.204703,2.799121
142100,35525,5e-4,0.581817,1.7893,871.71,0.4702,0.193527,0.197666,2.997712
142110,35527,5e-4,0.582796,1.7910,732.44,0.4519,0.189354,0.182737,3.031226
142120,35530,5e-4,0.590203,1.8044,723.40,0.4623,0.178904,0.176222,3.100298
142130,35532,5e-4,0.592940,1.8093,956.77,0.4548,0.181884,0.178073,3.094717
142140,35535,5e-4,0.578292,1.7830,760.00,0.4591,0.195262,0.180209,3.009237
142150,35537,5e-4,0.592522,1.8085,726.70,0.4470,0.202989,0.199038,3.122638
142160,35540,5e-4,0.530325,1.6995,731.10,0.4683,0.191902,0.183622,2.762778
142170,35542,5e-4,0.559435,1.7497,728.16,0.4515,0.190559,0.196576,3.019039
142180,35545,5e-4,0.535554,1.7084,643.89,0.4891,0.186499,0.180175,2.722702
142190,35547,5e-4,0.578021,1.7825,647.70,0.4846,0.192757,0.200028,3.059553
142200,35550,5e-4,0.545608,1.7257,745.46,0.4616,0.182687,0.173316,2.815754
142210,35552,5e-4,0.603661,1.8288,881.72,0.4597,0.195724,0.190552,3.180718
142220,35555,5e-4,0.541081,1.7179,717.47,0.4586,0.179136,0.178069,2.755246
142230,35557,5e-4,0.598591,1.8196,673.91,0.4566,0.197584,0.197543,3.210751
142240,35560,5e-4,0.525652,1.6916,765.69,0.4582,0.186085,0.178747,2.747941
142250,35562,5e-4,0.565161,1.7597,940.61,0.4494,0.196778,0.193873,3.004058
142260,35565,5e-4,0.595796,1.8145,690.21,0.4779,0.197854,0.197205,3.086564
142270,35567,5e-4,0.595056,1.8131,857.83,0.4539,0.196797,0.184371,3.124135
142280,35570,5e-4,0.551811,1.7364,724.66,0.4484,0.182834,0.167498,2.829797
142290,35572,5e-4,0.624889,1.8680,821.44,0.4718,0.197567,0.197105,3.295047
142300,35575,5e-4,0.572430,1.7726,776.27,0.4737,0.189651,0.179969,2.941288
142310,35577,5e-4,0.551940,1.7366,857.50,0.4572,0.186816,0.177894,2.801181
142320,35580,5e-4,0.602794,1.8272,717.96,0.4588,0.195760,0.191105,3.190958
142330,35582,5e-4,0.539692,1.7155,814.70,0.4627,0.188938,0.178303,2.811767
142340,35585,5e-4,0.558418,1.7479,697.16,0.4441,0.193106,0.184972,2.920936
142350,35587,5e-4,0.543032,1.7212,810.62,0.4565,0.191273,0.179548,2.825632
142360,35590,5e-4,0.577526,1.7816,843.00,0.4611,0.186666,0.168761,2.952682
142370,35592,5e-4,0.629508,1.8767,669.45,0.4871,0.183192,0.181802,3.315802
142380,35595,5e-4,0.538166,1.7129,706.71,0.4756,0.174707,0.166690,2.744202
142390,35597,5e-4,0.531666,1.7018,704.17,0.4731,0.172235,0.167628,2.738235
142400,35600,5e-4,0.547628,1.7291,758.73,0.4246,0.182862,0.173844,2.861742
142410,35602,5e-4,0.550465,1.7341,780.93,0.4662,0.180614,0.172407,2.868169
142420,35605,5e-4,0.489185,1.6310,695.82,0.4801,0.171763,0.165855,2.500222
142430,35607,5e-4,0.599391,1.8210,782.17,0.4549,0.190545,0.190516,3.083973
142440,35610,5e-4,0.639078,1.8947,683.29,0.4543,0.190485,0.190173,3.355029
142450,35612,5e-4,0.572539,1.7728,782.21,0.4650,0.185208,0.179171,3.024590
142460,35615,5e-4,0.553745,1.7398,617.40,0.4832,0.184920,0.179499,2.829169
142470,35617,5e-4,0.504391,1.6560,690.48,0.4777,0.171914,0.167148,2.575485
142480,35620,5e-4,0.522023,1.6854,652.48,0.4939,0.176314,0.168381,2.645938
142490,35622,5e-4,0.576118,1.7791,787.63,0.4554,0.194176,0.190663,2.992144
142500,35625,5e-4,0.512401,1.6693,638.47,0.4769,0.178433,0.169834,2.643573
142510,35627,5e-4,0.557389,1.7461,935.51,0.4495,0.183684,0.166776,2.898373
142520,35630,5e-4,0.564957,1.7594,639.47,0.4750,0.177452,0.166832,2.891293
142530,35632,5e-4,0.586857,1.7983,617.49,0.4784,0.181110,0.169821,3.097330
142540,35635,5e-4,0.560097,1.7508,720.69,0.4570,0.176859,0.168324,2.884816
142550,35637,5e-4,0.582649,1.7908,889.89,0.4551,0.183890,0.173494,2.977646
142560,35640,5e-4,0.549206,1.7319,655.35,0.4763,0.179147,0.178506,2.856550
142570,35642,5e-4,0.524550,1.6897,751.43,0.4850,0.178708,0.168404,2.700414
142580,35645,5e-4,0.593348,1.8100,766.54,0.4789,0.186529,0.179178,3.145126
142590,35647,5e-4,0.584823,1.7947,830.04,0.4779,0.190337,0.182232,3.068253
142600,35650,5e-4,0.538883,1.7141,659.69,0.4749,0.189872,0.184713,2.848438
142610,35652,5e-4,0.600440,1.8229,786.75,0.4396,0.187643,0.177549,3.163832
142620,35655,5e-4,0.547605,1.7291,1037.66,0.4591,0.176913,0.162071,2.823176
142630,35657,5e-4,0.559033,1.7490,648.62,0.4816,0.186313,0.176983,2.910454
142640,35660,5e-4,0.542617,1.7205,724.14,0.5682,0.180408,0.179212,2.792819
142650,35662,5e-4,0.556744,1.7450,816.65,0.5782,0.178339,0.170815,2.894279
142660,35665,5e-4,0.595270,1.8135,814.33,0.5072,0.182992,0.175946,3.086639
142670,35667,5e-4,0.540737,1.7173,796.90,0.4984,0.189376,0.175366,2.820573
142680,35670,5e-4,0.547601,1.7291,772.29,0.4714,0.189739,0.185650,2.816685
142690,35672,5e-4,0.572453,1.7726,878.91,0.4995,0.178534,0.173794,2.954495
142700,35675,5e-4,0.632977,1.8832,896.87,0.4926,0.182950,0.182718,3.301990
142710,35677,5e-4,0.546297,1.7268,632.60,0.4894,0.175343,0.173360,2.843967
142720,35680,5e-4,0.555588,1.7430,989.31,0.5469,0.183381,0.187438,2.855852
142730,35682,5e-4,0.523222,1.6875,862.58,0.5102,0.181832,0.193648,2.788038
142740,35685,5e-4,0.573285,1.7741,735.08,0.4726,0.190270,0.188766,3.028459
142750,35687,5e-4,0.581875,1.7894,709.06,0.4745,0.189237,0.191395,3.058412
142760,35690,5e-4,0.602192,1.8261,725.35,0.4772,0.183917,0.178448,3.121180
142770,35692,5e-4,0.554955,1.7419,697.83,0.5061,0.175874,0.167450,2.865222
142780,35695,5e-4,0.524207,1.6891,753.15,0.4838,0.171802,0.165856,2.700206
142790,35697,5e-4,0.636093,1.8891,827.04,0.4948,0.186202,0.178678,3.282016
142800,35700,5e-4,0.582159,1.7899,796.87,0.4995,0.185718,0.179472,3.065224
142810,35702,5e-4,0.527176,1.6941,667.94,0.4987,0.175396,0.176869,2.687565
142820,35705,5e-4,0.549510,1.7324,713.21,0.5051,0.183221,0.184785,2.879118
142830,35707,5e-4,0.546324,1.7269,692.96,0.5242,0.182070,0.180402,2.839389
142840,35710,5e-4,0.536777,1.7105,695.59,0.5339,0.174546,0.173815,2.720104
142850,35712,5e-4,0.521023,1.6838,764.24,0.4531,0.171387,0.170484,2.700496
142860,35715,5e-4,0.566582,1.7622,1043.95,0.4482,0.168634,0.167123,2.907629
142870,35717,5e-4,0.537423,1.7116,701.94,0.4902,0.163869,0.169345,2.808755
142880,35720,5e-4,0.505032,1.6570,685.13,0.4863,0.163432,0.157703,2.563676
142890,35722,5e-4,0.574616,1.7764,806.12,0.4648,0.177167,0.194799,2.940488
142900,35725,5e-4,0.592488,1.8085,717.63,0.4588,0.186717,0.193402,3.056750
142910,35727,5e-4,0.576412,1.7796,631.84,0.4913,0.184462,0.176602,3.025057
142920,35730,5e-4,0.594234,1.8116,835.51,0.4647,0.194558,0.197460,3.075176
142930,35732,5e-4,0.549717,1.7328,781.46,0.4985,0.188924,0.189147,2.793952
142940,35735,5e-4,0.572002,1.7718,804.83,0.4587,0.186507,0.185078,3.012535
142950,35737,5e-4,0.553295,1.7390,772.72,0.5027,0.173868,0.168344,2.885225
142960,35740,5e-4,0.578610,1.7836,745.56,0.4886,0.173504,0.173141,3.080825
142970,35742,5e-4,0.612903,1.8458,711.59,0.4692,0.178185,0.172796,3.226830
142980,35745,5e-4,0.603264,1.8281,771.46,0.4597,0.171295,0.168427,3.115087
142990,35747,5e-4,0.572475,1.7726,775.35,0.4653,0.175142,0.164408,2.935865
143000,35750,5e-4,0.574138,1.7756,761.25,0.4505,0.176941,0.171803,2.989014
143010,35752,5e-4,0.572641,1.7729,663.85,0.4611,0.183446,0.177579,2.946898
143020,35755,5e-4,0.563284,1.7564,660.81,0.4813,0.185647,0.178676,2.929705
143030,35757,5e-4,0.622399,1.8634,820.44,0.4461,0.196016,0.201993,3.241395
143040,35760,5e-4,0.618105,1.8554,642.65,0.4565,0.187373,0.176000,3.244993
143050,35762,5e-4,0.618770,1.8566,711.36,0.4607,0.184852,0.180436,3.339566
143060,35765,5e-4,0.627837,1.8736,830.50,0.4450,0.179913,0.178284,3.301334
143070,35767,5e-4,0.526552,1.6931,818.06,0.4578,0.167109,0.155193,2.693328
143080,35770,5e-4,0.527820,1.6952,659.44,0.4536,0.172138,0.163307,2.775715
143090,35772,5e-4,0.594161,1.8115,708.84,0.4731,0.188591,0.188449,3.074018
143100,35775,5e-4,0.526113,1.6923,577.60,0.4858,0.172876,0.169575,2.674080
143110,35777,5e-4,0.525853,1.6919,4313.45,2.9796,0.172486,0.162678,2.755570
143120,35780,5e-4,0.689237,1.9922,506.90,0.3622,0.202159,0.203342,3.635291
143130,35782,5e-4,0.624678,1.8676,564.08,0.3717,0.190422,0.191305,3.275519
143140,35785,5e-4,0.563777,1.7573,542.63,0.3617,0.178359,0.170504,2.886530
143150,35787,5e-4,0.606748,1.8345,598.41,0.3564,0.175906,0.172813,3.213017
143160,35790,5e-4,0.614116,1.8480,588.74,0.3641,0.180524,0.174984,3.231016
143170,35792,5e-4,0.588001,1.8004,531.23,0.3603,0.187103,0.181463,3.132904
143180,35795,5e-4,0.641653,1.8996,513.48,0.3572,0.189839,0.185694,3.355715
143190,35797,5e-4,0.526688,1.6933,517.00,0.3804,0.169598,0.159327,2.678431
143200,35800,5e-4,0.564893,1.7593,579.45,0.3794,0.174116,0.170389,2.892811
143210,35802,5e-4,0.573988,1.7753,580.62,0.3560,0.174047,0.175671,2.994268
143220,35805,5e-4,0.571317,1.7706,540.50,0.3497,0.170001,0.172709,3.008999
143230,35807,5e-4,0.597406,1.8174,713.41,0.3616,0.169626,0.161578,3.106688
143240,35810,5e-4,0.614927,1.8495,562.40,0.3642,0.175097,0.179613,3.200862
143250,35812,5e-4,0.593728,1.8107,517.52,0.3729,0.167506,0.160026,3.060196
143260,35815,5e-4,0.593244,1.8099,538.80,0.3725,0.168670,0.161255,3.124286
143270,35817,5e-4,0.554315,1.7407,542.60,0.3681,0.173441,0.170494,2.877954
143280,35820,5e-4,0.588451,1.8012,649.66,0.3530,0.176281,0.212931,3.052013
143290,35822,5e-4,0.584881,1.7948,547.83,0.3655,0.179038,0.179967,3.064779
143300,35825,5e-4,0.523104,1.6873,581.57,0.3712,0.167148,0.152430,2.605791
143310,35827,5e-4,0.586884,1.7984,503.22,0.3523,0.178152,0.176451,3.145335
143320,35830,5e-4,0.604731,1.8308,546.44,0.3467,0.173805,0.161331,3.201369
143330,35832,5e-4,0.520642,1.6831,507.10,0.3909,0.165625,0.155395,2.624114
143340,35835,5e-4,0.578608,1.7836,571.05,0.3438,0.175711,0.182494,3.094373
143350,35837,5e-4,0.558040,1.7472,559.18,0.3669,0.173769,0.174750,2.930249
143360,35840,5e-4,0.546044,1.7264,520.43,0.3552,0.169583,0.173565,2.844654
143370,35842,5e-4,0.505103,1.6572,517.89,0.3269,0.165885,0.164230,2.559737
143380,35845,5e-4,0.544417,1.7236,437.25,0.3490,0.171188,0.174427,2.874645
143390,35847,5e-4,0.528134,1.6958,602.66,0.3178,0.165151,0.162412,2.720851
143400,35850,5e-4,0.555739,1.7432,436.99,0.3109,0.179585,0.171955,2.954319
143410,35852,5e-4,0.572320,1.7724,527.45,0.3179,0.179374,0.173797,2.971459
143420,35855,5e-4,0.516517,1.6762,460.49,0.3108,0.166363,0.165894,2.673584
143430,35857,5e-4,0.561486,1.7533,496.69,0.3107,0.175894,0.180509,2.906782
143440,35860,5e-4,0.563500,1.7568,433.92,0.3102,0.170991,0.163802,2.881649
143450,35862,5e-4,0.567532,1.7639,505.09,0.2993,0.178317,0.187396,2.984200
143460,35865,5e-4,0.527590,1.6948,423.09,0.3163,0.164402,0.163620,2.757127
143470,35867,5e-4,0.548563,1.7308,571.77,0.3085,0.170562,0.167343,2.840393
143480,35870,5e-4,0.574678,1.7766,463.72,0.3087,0.171347,0.167224,2.999878
143490,35872,5e-4,0.519824,1.6817,399.13,0.3330,0.174969,0.165367,2.672725
143500,35875,5e-4,0.628532,1.8749,499.58,0.3177,0.187041,0.179759,3.281110
143510,35877,5e-4,0.579751,1.7856,518.66,0.3100,0.173235,0.166816,3.027712
143520,35880,5e-4,0.592627,1.8087,409.03,0.3073,0.175684,0.164169,3.103775
143530,35882,5e-4,0.552815,1.7381,436.68,0.3273,0.174184,0.164576,2.861149
143540,35885,5e-4,0.585114,1.7952,602.09,0.2964,0.162063,0.156750,3.047217
143550,35887,5e-4,0.559512,1.7498,438.58,0.3189,0.161952,0.152181,2.902490
143560,35890,5e-4,0.530464,1.6997,429.97,0.3187,0.166849,0.158578,2.746319
143570,35892,5e-4,0.520760,1.6833,485.54,0.3279,0.167676,0.156817,2.717971
143580,35895,5e-4,0.594905,1.8129,504.22,0.3154,0.174688,0.172968,3.042745
143590,35897,5e-4,0.563702,1.7572,431.88,0.3338,0.190597,0.191028,2.910913
143600,35900,5e-4,0.551226,1.7354,422.32,0.3046,0.179813,0.170449,2.845684
143610,35902,5e-4,0.553772,1.7398,510.23,0.3106,0.173087,0.168795,2.861396
143620,35905,5e-4,0.571632,1.7712,493.80,0.3161,0.179758,0.174765,2.936559
143630,35907,5e-4,0.604002,1.8294,452.40,0.3051,0.179481,0.182611,3.131357
143640,35910,5e-4,0.549122,1.7317,532.09,0.3085,0.167974,0.152751,2.847771
143650,35912,5e-4,0.582059,1.7897,533.73,0.3115,0.172420,0.167318,3.051325
143660,35915,5e-4,0.565701,1.7607,411.75,0.3205,0.170586,0.159640,2.920786
143670,35917,5e-4,0.593873,1.8110,458.85,0.3275,0.170377,0.164086,3.100349
143680,35920,5e-4,0.612566,1.8452,528.24,0.3047,0.174600,0.170818,3.189513
143690,35922,5e-4,0.554458,1.7410,470.85,0.3130,0.170834,0.167911,2.868997
143700,35925,5e-4,0.555744,1.7432,412.89,0.3166,0.169867,0.176991,2.898637
143710,35927,5e-4,0.551568,1.7360,469.88,0.3187,0.179399,0.174552,2.873714
143720,35930,5e-4,0.596350,1.8155,499.10,0.3345,0.181769,0.182637,3.121466
143730,35932,5e-4,0.602910,1.8274,536.17,0.2946,0.177181,0.178569,3.143611
143740,35935,5e-4,0.568430,1.7655,429.94,0.3238,0.169374,0.169426,3.032159
143750,35937,5e-4,0.543961,1.7228,490.23,0.3133,0.166650,0.158810,2.803755
143760,35940,5e-4,0.641175,1.8987,552.96,0.3025,0.187940,0.196312,3.408877
143770,35942,5e-4,0.534391,1.7064,523.54,0.3067,0.169897,0.164325,2.798794
143780,35945,5e-4,0.615622,1.8508,534.96,0.3052,0.176589,0.179207,3.217105
143790,35947,5e-4,0.548342,1.7304,509.09,0.3069,0.161297,0.155780,2.842841
143800,35950,5e-4,0.516143,1.6756,456.10,0.3346,0.161550,0.156914,2.649844
143810,35952,5e-4,0.580849,1.7876,527.17,0.3043,0.175835,0.181100,2.999175
143820,35955,5e-4,0.524174,1.6891,467.32,0.3133,0.167158,0.161167,2.734509
143830,35957,5e-4,0.570282,1.7688,423.60,0.2882,0.175998,0.179150,3.015345
143840,35960,5e-4,0.553168,1.7388,405.85,0.2884,0.167051,0.158218,2.856548
143850,35962,5e-4,0.529674,1.6984,485.76,0.3039,0.167106,0.154765,2.731511
143860,35965,5e-4,0.600094,1.8223,453.85,0.2802,0.170673,0.164121,3.202552
143870,35967,5e-4,0.577028,1.7807,437.78,0.2997,0.175299,0.166235,3.010087
143880,35970,5e-4,0.557250,1.7459,394.24,0.2900,0.170067,0.163030,2.928592
143890,35972,5e-4,0.578239,1.7829,435.51,0.2935,0.169147,0.159755,3.080788
143900,35975,5e-4,0.561830,1.7539,440.01,0.2865,0.165651,0.162658,2.916740
143910,35977,5e-4,0.562837,1.7556,478.15,0.2980,0.169119,0.155878,2.909743
143920,35980,5e-4,0.508972,1.6636,463.55,0.3060,0.164498,0.153748,2.594778
143930,35982,5e-4,0.559444,1.7497,450.87,0.3089,0.177855,0.169696,2.895792
143940,35985,5e-4,0.550333,1.7338,499.74,0.3079,0.168901,0.162050,2.864125
143950,35987,5e-4,0.476044,1.6097,443.42,0.3294,0.163247,0.148586,2.425254
143960,35990,5e-4,0.546341,1.7269,467.88,0.3082,0.172895,0.165165,2.901370
143970,35992,5e-4,0.528126,1.6958,424.01,0.3089,0.164836,0.156886,2.755745
143980,35995,5e-4,0.506380,1.6593,497.73,0.3370,0.160760,0.144363,2.587880
143990,35997,5e-4,0.521094,1.6839,538.23,0.3112,0.167081,0.160873,2.711098
144000,36000,5e-4,0.513045,1.6704,504.64,0.3170,0.165795,0.153162,2.599338
