step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss,dew_d1,dew_d2,dew_d4,dew_d8,dew_d16,dew_d32,dew_d64,dew_d128
10,2,1.0000001e-5,5.313413,203.0420,1345.48,0.9308,0.176672,0.212438,27.677059,0.124693,0.109229,0.116247,0.138681,0.144251,0.157884,0.207630,0.333710
20,5,2.5000001e-5,5.284626,197.2805,1344.69,0.8981,0.176955,0.212911,27.098186,0.172232,0.112236,0.123867,0.122376,0.138392,0.147474,0.195439,0.392270
30,7,3.5e-5,5.275830,195.5527,1505.02,0.8370,0.176623,0.220734,27.694407,0.100224,0.122044,0.119806,0.123784,0.140644,0.155896,0.193309,0.326461
40,10,5.0000002e-5,5.229245,186.6519,1373.11,0.8779,0.179552,0.219380,26.562891,0.122815,0.130043,0.125679,0.133299,0.142539,0.160478,0.216164,0.346930
50,12,6.0000002e-5,5.207036,182.5522,1234.83,0.8500,0.181652,0.227230,27.082830,0.118361,0.118385,0.126365,0.131220,0.142816,0.164553,0.209285,0.389959
60,15,7.5e-5,5.127844,168.6531,1474.49,0.8740,0.178470,0.225690,26.409296,0.150355,0.126099,0.134028,0.136578,0.143824,0.159803,0.219441,0.387628
70,17,8.500001e-5,5.040136,154.4910,1118.34,0.8315,0.179995,0.222721,26.935278,0.099698,0.098375,0.139787,0.131822,0.142176,0.166399,0.227803,0.427577
80,20,1.00000005e-4,5.023653,151.9653,1283.49,0.8796,0.174302,0.212137,25.437176,0.134401,0.103492,0.122993,0.124770,0.132374,0.152323,0.209609,0.425628
90,22,1.1000001e-4,4.898040,134.0268,1383.68,0.8322,0.177922,0.215725,26.126751,0.109079,0.111634,0.121751,0.127048,0.132760,0.150930,0.195592,0.370335
100,25,1.25e-4,4.832150,125.4804,1304.21,0.8614,0.177677,0.201010,25.123577,0.116223,0.113014,0.122883,0.126138,0.137651,0.152367,0.175316,0.329401
110,27,1.3500001e-4,4.732544,113.5841,1268.05,0.8332,0.172636,0.192518,24.422747,0.123544,0.108829,0.110259,0.129703,0.130770,0.146239,0.187887,0.392612
120,30,1.5e-4,4.619271,101.4201,1217.40,0.8829,0.169800,0.192289,23.777035,0.117901,0.110476,0.119856,0.125467,0.131951,0.144040,0.203417,0.319921
130,32,1.6000001e-4,4.536681,93.3804,1463.75,0.8514,0.168540,0.182434,23.318573,0.113891,0.110884,0.113882,0.121969,0.124544,0.135079,0.178278,0.289041
140,35,1.7500001e-4,4.466604,87.0605,1716.74,0.8627,0.168244,0.179549,23.167011,0.108181,0.111308,0.106933,0.114955,0.122325,0.139289,0.160456,0.233710
150,37,1.8500001e-4,4.323966,75.4874,1248.02,0.8809,0.162612,0.164257,22.189449,0.102412,0.123711,0.106767,0.114877,0.116179,0.125028,0.147205,0.273696
160,40,2.0000001e-4,4.227314,68.5329,1287.09,0.9006,0.159277,0.157393,21.808905,0.103055,0.099136,0.104788,0.107698,0.114049,0.124753,0.147705,0.255121
170,42,2.1e-4,4.080904,59.1989,1672.82,0.8416,0.151900,0.142980,20.892597,0.104505,0.094621,0.103145,0.102600,0.110116,0.117395,0.132089,0.195156
180,45,2.2500001e-4,3.976035,53.3053,1280.05,0.8729,0.146901,0.130519,20.458935,0.088481,0.094498,0.112077,0.101242,0.096743,0.105454,0.128924,0.206324
190,47,2.3500001e-4,3.887372,48.7825,1415.58,0.8377,0.142874,0.124397,20.327024,0.090666,0.091412,0.095958,0.091743,0.098647,0.102772,0.110788,0.162144
200,50,2.5e-4,3.801900,44.7862,1514.88,0.8752,0.141549,0.116558,19.332590,0.087386,0.101193,0.085575,0.096141,0.094233,0.098558,0.106171,0.156527
210,52,2.6e-4,3.677099,39.5315,1387.18,0.8478,0.134850,0.108045,18.761852,0.089138,0.086909,0.086937,0.088703,0.089788,0.090866,0.099446,0.180850
220,55,2.7500003e-4,3.563965,35.3029,1510.13,0.8756,0.131914,0.102997,18.031429,0.101265,0.084561,0.081114,0.082281,0.085678,0.086209,0.098077,0.139586
230,57,2.8500002e-4,3.512090,33.5183,1344.76,0.8310,0.129730,0.097873,18.406282,0.075261,0.090902,0.078859,0.079448,0.084433,0.082797,0.089859,0.141156
240,60,3e-4,3.348000,28.4458,1202.56,0.8610,0.124349,0.087982,17.435314,0.065554,0.083277,0.077890,0.070183,0.072920,0.075895,0.080254,0.153786
250,62,3.1e-4,3.291716,26.8890,1496.01,0.8522,0.122454,0.089959,16.846249,0.108276,0.068370,0.073987,0.071107,0.076985,0.078958,0.089135,0.136636
260,65,3.25e-4,3.249417,25.7753,1386.88,0.8427,0.120577,0.081035,17.047909,0.084477,0.074618,0.071044,0.067424,0.074785,0.071995,0.072440,0.112711
270,67,3.3500002e-4,3.118392,22.6100,1278.00,0.8789,0.117734,0.077381,15.750130,0.086167,0.063156,0.070102,0.066009,0.067099,0.069511,0.072398,0.099375
280,70,3.5000002e-4,3.064155,21.4163,1164.84,0.8721,0.116290,0.076536,16.198612,0.070164,0.073976,0.059104,0.062702,0.063419,0.066170,0.073764,0.118750
290,72,3.6000003e-4,2.989851,19.8827,1226.28,0.8648,0.112729,0.070907,15.082991,0.062272,0.058127,0.054980,0.062127,0.063581,0.062393,0.065192,0.135676
300,75,3.75e-4,2.942387,18.9611,1286.18,0.8628,0.112348,0.067067,15.381952,0.072618,0.053130,0.058262,0.056754,0.059135,0.061124,0.062201,0.086757
310,77,3.8500002e-4,2.879977,17.8139,1091.26,0.8512,0.110147,0.063500,15.214937,0.063280,0.057934,0.051317,0.054836,0.055514,0.055652,0.065413,0.123567
320,80,4.0000002e-4,2.800674,16.4557,1148.51,0.8663,0.107643,0.060260,14.828366,0.062513,0.052977,0.052070,0.052834,0.055485,0.053493,0.055197,0.093820
330,82,4.1e-4,2.691060,14.7473,1210.47,0.8786,0.103623,0.054597,13.741078,0.051233,0.053188,0.052503,0.047990,0.048857,0.050098,0.051237,0.068221
340,85,4.2500003e-4,2.668715,14.4214,1511.25,0.8241,0.103182,0.056245,14.021460,0.046896,0.047252,0.050396,0.050618,0.049809,0.053308,0.052304,0.067519
350,87,4.3500002e-4,2.608459,13.5781,1423.27,0.8551,0.100802,0.051347,13.332692,0.044556,0.049889,0.046385,0.047411,0.044554,0.048226,0.047824,0.067961
360,90,4.5000002e-4,2.555237,12.8743,1425.95,0.8771,0.099423,0.050346,13.077441,0.042913,0.045611,0.043280,0.043616,0.045542,0.046165,0.048934,0.068870
370,92,4.6000004e-4,2.482279,11.9685,1611.46,0.8436,0.097027,0.047136,12.744033,0.039366,0.040875,0.043659,0.042375,0.044024,0.043130,0.044685,0.071046
