step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,1,2.0000002e-6,5.668940,289.7271,1802.78,1.2472,0.055375,0.235704,29.529568
20,2,4.0000004e-6,5.670328,290.1296,1698.46,1.1344,0.054573,0.222174,29.075586
30,3,6e-6,5.594098,268.8351,2035.29,1.1319,0.056058,0.221622,29.338526
40,5,1.0000001e-5,5.459412,234.9591,1800.80,1.1514,0.056399,0.213799,27.742985
50,6,1.2e-5,5.361331,213.0082,1619.15,1.1145,0.057031,0.222130,27.891582
60,7,1.4000001e-5,5.241143,188.8859,1895.98,1.1238,0.055802,0.199048,26.988016
70,8,1.6000002e-5,5.093062,162.8878,1491.43,1.1089,0.055753,0.181875,27.212734
80,10,2.0000001e-5,4.901121,134.4404,1683.82,1.1540,0.052256,0.152767,24.831566
90,11,2.2e-5,4.822768,124.3087,1860.05,1.1187,0.050361,0.140691,25.732906
100,12,2.4e-5,4.688193,108.6567,1685.29,1.1131,0.047609,0.123106,24.375423
110,13,2.6000002e-5,4.548036,94.4467,1734.55,1.1397,0.044795,0.108364,23.473833
120,15,3.0000001e-5,4.462144,86.6731,1568.62,1.1376,0.042156,0.097849,22.968929
130,16,3.2000004e-5,4.352279,77.6553,1940.09,1.1285,0.040010,0.086836,22.373089
140,17,3.4000004e-5,4.278828,72.1558,2225.54,1.1183,0.038172,0.080049,22.192514
150,18,3.6e-5,4.170791,64.7667,1621.06,1.1442,0.036781,0.074083,21.414139
160,20,4.0000003e-5,4.133994,62.4268,1632.76,1.1425,0.035570,0.069162,21.330214
170,21,4.2000003e-5,4.043576,57.0299,2194.76,1.1042,0.033146,0.065935,20.703583
180,22,4.4e-5,3.961889,52.5565,1619.00,1.1041,0.032457,0.064486,20.391273
190,23,4.6000005e-5,3.913918,50.0948,1833.48,1.0850,0.031404,0.059227,20.468824
200,25,5.0000002e-5,3.860509,47.4895,1959.98,1.1324,0.029790,0.053348,19.644550
210,26,5.2000003e-5,3.781420,43.8783,1815.59,1.1097,0.028284,0.048304,19.294781
220,27,5.4000004e-5,3.694044,40.2071,1960.42,1.1367,0.027013,0.045830,18.691936
230,28,5.6000004e-5,3.706895,40.7272,1786.11,1.1038,0.026596,0.044922,19.426548
240,30,6.0000002e-5,3.607439,36.8715,1497.67,1.0723,0.024973,0.038701,18.784967
250,31,6.2e-5,3.561457,35.2145,1996.03,1.1370,0.024062,0.037282,18.222681
260,32,6.400001e-5,3.516568,33.6687,1788.82,1.0870,0.023432,0.035854,18.446615
270,33,6.6e-5,3.415462,30.4310,1667.46,1.1467,0.022213,0.032972,17.252792
280,35,7e-5,3.411645,30.3151,1488.32,1.1142,0.022246,0.033415,18.035559
290,36,7.2e-5,3.325680,27.8179,1621.68,1.1437,0.020963,0.030919,16.785421
300,37,7.4e-5,3.287004,26.7626,1661.21,1.1144,0.020586,0.029109,17.182175
310,38,7.6000004e-5,3.247399,25.7233,1439.56,1.1229,0.020414,0.029103,17.160252
320,40,8.0000005e-5,3.205197,24.6604,1426.77,1.0762,0.020124,0.029223,16.968771
330,41,8.2000006e-5,3.084817,21.8635,1563.12,1.1346,0.019349,0.027469,15.751477
340,42,8.400001e-5,3.106292,22.3381,1990.48,1.0854,0.019254,0.026948,16.323648
350,43,8.6e-5,3.004114,20.1683,1854.99,1.1145,0.018840,0.026338,15.362195
360,45,9.000001e-5,2.964264,19.3804,1811.16,1.1140,0.018443,0.026789,15.173022
