step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,1,1.3333333e-6,5.947624,382.8425,173.94,0.1202
20,2,2.6666667e-6,5.901402,365.5498,144.86,0.0968
30,3,4e-6,5.851909,347.8979,162.39,0.0902
40,5,6.6666666e-6,5.751332,314.6095,149.32,0.0955
50,6,8e-6,5.621931,276.4227,142.42,0.0980
60,7,9.333333e-6,5.445445,231.7004,157.28,0.0931
70,8,1.0666667e-5,5.352406,211.1155,134.90,0.0998
80,10,1.3333333e-5,5.206043,182.3710,144.64,0.0991
90,11,1.4666665e-5,5.078199,160.4848,153.00,0.0919
100,12,1.6e-5,5.005748,149.2687,146.73,0.0969
110,13,1.7333332e-5,4.884789,132.2625,195.59,0.1285
120,15,2e-5,4.774465,118.4469,138.58,0.1005
130,16,2.1333333e-5,4.707898,110.8190,159.59,0.0928
140,17,2.2666667e-5,4.611263,100.6111,171.64,0.0863
150,18,2.3999999e-5,4.474591,87.7587,138.16,0.0975
160,20,2.6666667e-5,4.441974,84.9424,139.72,0.0978
170,21,2.7999999e-5,4.297116,73.4875,171.31,0.0862
180,22,2.933333e-5,4.169869,64.7070,138.74,0.0946
190,23,3.0666666e-5,4.145715,63.1628,152.26,0.0898
200,25,3.3333334e-5,4.057569,57.8335,158.10,0.0913
210,26,3.4666664e-5,3.924278,50.6165,202.52,0.1238
220,27,3.6e-5,3.866048,47.7533,157.49,0.0913
230,28,3.733333e-5,3.825209,45.8424,148.16,0.0912
240,30,4e-5,3.674320,39.4218,139.41,0.0998
250,31,4.1333333e-5,3.631455,37.7677,156.32,0.0890
260,32,4.2666667e-5,3.579080,35.8405,151.26,0.0918
270,33,4.4e-5,3.494520,32.9345,141.92,0.0976
280,35,4.6666664e-5,3.457671,31.7430,135.65,0.1016
290,36,4.7999998e-5,3.410936,30.2936,140.96,0.0990
300,37,4.9333332e-5,3.329597,27.9271,140.57,0.0943
310,38,5.0666666e-5,3.258718,26.0162,180.24,0.1406
320,40,5.3333333e-5,3.214576,24.8927,132.43,0.0999
330,41,5.4666667e-5,3.100971,22.2195,134.80,0.0978
340,42,5.5999997e-5,3.078831,21.7330,157.26,0.0858
350,43,5.733333e-5,3.031939,20.7374,150.56,0.0899
360,45,6.0000002e-5,2.969261,19.4775,147.52,0.0907
370,46,6.133333e-5,2.858624,17.4375,161.97,0.0848
380,47,6.2666666e-5,2.928568,18.7008,157.17,0.0880
390,48,6.4e-5,2.846023,17.2192,150.39,0.0925
400,50,6.666667e-5,2.786610,16.2259,149.94,0.0911
410,51,6.8e-5,2.767464,15.9182,188.65,0.1323
420,52,6.933333e-5,2.756621,15.7466,151.67,0.0933
430,53,7.066666e-5,2.599100,13.4516,136.72,0.0999
440,55,7.3333336e-5,2.606191,13.5474,132.02,0.1042
450,56,7.466666e-5,2.635168,13.9456,163.78,0.0888
460,57,7.6e-5,2.528829,12.5388,147.52,0.0917
470,58,7.733333e-5,2.558439,12.9156,169.20,0.0875
480,60,8e-5,2.476475,11.8992,136.75,0.1059
490,61,8.133333e-5,2.413484,11.1728,136.67,0.1007
500,62,8.2666666e-5,2.467670,11.7949,152.38,0.0894
510,63,8.399999e-5,2.419579,11.2411,195.08,0.1315
520,65,8.666667e-5,2.336488,10.3448,169.14,0.0882
530,66,8.8e-5,2.262677,9.6088,151.90,0.0896
540,67,8.933333e-5,2.323411,10.2104,139.95,0.0981
550,68,9.066667e-5,2.253153,9.5177,144.46,0.0935
560,70,9.333333e-5,2.254446,9.5300,142.94,0.0989
570,71,9.466666e-5,2.197540,9.0028,173.42,0.0833
580,72,9.5999996e-5,2.144846,8.5407,145.20,0.0964
590,73,9.733333e-5,2.140662,8.5051,134.13,0.0978
600,75,1e-4,2.107665,8.2290,141.25,0.0989
610,76,1.0133333e-4,2.138033,8.4827,193.23,0.1386
620,77,1.02666665e-4,2.085249,8.0466,143.41,0.0965
630,78,1.0399999e-4,2.060777,7.8521,158.02,0.0928
640,80,1.0666667e-4,2.044199,7.7230,166.86,0.0908
650,81,1.08e-4,2.030200,7.6156,137.15,0.1014
660,82,1.09333334e-4,2.029312,7.6088,161.70,0.0852
670,83,1.1066667e-4,1.982589,7.2615,155.52,0.0855
680,85,1.1333333e-4,2.060547,7.8503,153.17,0.0870
690,86,1.1466666e-4,1.956851,7.0770,130.84,0.0947
700,87,1.15999996e-4,1.923672,6.8461,150.63,0.0873
710,88,1.1733332e-4,1.962576,7.1176,204.92,0.1098
720,90,1.20000004e-4,1.877119,6.5347,130.90,0.0962
730,91,1.2133333e-4,1.894300,6.6479,140.82,0.0906
740,92,1.2266666e-4,1.838868,6.2894,155.51,0.0855
750,93,1.24e-4,1.880154,6.5545,155.41,0.0846
760,95,1.2666667e-4,1.871188,6.4960,140.75,0.0902
770,96,1.28e-4,1.922087,6.8352,132.03,0.0952
780,97,1.2933332e-4,1.803661,6.0718,147.57,0.0845
790,98,1.3066665e-4,1.760886,5.8176,131.73,0.0955
800,100,1.3333333e-4,1.862956,6.4428,137.39,0.0920
810,101,1.3466667e-4,1.785269,5.9612,223.38,0.1249
820,102,1.36e-4,1.698108,5.4636,145.58,0.0917
830,103,1.3733334e-4,1.728509,5.6322,130.83,0.0894
840,105,1.3999999e-4,1.702113,5.4855,119.54,0.1039
850,106,1.4133332e-4,1.694115,5.4418,163.24,0.0856
860,107,1.4266666e-4,1.731475,5.6490,144.31,0.0901
870,108,1.44e-4,1.691560,5.4279,155.26,0.0849
880,110,1.4666667e-4,1.754073,5.7781,132.68,0.0926
890,111,1.4799999e-4,1.674830,5.3379,152.55,0.0873
900,112,1.4933333e-4,1.705933,5.5065,144.50,0.0892
910,113,1.5066666e-4,1.664436,5.2827,184.42,0.1324
920,115,1.5333333e-4,1.705713,5.5053,156.90,0.0886
930,116,1.5466666e-4,1.678579,5.3579,141.67,0.0928
940,117,1.56e-4,1.646640,5.1895,133.63,0.0937
950,118,1.5733333e-4,1.566964,4.7921,134.43,0.0965
960,120,1.6e-4,1.560134,4.7595,137.28,0.0988
970,121,1.6133333e-4,1.662178,5.2708,134.70,0.0936
980,122,1.6266666e-4,1.650137,5.2077,137.67,0.0918
990,123,1.64e-4,1.587833,4.8931,132.89,0.0938
1000,125,1.6666666e-4,1.759912,5.8119,137.46,0.0893
1010,126,1.6799998e-4,1.564361,4.7796,190.13,0.1249
1020,127,1.6933333e-4,1.611547,5.0106,149.47,0.0889
1030,128,1.7066667e-4,1.546061,4.6929,168.30,0.0810
1040,130,1.7333333e-4,1.501308,4.4876,144.97,0.0877
1050,131,1.7466667e-4,1.507964,4.5175,151.87,0.0863
1060,132,1.76e-4,1.673360,5.3300,157.03,0.0859
1070,133,1.7733332e-4,1.566571,4.7902,146.18,0.0891
1080,135,1.7999999e-4,1.542300,4.6753,133.54,0.0939
1090,136,1.8133334e-4,1.569609,4.8048,155.05,0.0857
1100,137,1.8266667e-4,1.560455,4.7610,145.02,0.0884
1110,138,1.84e-4,1.455623,4.2872,190.44,0.1308
1120,140,1.8666666e-4,1.496374,4.4655,167.34,0.0885
1130,141,1.8799999e-4,1.478443,4.3861,136.40,0.0948
1140,142,1.8933332e-4,1.502245,4.4918,139.54,0.0922
1150,143,1.9066666e-4,1.408102,4.0882,121.77,0.0991
1160,145,1.9333333e-4,1.394270,4.0320,134.94,0.0941
1170,146,1.9466666e-4,1.494687,4.4579,151.88,0.0851
1180,147,1.96e-4,1.453448,4.2778,145.89,0.0902
1190,148,1.9733333e-4,1.437937,4.2120,156.75,0.0860
1200,150,1.9999954e-4,1.445679,4.2447,132.18,0.0962
1210,151,1.9999954e-4,1.400278,4.0563,198.07,0.1192
1220,152,1.9999954e-4,1.357698,3.8872,124.87,0.0965
1230,153,1.9999954e-4,1.420919,4.1409,150.63,0.0851
1240,155,1.9999954e-4,1.474700,4.3697,141.86,0.0931
1250,156,1.9999951e-4,1.385644,3.9974,133.60,0.0969
1260,157,1.9999951e-4,1.385840,3.9982,135.20,0.0970
1270,158,1.9999951e-4,1.352525,3.8672,125.83,0.0961
1280,160,1.9999949e-4,1.322880,3.7542,135.69,0.0943
1290,161,1.9999949e-4,1.348491,3.8516,138.46,0.0941
1300,162,1.9999949e-4,1.349986,3.8574,169.88,0.0819
1310,163,1.9999949e-4,1.349332,3.8548,230.86,0.1037
1320,165,1.9999946e-4,1.291049,3.6366,126.44,0.0974
1330,166,1.9999946e-4,1.329796,3.7803,148.73,0.0890
1340,167,1.9999946e-4,1.355843,3.8800,130.06,0.0953
