step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,3.0000001e-5,5.244575,189.5352,4401.75,3.0451,0.205649,0.843040,27.320154
20,20,6.0000002e-5,4.947019,140.7548,4413.33,2.9476,0.192899,0.738765,25.397768
30,30,9.000001e-5,4.523211,92.1310,4902.18,2.7264,0.174635,0.596388,23.736458
40,40,1.20000004e-4,4.026422,56.0599,4546.33,2.9067,0.151228,0.448826,20.469160
50,50,1.5e-4,3.703264,40.5795,4287.25,2.9512,0.130972,0.325717,19.271442
60,60,1.8000002e-4,3.466686,32.0304,4752.78,2.8171,0.105804,0.221270,17.864750
70,70,2.1000001e-4,3.305683,27.2671,4083.17,3.0360,0.092829,0.147748,17.669952
80,80,2.4000001e-4,3.150301,23.3431,4364.92,2.9914,0.081070,0.112400,15.957855
90,90,2.7000002e-4,3.067227,21.4823,4600.11,2.7667,0.082293,0.098607,16.361437
100,100,3e-4,3.000482,20.0952,4401.20,2.9069,0.082080,0.089750,15.596411
110,110,3e-4,2.899463,18.1644,4393.93,2.8872,0.083980,0.086099,14.964584
120,120,3e-4,2.814689,16.6880,4209.33,3.0527,0.089954,0.088867,14.490202
130,130,3e-4,2.777590,16.0802,4820.00,2.8037,0.102378,0.105111,14.278116
140,140,3e-4,2.697586,14.8439,5251.48,2.6389,0.120108,0.123010,13.986931
150,150,3e-4,2.590967,13.3427,4246.43,2.9972,0.148331,0.139204,13.300797
160,160,3e-4,2.609886,13.5975,4275.19,2.9915,0.164955,0.168962,13.468130
170,170,3e-4,2.526141,12.5052,5226.08,2.6292,0.175204,0.185090,12.932347
180,180,3e-4,2.441989,11.4959,4326.10,2.9501,0.183528,0.196739,12.572573
190,190,3e-4,2.411860,11.1547,4667.96,2.7624,0.202844,0.186950,12.614397
200,200,3e-4,2.390751,10.9217,4837.75,2.7950,0.212516,0.198371,12.161024
210,210,3e-4,2.319590,10.1715,4613.06,2.8195,0.225150,0.208369,11.835229
220,220,3e-4,2.264165,9.6231,4843.35,2.8084,0.242895,0.215276,11.454714
230,230,3e-4,2.275180,9.7297,4526.98,2.7976,0.256302,0.220075,11.930980
240,240,3e-4,2.150214,8.5867,4179.77,2.9926,0.251036,0.196774,11.201624
250,250,3e-4,2.136485,8.4696,4975.20,2.8341,0.268320,0.213693,10.942601
260,260,3e-4,2.159817,8.6696,4609.67,2.8010,0.292235,0.214010,11.330046
270,270,3e-4,2.046418,7.7401,4381.56,3.0132,0.287005,0.195921,10.331940
280,280,3e-4,2.050560,7.7723,4106.74,3.0745,0.320479,0.210773,10.843184
290,290,3e-4,2.016658,7.5132,4345.20,3.0644,0.321895,0.220273,10.179601
300,300,3e-4,1.963922,7.1272,4378.53,2.9374,0.322907,0.200944,10.271940
310,310,3e-4,1.932069,6.9038,4015.98,3.1325,0.339660,0.203903,10.205760
320,320,3e-4,1.935836,6.9298,4094.26,3.0882,0.358277,0.212260,10.253343
330,330,3e-4,1.823926,6.1961,4262.86,3.0941,0.355525,0.219221,9.317381
340,340,3e-4,1.854887,6.3910,4881.80,2.6621,0.364861,0.216285,9.749063
350,350,3e-4,1.812401,6.1251,4693.59,2.8199,0.371007,0.219139,9.267008
360,360,3e-4,1.792690,6.0056,4612.07,2.8368,0.372434,0.236909,9.187502
