step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,1,2.0000002e-6,5.214398,183.9012,1972.21,1.3644,0.084978,0.273040,27.155979
20,2,4.0000004e-6,5.208159,182.7574,1852.30,1.2371,0.082519,0.272642,26.684582
30,3,6e-6,5.175658,176.9130,2236.92,1.2441,0.083868,0.268463,27.147482
40,5,1.0000001e-5,5.094872,163.1829,2113.12,1.3510,0.082847,0.266745,25.880610
50,6,1.2e-5,4.988394,146.7007,1986.75,1.3676,0.080756,0.259455,25.946051
60,7,1.4000001e-5,4.843511,126.9141,2359.16,1.3983,0.076235,0.239723,24.948664
70,8,1.6000002e-5,4.768875,117.7866,1783.36,1.3260,0.075578,0.223027,25.486170
80,10,2.0000001e-5,4.637326,103.2678,2003.09,1.3727,0.069437,0.203278,23.489939
90,11,2.2e-5,4.553902,95.0024,2181.95,1.3123,0.065580,0.180960,24.297789
100,12,2.4e-5,4.465823,86.9926,2046.81,1.3519,0.063487,0.170974,23.219282
110,13,2.6000002e-5,4.378316,79.7037,2052.46,1.3486,0.058017,0.149909,22.594458
120,15,3.0000001e-5,4.265217,71.1804,1925.09,1.3961,0.055404,0.137210,21.955076
130,16,3.2000004e-5,4.194104,66.2943,2319.97,1.3495,0.052683,0.127516,21.562757
140,17,3.4000004e-5,4.145147,63.1269,2689.78,1.3516,0.049737,0.114269,21.499350
150,18,3.6e-5,4.049634,57.3765,1899.94,1.3410,0.045022,0.101915,20.792782
160,20,4.0000003e-5,3.999210,54.5550,1964.59,1.3747,0.043956,0.094521,20.636683
170,21,4.2000003e-5,3.876304,48.2456,2642.85,1.3296,0.040699,0.085439,19.851105
180,22,4.4e-5,3.812939,45.2833,2097.02,1.4300,0.038283,0.077045,19.626242
190,23,4.6000005e-5,3.796229,44.5329,2380.72,1.4088,0.036905,0.071059,19.859745
200,25,5.0000002e-5,3.702307,40.5407,2419.16,1.3977,0.034703,0.068422,18.833540
210,26,5.2000003e-5,3.643436,38.2229,2346.06,1.4339,0.032715,0.058809,18.589802
220,27,5.4000004e-5,3.558778,35.1203,2499.83,1.4495,0.031622,0.057167,18.010975
230,28,5.6000004e-5,3.560423,35.1781,2189.39,1.3530,0.030514,0.055120,18.666073
240,30,6.0000002e-5,3.468950,32.1030,1875.26,1.3427,0.028933,0.052275,18.067371
250,31,6.2e-5,3.416180,30.4529,2380.39,1.3560,0.027614,0.049650,17.488085
260,32,6.400001e-5,3.401879,30.0205,2229.40,1.3547,0.026514,0.046770,17.844215
270,33,6.6e-5,3.287611,26.7788,2076.73,1.4282,0.024829,0.040479,16.610180
280,35,7e-5,3.300325,27.1214,1803.43,1.3501,0.024928,0.041092,17.448164
290,36,7.2e-5,3.202956,24.6051,1982.94,1.3984,0.023455,0.037070,16.167173
300,37,7.4e-5,3.174264,23.9092,1952.98,1.3102,0.023098,0.036470,16.597391
310,38,7.6000004e-5,3.156763,23.4944,1706.96,1.3315,0.022699,0.036173,16.676273
320,40,8.0000005e-5,3.076248,21.6769,1721.31,1.2983,0.021878,0.034917,16.283115
330,41,8.2000006e-5,2.970052,19.4929,1842.37,1.3372,0.020875,0.032043,15.167468
