step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,1,2.0000002e-6,5.235219,187.7702,2269.55,1.5701,0.052784,0.173750,27.270529
20,2,4.0000004e-6,5.223810,185.6401,2134.47,1.4256,0.051256,0.166979,26.790918
30,3,6e-6,5.170218,175.9533,2558.57,1.4230,0.052016,0.172037,27.125183
40,5,1.0000001e-5,5.086171,161.7693,2317.11,1.4815,0.051067,0.164138,25.828808
50,6,1.2e-5,4.963413,143.0813,2002.98,1.3788,0.050822,0.167853,25.820078
60,7,1.4000001e-5,4.848435,127.5406,2452.47,1.4536,0.048867,0.152929,24.973034
70,8,1.6000002e-5,4.741319,114.5852,1885.36,1.4018,0.048564,0.145944,25.334108
80,10,2.0000001e-5,4.586200,98.1208,2150.97,1.4741,0.045750,0.132539,23.230129
90,11,2.2e-5,4.442518,84.9887,2277.05,1.3695,0.043946,0.117218,23.701210
100,12,2.4e-5,4.349190,77.4157,2152.15,1.4214,0.041533,0.111185,22.614948
110,13,2.6000002e-5,4.206895,67.1477,2121.79,1.3942,0.039017,0.100803,21.708218
120,15,3.0000001e-5,4.078449,59.0538,1960.41,1.4217,0.036943,0.093917,20.996675
130,16,3.2000004e-5,3.979902,53.5118,2467.80,1.4355,0.035079,0.085491,20.453360
140,17,3.4000004e-5,3.876955,48.2770,2885.35,1.4499,0.033590,0.079907,20.105717
150,18,3.6e-5,3.749432,42.4969,2166.57,1.5292,0.031507,0.069588,19.249905
160,20,4.0000003e-5,3.705719,40.6793,2208.94,1.5457,0.030574,0.065850,19.121960
170,21,4.2000003e-5,3.559810,35.1565,2866.80,1.4423,0.028238,0.057625,18.222294
180,22,4.4e-5,3.459528,31.8020,2251.33,1.5353,0.026973,0.053769,17.803083
190,23,4.6000005e-5,3.398983,29.9336,2538.96,1.5025,0.026298,0.050883,17.780327
200,25,5.0000002e-5,3.329406,27.9218,2526.28,1.4596,0.025267,0.047187,16.939072
210,26,5.2000003e-5,3.227396,25.2139,2289.24,1.3992,0.024117,0.044919,16.463526
220,27,5.4000004e-5,3.162903,23.6391,2596.85,1.5058,0.023169,0.041241,16.004343
230,28,5.6000004e-5,3.114415,22.5203,2338.35,1.4451,0.022978,0.040327,16.320835
