step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-6,5.021759,151.6779,4622.83,0.7530,0.185603,0.557124,37.047680
20,20,4e-6,4.950044,141.1812,4189.13,0.7726,0.185320,0.557435,35.219822
30,30,5.9999998e-6,4.860120,129.0397,3779.47,0.7788,0.178384,0.442810,34.826927
40,40,8e-6,4.791802,120.5184,4218.03,0.7478,0.164327,0.364662,36.414612
50,50,1e-5,4.709468,110.9931,4268.43,0.7486,0.133431,0.236385,34.807499
60,60,1.19999995e-5,4.671163,106.8219,3890.83,0.7887,0.122066,0.176664,33.686176
70,70,1.3999999e-5,4.642257,103.7783,3930.58,0.7350,0.122472,0.146799,34.950146
80,80,1.6e-5,4.609964,100.4806,4213.16,0.7578,0.111882,0.111397,33.227821
90,90,1.8e-5,4.595544,99.0420,4339.49,0.7315,0.114787,0.095791,34.008224
100,100,2e-5,4.568702,96.4189,3846.85,0.7420,0.115113,0.075284,33.631721
110,110,2.2e-5,4.539659,93.6588,4168.43,0.7365,0.114773,0.068585,32.266529
120,120,2.3999999e-5,4.518035,91.6553,4497.06,0.7592,0.112395,0.052448,32.454567
130,130,2.5999998e-5,4.494283,89.5039,4066.62,0.7616,0.112774,0.050506,32.382011
140,140,2.7999999e-5,4.477893,88.0490,4051.98,0.7326,0.115241,0.046175,32.950130
150,150,3.0000001e-5,4.449331,85.5697,3994.29,0.7426,0.114724,0.045471,33.024456
160,160,3.2e-5,4.442618,84.9972,3922.58,0.7329,0.114253,0.042293,33.297459
170,170,3.4e-5,4.411204,82.3686,4299.26,0.7359,0.114622,0.038013,32.584679
180,180,3.6e-5,4.403198,81.7117,4002.95,0.7043,0.113573,0.033481,33.945999
190,190,3.8e-5,4.378716,79.7355,4511.22,0.6974,0.112966,0.031268,33.900314
200,200,4e-5,4.332549,76.1381,4247.61,0.7516,0.110169,0.031440,31.846943
210,210,4.1999996e-5,4.306828,74.2047,3946.57,0.7656,0.105185,0.026587,30.757915
220,220,4.4e-5,4.288973,72.8916,4292.42,0.7483,0.108833,0.026224,31.443598
230,230,4.6e-5,4.260007,70.8105,4231.83,0.7646,0.108041,0.023339,31.711477
240,240,4.7999998e-5,4.217288,67.8492,4510.66,0.7746,0.108453,0.022815,29.731785
250,250,5e-5,4.185350,65.7165,4463.09,0.7760,0.106775,0.022958,29.497929
260,260,5.1999996e-5,4.174468,65.0052,4408.67,0.7553,0.109442,0.020884,30.415152
270,270,5.4e-5,4.140263,62.8193,3533.17,0.7865,0.112688,0.019171,29.886332
280,280,5.5999997e-5,4.086557,59.5346,4575.83,0.8078,0.106229,0.016965,27.995249
290,290,5.7999998e-5,4.077386,58.9911,4364.94,0.7716,0.107844,0.016954,28.817204
300,300,6.0000002e-5,4.049452,57.3660,4458.92,0.7951,0.110538,0.015655,29.095169
310,310,6.2e-5,4.015087,55.4281,4643.08,0.7765,0.112468,0.017668,29.275982
320,320,6.4e-5,4.001744,54.6935,3248.89,0.7141,0.115050,0.019685,30.426249
330,330,6.6e-5,3.973265,53.1578,3690.62,0.7476,0.118285,0.016571,29.485132
340,340,6.8e-5,3.928702,50.8410,4557.59,0.7645,0.114294,0.019042,28.354645
350,350,6.9999995e-5,3.899371,49.3714,3997.82,0.7766,0.118144,0.019957,28.295126
360,360,7.2e-5,3.860805,47.5036,4570.21,0.7837,0.116687,0.025377,27.441029
370,370,7.3999996e-5,3.848112,46.9044,4656.97,0.7575,0.120526,0.021439,28.851038
380,380,7.6e-5,3.809630,45.1337,3914.46,0.7626,0.120486,0.019322,27.511974
390,390,7.8e-5,3.787332,44.1385,4557.99,0.7409,0.123930,0.029947,27.948523
400,400,8e-5,3.745800,42.3428,4416.40,0.7335,0.126066,0.025737,27.578526
410,410,8.2e-5,3.728002,41.5959,3970.11,0.7524,0.125500,0.021339,26.983124
420,420,8.399999e-5,3.690238,40.0544,4184.98,0.7543,0.126821,0.017290,26.781765
430,430,8.6e-5,3.681026,39.6871,4131.43,0.7553,0.129588,0.021342,27.254963
440,440,8.8e-5,3.640513,38.1114,4256.10,0.7303,0.130779,0.026194,27.027609
450,450,8.9999994e-5,3.602462,36.6885,4367.71,0.7663,0.127134,0.020139,25.670551
460,460,9.2e-5,3.568351,35.4581,4410.94,0.7892,0.131207,0.023915,24.673498
470,470,9.3999995e-5,3.554842,34.9823,4561.49,0.7695,0.132862,0.023973,25.605524
480,480,9.5999996e-5,3.510787,33.4746,3880.95,0.7463,0.137583,0.029337,25.033970
490,490,9.8e-5,3.520668,33.8070,3926.24,0.7297,0.143343,0.033241,26.202938
500,500,1e-4,3.477006,32.3627,3823.35,0.7698,0.142183,0.028776,24.882671
510,510,1.02e-4,3.454703,31.6489,4031.79,0.7358,0.142217,0.028990,25.199400
520,520,1.0399999e-4,3.409396,30.2470,4418.99,0.7840,0.145696,0.032117,23.917431
530,530,1.0599999e-4,3.407339,30.1848,3878.89,0.7477,0.147532,0.035999,25.070400
540,540,1.08e-4,3.393181,29.7605,4304.58,0.7304,0.158626,0.035597,25.664234
550,550,1.1e-4,3.355484,28.6595,4524.07,0.7568,0.160326,0.031221,24.294504
560,560,1.11999994e-4,3.346577,28.4053,3642.84,0.7420,0.160655,0.032755,24.238674
570,570,1.13999995e-4,3.294572,26.9659,4239.93,0.7729,0.162711,0.039168,23.177509
580,580,1.15999996e-4,3.292654,26.9142,4156.74,0.7719,0.167668,0.045769,23.490179
