step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-6,4.933099,138.8090,4790.43,0.7803,0.457980,1.149365,36.385185
20,20,4e-6,4.834478,125.7729,4408.12,0.8130,0.428135,0.912913,34.391232
30,30,5.9999998e-6,4.715198,111.6309,3895.68,0.8027,0.387261,0.663761,33.785366
40,40,8e-6,4.596967,99.1831,4214.36,0.7472,0.357968,0.573519,34.934395
50,50,1e-5,4.470496,87.4001,4549.46,0.7978,0.296284,0.424529,33.042519
60,60,1.19999995e-5,4.398634,81.3397,3906.98,0.7920,0.261024,0.308012,31.717844
70,70,1.3999999e-5,4.344965,77.0894,4154.88,0.7769,0.246026,0.254852,32.709030
80,80,1.6e-5,4.262197,70.9657,4483.97,0.8065,0.224733,0.174759,30.722530
90,90,1.8e-5,4.227543,68.5486,4605.82,0.7764,0.218998,0.133296,31.284143
100,100,2e-5,4.203898,66.9468,4173.60,0.8050,0.215086,0.112243,30.942303
110,110,2.2e-5,4.172923,64.9049,4783.15,0.8451,0.211130,0.092236,29.655605
120,120,2.3999999e-5,4.139273,62.7572,5047.93,0.8522,0.210680,0.072138,29.734573
130,130,2.5999998e-5,4.121894,61.6759,4667.85,0.8743,0.218215,0.069741,29.702499
140,140,2.7999999e-5,4.112665,61.1093,4628.00,0.8367,0.228732,0.063264,30.256662
150,150,3.0000001e-5,4.084172,59.3928,4598.52,0.8549,0.222061,0.058304,30.318537
160,160,3.2e-5,4.077497,58.9976,4502.61,0.8413,0.226574,0.048863,30.562336
170,170,3.4e-5,4.047757,57.2689,4799.63,0.8215,0.238185,0.047407,29.901379
180,180,3.6e-5,4.042416,56.9638,4327.50,0.7614,0.234940,0.043482,31.164988
190,190,3.8e-5,4.032087,56.3785,4869.09,0.7528,0.232889,0.039562,31.216156
200,200,4e-5,3.995561,54.3563,4508.97,0.7978,0.235174,0.040216,29.373718
210,210,4.1999996e-5,3.974456,53.2212,4248.22,0.8241,0.243173,0.040309,28.388721
220,220,4.4e-5,3.948807,51.8735,4579.19,0.7983,0.251912,0.037202,28.950024
230,230,4.6e-5,3.937640,51.2974,4675.38,0.8447,0.260111,0.037802,29.321873
240,240,4.7999998e-5,3.900771,49.4405,4747.08,0.8152,0.271689,0.037412,27.498745
250,250,5e-5,3.881475,48.4957,4693.71,0.8161,0.277196,0.034086,27.356649
260,260,5.1999996e-5,3.873304,48.1011,4590.53,0.7864,0.297555,0.034349,28.221334
270,270,5.4e-5,3.844903,46.7541,3677.38,0.8186,0.325101,0.034070,27.756977
280,280,5.5999997e-5,3.798396,44.6296,4726.03,0.8343,0.326963,0.033222,26.020187
290,290,5.7999998e-5,3.794162,44.4410,4552.76,0.8048,0.350348,0.032536,26.816828
300,300,6.0000002e-5,3.779063,43.7750,4424.30,0.7889,0.380678,0.035253,27.153751
310,310,6.2e-5,3.758555,42.8864,4656.97,0.7788,0.405550,0.029056,27.406769
320,320,6.4e-5,3.750062,42.5237,3351.32,0.7366,0.414554,0.034648,28.508087
330,330,6.6e-5,3.715712,41.0878,3793.24,0.7683,0.450070,0.030589,27.577475
340,340,6.8e-5,3.681464,39.7045,4695.91,0.7877,0.498517,0.033007,26.570812
350,350,6.9999995e-5,3.650900,38.5093,4061.83,0.7891,0.474743,0.030084,26.492609
360,360,7.2e-5,3.605191,36.7887,4673.39,0.8014,0.508771,0.028025,25.623966
370,370,7.3999996e-5,3.602875,36.7036,4653.85,0.7570,0.562741,0.030715,27.012634
380,380,7.6e-5,3.558730,35.1186,4055.13,0.7900,0.582633,0.027976,25.701096
390,390,7.8e-5,3.547579,34.7291,4739.27,0.7703,0.656735,0.028638,26.179287
400,400,8e-5,3.494226,32.9248,4641.16,0.7709,0.683139,0.028494,25.728168
410,410,8.2e-5,3.460083,31.8196,4161.90,0.7888,0.734046,0.038333,25.043093
420,420,8.399999e-5,3.432738,30.9613,4343.08,0.7828,0.801985,0.028330,24.912535
430,430,8.6e-5,3.417245,30.4853,4171.17,0.7625,0.832166,0.033565,25.299549
440,440,8.8e-5,3.366522,28.9776,4453.71,0.7642,0.840999,0.032549,24.994501
450,450,8.9999994e-5,3.317815,27.6000,4536.89,0.7960,0.903560,0.029434,23.641581
460,460,9.2e-5,3.283627,26.6723,4599.92,0.8230,0.929264,0.034156,22.705328
470,470,9.3999995e-5,3.255144,25.9233,4668.89,0.7876,0.969849,0.033914,23.447189
480,480,9.5999996e-5,3.216258,24.9346,4029.59,0.7748,0.983758,0.032474,22.923679
490,490,9.8e-5,3.229090,25.2567,4049.12,0.7526,1.021109,0.033814,24.033167
500,500,1e-4,3.166667,23.7283,3968.45,0.7991,1.024840,0.028576,22.662096
510,510,1.02e-4,3.140635,23.1186,4187.60,0.7642,1.088702,0.032187,22.911413
520,520,1.0399999e-4,3.097738,22.1478,4619.91,0.8197,1.020321,0.026785,21.731092
