step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,1,2.0000002e-6,6.150972,469.1734,287.43,0.1986
20,2,4.0000004e-6,6.014985,409.5195,249.62,0.1667
30,3,6e-6,5.805223,332.0292,292.67,0.1625
40,5,1.0000001e-5,5.511369,247.4897,261.96,0.1675
50,6,1.2e-5,5.172729,176.3956,242.36,0.1668
60,7,1.4000001e-5,4.867529,129.9993,280.32,0.1660
70,8,1.6000002e-5,4.664528,106.1155,220.87,0.1635
80,10,2.0000001e-5,4.430315,83.9578,246.41,0.1689
90,11,2.2e-5,4.334181,76.2625,268.50,0.1613
100,12,2.4e-5,4.220089,68.0396,249.11,0.1645
110,13,2.6000002e-5,4.074735,58.8349,359.89,0.2365
120,15,3.0000001e-5,3.958987,52.4042,233.86,0.1696
130,16,3.2000004e-5,3.841124,46.5778,285.32,0.1660
140,17,3.4000004e-5,3.772252,43.4778,317.56,0.1596
150,18,3.6e-5,3.631770,37.7796,236.51,0.1669
160,20,4.0000003e-5,3.603509,36.7269,239.55,0.1676
170,21,4.2000003e-5,3.467906,32.0695,321.34,0.1617
180,22,4.4e-5,3.344789,28.3546,243.11,0.1658
190,23,4.6000005e-5,3.330090,27.9408,275.99,0.1628
200,25,5.0000002e-5,3.268407,26.2695,288.80,0.1669
210,26,5.2000003e-5,3.139553,23.0935,710.08,0.4340
220,27,5.4000004e-5,3.046609,21.0439,287.66,0.1668
230,28,5.6000004e-5,3.025342,20.6010,263.23,0.1621
240,30,6.0000002e-5,2.897730,18.1329,233.55,0.1672
250,31,6.2e-5,2.826952,16.8939,293.27,0.1671
260,32,6.400001e-5,2.821395,16.8003,265.38,0.1610
270,33,6.6e-5,2.721915,15.2094,246.12,0.1693
280,35,7e-5,2.705590,14.9631,219.95,0.1647
290,36,7.2e-5,2.603673,13.5133,244.80,0.1720
300,37,7.4e-5,2.567002,13.0267,242.54,0.1627
310,38,7.6000004e-5,2.523387,12.4708,328.90,0.2565
320,40,8.0000005e-5,2.477236,11.9083,218.85,0.1651
330,41,8.2000006e-5,2.325923,10.2361,234.42,0.1702
340,42,8.400001e-5,2.346205,10.4459,291.88,0.1592
350,43,8.6e-5,2.293463,9.9092,278.68,0.1665
360,45,9.000001e-5,2.242125,9.4133,268.12,0.1649
370,46,9.200001e-5,2.154263,8.6215,310.27,0.1624
380,47,9.4e-5,2.192286,8.9557,286.92,0.1607
390,48,9.6e-5,2.153043,8.6110,271.07,0.1668
400,50,1.00000005e-4,2.055108,7.8077,270.02,0.1641
410,51,1.02000005e-4,2.118062,8.3150,370.09,0.2596
420,52,1.04000006e-4,2.111754,8.2627,271.83,0.1672
