step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,1,2.0000002e-6,5.460755,235.2751,103.30,0.0715
20,2,4.0000004e-6,5.398749,221.1297,43.26,0.0289
30,3,6e-6,5.373935,215.7101,48.42,0.0269
40,5,1.0000001e-5,5.290462,198.4351,44.23,0.0283
50,6,1.2e-5,5.182609,178.1469,41.73,0.0287
60,7,1.4000001e-5,5.038054,154.1698,46.92,0.0278
70,8,1.6000002e-5,4.941187,139.9363,37.97,0.0282
80,10,2.0000001e-5,4.798495,121.3277,42.16,0.0289
90,11,2.2e-5,4.706299,110.6419,45.37,0.0273
100,12,2.4e-5,4.629363,102.4488,42.54,0.0281
110,13,2.6000002e-5,4.528290,92.6001,53.72,0.0353
120,15,3.0000001e-5,4.434137,84.2794,42.85,0.0311
130,16,3.2000004e-5,4.380923,79.9117,47.62,0.0277
140,17,3.4000004e-5,4.275420,71.9103,52.85,0.0266
150,18,3.6e-5,4.167500,64.5538,40.74,0.0288
160,20,4.0000003e-5,4.119991,61.5587,41.47,0.0290
170,21,4.2000003e-5,4.000573,54.6294,55.60,0.0280
180,22,4.4e-5,3.914754,50.1367,41.95,0.0286
190,23,4.6000005e-5,3.864549,47.6818,46.50,0.0275
200,25,5.0000002e-5,3.797872,44.6062,47.83,0.0276
210,26,5.2000003e-5,3.708629,40.7978,63.01,0.0385
220,27,5.4000004e-5,3.632084,37.7915,48.67,0.0282
230,28,5.6000004e-5,3.579129,35.8423,48.32,0.0299
240,30,6.0000002e-5,3.498097,33.0525,40.48,0.0290
250,31,6.2e-5,3.430552,30.8937,49.10,0.0280
260,32,6.400001e-5,3.386396,29.5592,44.36,0.0270
270,33,6.6e-5,3.287539,26.7769,42.24,0.0290
280,35,7e-5,3.288104,26.7920,39.00,0.0292
290,36,7.2e-5,3.227837,25.2250,43.34,0.0306
300,37,7.4e-5,3.151264,23.3656,41.88,0.0281
310,38,7.6000004e-5,3.131979,22.9193,52.62,0.0410
320,40,8.0000005e-5,3.067549,21.4892,38.87,0.0293
330,41,8.2000006e-5,2.949439,19.0952,39.92,0.0290
340,42,8.400001e-5,2.955928,19.2196,49.16,0.0268
350,43,8.6e-5,2.891200,18.0149,48.10,0.0289
360,45,9.000001e-5,2.854292,17.3621,46.17,0.0284
370,46,9.200001e-5,2.759886,15.7980,58.91,0.0308
380,47,9.4e-5,2.813256,16.6641,50.53,0.0283
390,48,9.6e-5,2.735507,15.4176,46.93,0.0289
400,50,1.00000005e-4,2.673336,14.4882,46.48,0.0282
410,51,1.02000005e-4,2.678801,14.5676,56.92,0.0399
420,52,1.04000006e-4,2.666929,14.3957,46.46,0.0287
430,53,1.06e-4,2.499771,12.1797,40.47,0.0296
440,55,1.1000001e-4,2.517548,12.3982,38.98,0.0308
450,56,1.1200001e-4,2.555995,12.8841,50.43,0.0273
460,57,1.14e-4,2.477379,11.9100,43.84,0.0273
470,58,1.16e-4,2.461296,11.7200,52.69,0.0274
480,60,1.20000004e-4,2.431042,11.3707,39.28,0.0304
490,61,1.22000005e-4,2.369110,10.6879,39.87,0.0294
500,62,1.24e-4,2.398683,11.0087,45.92,0.0270
510,63,1.26e-4,2.361951,10.6116,59.93,0.0404
520,65,1.3e-4,2.298548,9.9597,53.19,0.0277
530,66,1.32e-4,2.238862,9.3827,50.40,0.0297
540,67,1.34e-4,2.266801,9.6485,40.54,0.0284
550,68,1.3600002e-4,2.224390,9.2478,43.10,0.0279
560,70,1.4e-4,2.220615,9.2130,41.99,0.0290
570,71,1.42e-4,2.174677,8.7993,63.20,0.0304
580,72,1.44e-4,2.119459,8.3266,43.02,0.0286
590,73,1.46e-4,2.116046,8.2983,39.47,0.0288
600,75,1.5e-4,2.074661,7.9619,43.55,0.0305
610,76,1.5200001e-4,2.103653,8.1961,57.55,0.0413
620,77,1.5400001e-4,2.053268,7.7933,42.01,0.0283
630,78,1.56e-4,2.048408,7.7555,47.25,0.0278
640,80,1.6000001e-4,2.024739,7.5741,50.74,0.0276
650,81,1.6200001e-4,1.998247,7.3761,40.06,0.0296
660,82,1.6400001e-4,2.003902,7.4179,49.61,0.0262
670,83,1.6600001e-4,1.967449,7.1524,50.67,0.0279
680,85,1.7000001e-4,2.017539,7.5198,51.41,0.0292
690,86,1.72e-4,1.933681,6.9149,40.96,0.0297
700,87,1.74e-4,1.911312,6.7620,47.16,0.0273
710,88,1.76e-4,1.932681,6.9080,81.99,0.0439
720,90,1.8000002e-4,1.872979,6.5077,40.22,0.0296
730,91,1.8200002e-4,1.899433,6.6821,43.15,0.0278
740,92,1.8400002e-4,1.828631,6.2254,51.12,0.0281
750,93,1.86e-4,1.862743,6.4414,50.67,0.0276
760,95,1.9e-4,1.851709,6.3707,44.25,0.0284
770,96,1.92e-4,1.896147,6.6602,39.90,0.0288
780,97,1.9400001e-4,1.790517,5.9926,49.76,0.0285
790,98,1.9600001e-4,1.743768,5.7189,41.89,0.0304
800,100,2.0000001e-4,1.852341,6.3747,43.00,0.0288
810,101,2.0200001e-4,1.781315,5.9377,63.35,0.0355
820,102,2.0400001e-4,1.710597,5.5323,45.46,0.0286
830,103,2.0600001e-4,1.719126,5.5797,40.90,0.0279
840,105,2.1000001e-4,1.695431,5.4490,36.71,0.0319
850,106,2.12e-4,1.702575,5.4881,53.97,0.0283
860,107,2.14e-4,1.723311,5.6030,46.22,0.0288
870,108,2.1600001e-4,1.676366,5.3461,50.37,0.0275
880,110,2.2000002e-4,1.756186,5.7903,41.41,0.0289
890,111,2.2200002e-4,1.671793,5.3217,49.38,0.0283
900,112,2.2400002e-4,1.688947,5.4138,44.70,0.0276
910,113,2.26e-4,1.640130,5.1558,57.99,0.0416
920,115,2.3e-4,1.712246,5.5414,51.01,0.0288
930,116,2.32e-4,1.664986,5.2856,43.55,0.0286
940,117,2.34e-4,1.643548,5.1735,40.93,0.0287
950,118,2.3600002e-4,1.558808,4.7532,40.81,0.0293
960,120,2.4000001e-4,1.554055,4.7306,40.45,0.0291
970,121,2.4200001e-4,1.651218,5.2133,41.02,0.0285
980,122,2.4400001e-4,1.634100,5.1248,42.11,0.0281
990,123,2.46e-4,1.572230,4.8174,40.24,0.0284
1000,125,2.5e-4,1.712972,5.5454,41.53,0.0271
1010,126,2.52e-4,1.573719,4.8246,57.63,0.0379
1020,127,2.54e-4,1.586553,4.8869,47.28,0.0282
1030,128,2.5600003e-4,1.542697,4.6772,61.24,0.0295
1040,130,2.6e-4,1.497812,4.4719,46.15,0.0279
1050,131,2.6200002e-4,1.520944,4.5765,48.88,0.0278
1060,132,2.64e-4,1.647614,5.1946,49.46,0.0273
1070,133,2.6600002e-4,1.562212,4.7694,44.59,0.0272
1080,135,2.7000002e-4,1.526656,4.6028,41.22,0.0290
1090,136,2.7200003e-4,1.551682,4.7194,48.88,0.0271
1100,137,2.7400002e-4,1.554259,4.7316,44.88,0.0274
1110,138,2.76e-4,1.466155,4.3325,58.06,0.0399
1120,140,2.8e-4,1.497808,4.4719,53.36,0.0282
1130,141,2.8200002e-4,1.476682,4.3784,41.70,0.0290
1140,142,2.84e-4,1.508557,4.5202,42.61,0.0282
1150,143,2.86e-4,1.406667,4.0823,37.58,0.0306
1160,145,2.9e-4,1.415949,4.1204,42.11,0.0294
1170,146,2.92e-4,1.482430,4.4036,51.98,0.0292
1180,147,2.9400003e-4,1.453651,4.2787,44.28,0.0274
1190,148,2.96e-4,1.449636,4.2616,55.95,0.0307
1200,150,2.9999934e-4,1.447607,4.2529,40.45,0.0294
1210,151,2.9999934e-4,1.427726,4.1692,62.86,0.0378
1220,152,2.9999934e-4,1.373842,3.9505,38.05,0.0294
1230,153,2.9999932e-4,1.423573,4.1519,48.55,0.0274
1240,155,2.9999932e-4,1.502889,4.4947,43.42,0.0285
1250,156,2.999993e-4,1.392396,4.0245,40.52,0.0294
1260,157,2.999993e-4,1.374102,3.9515,40.34,0.0290
1270,158,2.999993e-4,1.364980,3.9156,38.19,0.0292
1280,160,2.9999926e-4,1.342907,3.8302,40.69,0.0283
1290,161,2.9999923e-4,1.355518,3.8788,42.16,0.0286
1300,162,2.9999923e-4,1.359740,3.8952,53.73,0.0259
1310,163,2.9999923e-4,1.357662,3.8871,74.30,0.0334
1320,165,2.999992e-4,1.305168,3.6883,38.14,0.0294
1330,166,2.999992e-4,1.337765,3.8105,47.58,0.0285
1340,167,2.9999917e-4,1.377350,3.9644,39.08,0.0287
1350,168,2.9999917e-4,1.323929,3.7582,45.68,0.0281
1360,170,2.9999917e-4,1.457875,4.2968,42.57,0.0291
1370,171,2.9999914e-4,1.366277,3.9207,48.66,0.0284
1380,172,2.9999914e-4,1.332615,3.7909,39.83,0.0298
1390,173,2.9999914e-4,1.301474,3.6747,41.04,0.0323
1400,175,2.999991e-4,1.338030,3.8115,44.94,0.0289
1410,176,2.9999908e-4,1.386327,4.0001,64.13,0.0373
1420,177,2.9999908e-4,1.317538,3.7342,45.94,0.0284
1430,178,2.9999908e-4,1.304039,3.6841,42.94,0.0274
1440,180,2.9999905e-4,1.270986,3.5644,43.48,0.0286
1450,181,2.9999905e-4,1.268764,3.5565,37.51,0.0291
1460,182,2.9999902e-4,1.418753,4.1320,37.23,0.0289
1470,183,2.9999902e-4,1.241174,3.4597,44.22,0.0293
1480,185,2.99999e-4,1.293741,3.6464,43.65,0.0284
1490,186,2.99999e-4,1.303694,3.6829,50.77,0.0275
1500,187,2.99999e-4,1.251647,3.4961,38.00,0.0293
1510,188,2.9999897e-4,1.348276,3.8508,58.85,0.0383
1520,190,2.9999897e-4,1.327666,3.7722,39.66,0.0285
1530,191,2.9999894e-4,1.314945,3.7245,45.50,0.0298
1540,192,2.999989e-4,1.301680,3.6755,43.95,0.0277
1550,193,2.999989e-4,1.276728,3.5849,39.03,0.0296
1560,195,2.9999888e-4,1.325976,3.7659,43.45,0.0284
1570,196,2.9999888e-4,1.425655,4.1606,51.19,0.0272
1580,197,2.9999885e-4,1.224868,3.4037,39.26,0.0297
1590,198,2.9999885e-4,1.299481,3.6674,41.78,0.0273
1600,200,2.9999882e-4,1.260599,3.5275,46.16,0.0291
1610,201,2.9999882e-4,1.250845,3.4933,54.95,0.0403
1620,202,2.9999882e-4,1.330808,3.7841,59.30,0.0281
1630,203,2.999988e-4,1.158620,3.1855,37.54,0.0315
1640,205,2.9999876e-4,1.318026,3.7360,48.27,0.0283
1650,206,2.9999876e-4,1.231505,3.4264,43.42,0.0280
1660,207,2.9999873e-4,1.150053,3.1584,40.01,0.0296
1670,208,2.9999873e-4,1.281408,3.6017,47.76,0.0282
1680,210,2.999987e-4,1.269751,3.5600,47.44,0.0283
1690,211,2.999987e-4,1.273516,3.5734,47.56,0.0270
1700,212,2.999987e-4,1.262236,3.5333,49.75,0.0265
1710,213,2.9999868e-4,1.343657,3.8330,71.05,0.0337
1720,215,2.9999865e-4,1.290951,3.6362,47.57,0.0276
1730,216,2.9999862e-4,1.228857,3.4173,50.25,0.0283
1740,217,2.9999862e-4,1.214571,3.3689,48.66,0.0276
1750,218,2.999986e-4,1.212408,3.3616,39.63,0.0283
1760,220,2.999986e-4,1.256849,3.5143,51.18,0.0282
1770,221,2.9999856e-4,1.287840,3.6249,56.10,0.0266
1780,222,2.9999856e-4,1.170192,3.2226,47.27,0.0271
1790,223,2.9999853e-4,1.216328,3.3748,40.41,0.0282
1800,225,2.9999853e-4,1.177956,3.2477,42.10,0.0292
1810,226,2.999985e-4,1.168431,3.2169,57.68,0.0390
1820,227,2.9999847e-4,1.243795,3.4688,44.73,0.0277
1830,228,2.9999847e-4,1.309215,3.7033,47.05,0.0274
1840,230,2.9999844e-4,1.182785,3.2634,42.42,0.0277
1850,231,2.9999844e-4,1.292305,3.6412,48.65,0.0282
1860,232,2.999984e-4,1.131840,3.1014,53.35,0.0283
1870,233,2.999984e-4,1.225404,3.4055,41.89,0.0289
1880,235,2.9999838e-4,1.173337,3.2328,43.79,0.0286
1890,236,2.9999838e-4,1.126355,3.0844,38.89,0.0298
1900,237,2.9999833e-4,1.140144,3.1272,40.82,0.0289
1910,238,2.9999833e-4,1.197602,3.3122,59.35,0.0401
1920,240,2.999983e-4,1.193536,3.2987,50.26,0.0271
1930,241,2.999983e-4,1.246145,3.4769,44.50,0.0286
1940,242,2.9999827e-4,1.199919,3.3198,49.24,0.0278
1950,243,2.9999827e-4,1.170675,3.2242,40.95,0.0285
1960,245,2.9999824e-4,1.078689,2.9408,43.05,0.0279
1970,246,2.999982e-4,1.209821,3.3529,41.55,0.0275
1980,247,2.999982e-4,1.171101,3.2255,46.07,0.0271
1990,248,2.999982e-4,1.183163,3.2647,44.63,0.0290
