step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss,xm_best,xm_spread
10,1,2.0000002e-6,5.892252,362.2201,4641.30,3.2061,0.051593,0.127477,30.672663,5.892252,0.043215
20,2,4.0000004e-6,5.871509,354.7838,4375.98,2.9227,0.052258,0.131401,30.184057,5.871509,0.065266
30,3,6e-6,5.833001,341.3817,4712.44,2.6169,0.051504,0.127828,30.639927,5.833001,0.067920
40,5,1.0000001e-5,5.780006,323.7613,3973.45,2.5405,0.051310,0.125695,29.348911,5.780006,0.089491
50,6,1.2e-5,5.714593,303.2607,3773.01,2.5972,0.050367,0.120047,29.859375,5.714593,0.097708
60,7,1.4000001e-5,5.626229,277.6133,4319.29,2.5578,0.048633,0.110310,28.983425,5.626229,0.113799
70,8,1.6000002e-5,5.556869,259.0105,3507.72,2.5961,0.047706,0.103699,29.550491,5.556869,0.113673
80,10,2.0000001e-5,5.457983,234.6238,4162.06,2.8523,0.044265,0.092555,27.685205,5.457983,0.134972
90,11,2.2e-5,5.390603,219.3356,4255.26,2.5569,0.042840,0.086196,28.737820,5.390603,0.133773
100,12,2.4e-5,5.324947,205.3974,3936.42,2.5999,0.040956,0.079118,27.886438,5.324947,0.136227
110,13,2.6000002e-5,5.241603,188.9728,4357.67,2.8634,0.038239,0.071529,27.044779,5.241603,0.126058
120,15,3.0000001e-5,5.178248,177.3718,3765.64,2.7309,0.035861,0.065466,26.726643,5.178248,0.116898
130,16,3.2000004e-5,5.094319,163.0928,4330.12,2.5188,0.033846,0.060980,26.243176,5.094319,0.108085
140,17,3.4000004e-5,5.032174,153.2659,4864.49,2.4444,0.032333,0.055677,26.275898,5.032174,0.092364
150,18,3.6e-5,4.966825,143.5704,3782.74,2.6699,0.030942,0.051234,25.598993,4.966825,0.082518
160,20,4.0000003e-5,4.921075,137.1500,3747.14,2.6220,0.029347,0.047934,25.424206,4.921075,0.078819
170,21,4.2000003e-5,4.824419,124.5140,5101.07,2.5663,0.027563,0.043438,24.970020,4.824419,0.073147
180,22,4.4e-5,4.743680,114.8561,3945.09,2.6900,0.025991,0.039673,24.442173,4.743680,0.062629
190,23,4.6000005e-5,4.713967,111.4936,4332.75,2.5557,0.025487,0.037685,24.786306,4.713967,0.061003
200,25,5.0000002e-5,4.653191,104.9193,4478.97,2.5877,0.024404,0.035493,23.782907,4.653191,0.062239
210,26,5.2000003e-5,4.586774,98.1772,4183.53,2.5570,0.023195,0.033056,23.483931,4.586774,0.054357
220,27,5.4000004e-5,4.495083,89.5756,4588.28,2.6605,0.022193,0.030949,22.775188,4.495083,0.048739
230,28,5.6000004e-5,4.439944,84.7702,4270.32,2.6298,0.021698,0.029929,23.216309,4.439944,0.043821
240,30,6.0000002e-5,4.366329,78.7540,4337.90,3.1059,0.020567,0.027767,22.709293,4.366329,0.036707
250,31,6.2e-5,4.304138,74.0054,4841.29,2.7578,0.020134,0.027444,21.971998,4.304138,0.034192
260,32,6.400001e-5,4.259551,70.7782,4415.33,2.6788,0.019339,0.025296,22.393330,4.259551,0.028091
270,33,6.6e-5,4.175992,65.1044,4190.56,2.8819,0.018524,0.024018,21.120926,4.175992,0.026620
280,35,7e-5,4.152545,63.5957,3776.64,2.8274,0.018477,0.023848,22.018305,4.152545,0.021600
290,36,7.2e-5,4.072521,58.7048,4036.89,2.8356,0.017818,0.022921,20.511391,4.072521,0.021215
300,37,7.4e-5,4.033826,56.4766,4098.07,2.7492,0.017522,0.022076,21.144407,4.033826,0.018024
310,38,7.6000004e-5,3.967898,52.8733,3546.40,2.7662,0.017038,0.021472,20.976303,3.967898,0.017365
320,40,8.0000005e-5,3.924554,50.6305,3774.41,2.8469,0.016576,0.020747,20.809132,3.924554,0.018692
330,41,8.2000006e-5,3.808310,45.0742,4252.11,3.0863,0.015805,0.019736,19.515858,3.808310,0.016778
340,42,8.400001e-5,3.765411,43.1814,4610.44,2.5142,0.015556,0.019209,19.804873,3.765411,0.014073
350,43,8.6e-5,3.696481,40.3052,4640.52,2.7724,0.015386,0.019275,18.842440,3.696481,0.012920
360,45,9.000001e-5,3.637126,37.9825,4674.52,2.8752,0.015071,0.019100,18.598164,3.637126,0.010123
370,46,9.200001e-5,3.540198,34.4737,5175.89,2.7097,0.014851,0.018839,18.150553,3.540198,0.008941
380,47,9.4e-5,3.550037,34.8146,4563.53,2.5553,0.014948,0.019213,18.621601,3.550037,0.011819
390,48,9.6e-5,3.469437,32.1187,4444.04,2.7348,0.014529,0.018714,18.037106,3.469437,0.010092
400,50,1.00000005e-4,3.392059,29.7271,4138.95,2.5156,0.014644,0.019157,17.658237,3.392059,0.010085
410,51,1.02000005e-4,3.393877,29.7812,3961.27,2.7787,0.014610,0.019128,17.888681,3.393877,0.011344
420,52,1.04000006e-4,3.321615,27.7050,4580.40,2.8170,0.014539,0.019422,17.059948,3.321615,0.013624
430,53,1.06e-4,3.186229,24.1970,3403.19,2.4856,0.014197,0.018961,16.223228,3.186229,0.013870
440,55,1.1000001e-4,3.171091,23.8335,3671.61,2.8966,0.014361,0.019678,16.165077,3.171091,0.015085
450,56,1.1200001e-4,3.181084,24.0728,4658.79,2.5260,0.014632,0.020154,16.795525,3.181084,0.015279
460,57,1.14e-4,3.083072,21.8254,3766.98,2.3418,0.014552,0.019867,16.379406,3.083072,0.013534
470,58,1.16e-4,3.077122,21.6959,4737.56,2.4514,0.014657,0.019994,15.893697,3.077122,0.016132
480,60,1.20000004e-4,2.995212,19.9896,3340.54,2.5871,0.014422,0.019655,15.418721,2.995212,0.014578
490,61,1.22000005e-4,2.912296,18.3990,3961.45,2.9200,0.014516,0.019973,15.094469,2.912296,0.014470
500,62,1.24e-4,2.937145,18.8619,4642.65,2.7232,0.014588,0.019995,15.655533,2.937145,0.015659
510,63,1.26e-4,2.896391,18.1087,3942.80,2.6583,0.014563,0.019375,15.040285,2.896391,0.012718
520,65,1.3e-4,2.772781,16.0031,5039.43,2.6272,0.014031,0.018622,14.127556,2.772781,0.013102
530,66,1.32e-4,2.709366,15.0197,4613.91,2.7209,0.014172,0.018833,13.805102,2.709366,0.010861
540,67,1.34e-4,2.747856,15.6091,3943.81,2.7642,0.014366,0.019337,14.495697,2.747856,0.011802
550,68,1.3600002e-4,2.666207,14.3853,4320.74,2.7953,0.014518,0.019372,13.947609,2.666207,0.011360
560,70,1.4e-4,2.660394,14.3019,4224.34,2.9220,0.014694,0.019689,13.837616,2.660394,0.014990
570,71,1.42e-4,2.581832,13.2213,5393.94,2.5905,0.014752,0.019463,13.677551,2.581832,0.012465
580,72,1.44e-4,2.511848,12.3277,3996.50,2.6547,0.014769,0.019786,12.982658,2.511848,0.013354
590,73,1.46e-4,2.530380,12.5583,3760.27,2.7410,0.015294,0.020555,13.490114,2.530380,0.016533
600,75,1.5e-4,2.452845,11.6214,4360.06,3.0517,0.015421,0.021221,12.844780,2.452845,0.016242
610,76,1.5200001e-4,2.482124,11.9667,4333.22,3.1082,0.015722,0.021790,12.923277,2.482124,0.015474
620,77,1.5400001e-4,2.405223,11.0809,4235.65,2.8497,0.015802,0.021976,12.581888,2.405223,0.013816
630,78,1.56e-4,2.373930,10.7395,4674.83,2.7458,0.015702,0.021701,12.184734,2.373930,0.013968
640,80,1.6000001e-4,2.347396,10.4583,4875.47,2.6519,0.015881,0.022024,12.075319,2.347396,0.014549
650,81,1.6200001e-4,2.338690,10.3676,3626.51,2.6805,0.015580,0.021748,12.210498,2.338690,0.013361
660,82,1.6400001e-4,2.310032,10.0747,4790.87,2.5257,0.015463,0.021800,12.259644,2.310032,0.014657
670,83,1.6600001e-4,2.261353,9.5961,4572.53,2.5133,0.015479,0.021931,11.705982,2.261353,0.013562
680,85,1.7000001e-4,2.309265,10.0670,4647.49,2.6398,0.016427,0.023503,11.806036,2.309265,0.013276
690,86,1.72e-4,2.198123,9.0081,3947.56,2.8572,0.016126,0.023178,11.366947,2.198123,0.015335
700,87,1.74e-4,2.144112,8.5345,5004.85,2.9017,0.015426,0.021997,11.080075,2.144112,0.015104
710,88,1.76e-4,2.160809,8.6782,4813.41,2.5792,0.015979,0.022878,11.482134,2.160809,0.013070
720,90,1.8000002e-4,2.110126,8.2493,4188.72,3.0778,0.015940,0.023076,10.700998,2.110126,0.016684
730,91,1.8200002e-4,2.104303,8.2014,4435.87,2.8539,0.016154,0.023493,11.132448,2.104303,0.017733
740,92,1.8400002e-4,2.031387,7.6247,4652.32,2.5594,0.015895,0.023114,10.465125,2.031387,0.014130
750,93,1.86e-4,2.059824,7.8446,5222.70,2.8441,0.016382,0.024447,10.647342,2.059824,0.013972
760,95,1.9e-4,2.038029,7.6755,4286.02,2.7479,0.016417,0.024920,10.737796,2.038029,0.011606
770,96,1.92e-4,2.094528,8.1216,4036.54,2.9092,0.016925,0.025696,11.190906,2.094528,0.015238
780,97,1.9400001e-4,1.971539,7.1817,4720.41,2.7025,0.016614,0.025105,10.416269,1.971539,0.017209
790,98,1.9600001e-4,1.914026,6.7803,4257.17,3.0860,0.016125,0.024679,9.902091,1.914026,0.013813
800,100,2.0000001e-4,2.021479,7.5495,4562.20,3.0542,0.016912,0.026171,10.786970,2.021479,0.012788
810,101,2.0200001e-4,1.928170,6.8769,4832.29,2.7025,0.016719,0.025955,10.043874,1.928170,0.010028
820,102,2.0400001e-4,1.841163,6.3039,4752.05,2.9931,0.016182,0.025402,9.384345,1.841163,0.014376
830,103,2.0600001e-4,1.853826,6.3842,4328.22,2.9563,0.016878,0.026317,9.601253,1.853826,0.014656
840,105,2.1000001e-4,1.827040,6.2155,3713.78,3.2277,0.016884,0.026511,9.282372,1.827040,0.018058
850,106,2.12e-4,1.793412,6.0099,5003.45,2.6250,0.016643,0.025746,9.175584,1.793412,0.012032
860,107,2.14e-4,1.830477,6.2369,4360.37,2.7209,0.016748,0.026348,9.486456,1.830477,0.013641
