step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,1,2.0000002e-6,5.856170,349.3835,2106.90,1.4554,0.044781,0.107230,30.480585
20,2,4.0000004e-6,5.825171,338.7192,1984.83,1.3256,0.043874,0.105536,29.942890
30,3,6e-6,5.784824,325.3249,2389.67,1.3270,0.044386,0.106800,30.383785
40,5,1.0000001e-5,5.685874,294.6753,2036.69,1.3022,0.043660,0.103524,28.870037
50,6,1.2e-5,5.546837,256.4253,1887.16,1.2990,0.043052,0.095899,28.979095
60,7,1.4000001e-5,5.430397,228.2397,2239.03,1.3259,0.040979,0.086699,27.973328
70,8,1.6000002e-5,5.304128,201.1655,1690.55,1.2512,0.039775,0.079134,28.209461
80,10,2.0000001e-5,5.173769,176.5792,1856.35,1.2722,0.037220,0.071201,26.241266
90,11,2.2e-5,5.091166,162.5794,1951.38,1.1725,0.035543,0.065934,27.142445
100,12,2.4e-5,4.976817,145.0121,1844.68,1.2184,0.033481,0.059877,26.066645
110,13,2.6000002e-5,4.876902,131.2234,1900.61,1.2489,0.031328,0.054263,25.170490
120,15,3.0000001e-5,4.734833,113.8444,1766.77,1.2813,0.029496,0.049139,24.440075
130,16,3.2000004e-5,4.646099,104.1778,2099.49,1.2212,0.028108,0.045716,23.933140
140,17,3.4000004e-5,4.552815,94.8992,2571.66,1.2923,0.026903,0.042241,23.773998
150,18,3.6e-5,4.421293,83.2038,1816.44,1.2821,0.025448,0.038405,22.786585
160,20,4.0000003e-5,4.370338,79.0704,1910.91,1.3371,0.024550,0.035956,22.577982
170,21,4.2000003e-5,4.218798,67.9517,2573.79,1.2949,0.023087,0.032917,21.835310
180,22,4.4e-5,4.097774,60.2061,1854.32,1.2644,0.022121,0.030534,21.118317
190,23,4.6000005e-5,4.063383,58.1707,2131.78,1.2575,0.021364,0.028737,21.367031
200,25,5.0000002e-5,3.961227,52.5217,2288.54,1.3222,0.020378,0.026986,20.247616
210,26,5.2000003e-5,3.830320,46.0773,2116.42,1.2936,0.019406,0.025141,19.616138
220,27,5.4000004e-5,3.744008,42.2670,2244.20,1.3013,0.018643,0.023468,18.971312
230,28,5.6000004e-5,3.695415,40.2623,2098.17,1.2921,0.018305,0.022894,19.321209
240,30,6.0000002e-5,3.573233,35.6316,1864.03,1.3346,0.017465,0.021390,18.591955
250,31,6.2e-5,3.480033,32.4608,2311.96,1.3170,0.016881,0.020761,17.781431
260,32,6.400001e-5,3.452365,31.5750,2108.03,1.2790,0.016429,0.019876,18.155802
270,33,6.6e-5,3.366963,28.9904,1969.48,1.3544,0.015532,0.018445,17.030142
280,35,7e-5,3.300254,27.1195,1654.53,1.2387,0.015234,0.018320,17.498104
290,36,7.2e-5,3.228572,25.2436,1897.49,1.3328,0.014583,0.017506,16.261847
300,37,7.4e-5,3.165412,23.6985,2030.08,1.3619,0.014382,0.017071,16.597727
310,38,7.6000004e-5,3.098188,22.1578,1629.25,1.2708,0.014165,0.016810,16.376909
320,40,8.0000005e-5,3.040692,20.9197,1607.28,1.2123,0.014037,0.016870,16.127415
