step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,2,1.0000001e-5,5.382084,217.4750,644.02,0.4455,0.102431,0.154555,28.029505
20,5,2.5000001e-5,5.388366,218.8454,576.04,0.3847,0.101358,0.155713,27.628460
30,7,3.5e-5,5.346448,209.8615,638.01,0.3548,0.102354,0.155656,28.064289
40,10,5.0000002e-5,5.332928,207.0434,607.58,0.3885,0.101209,0.155953,27.089914
50,12,6.0000002e-5,5.284057,197.1682,566.96,0.3903,0.103734,0.159050,27.482813
60,15,7.5e-5,5.273398,195.0778,682.99,0.4048,0.101707,0.157154,27.156284
70,17,8.500001e-5,5.247146,190.0231,504.45,0.3751,0.103765,0.157573,28.051966
80,20,1.00000005e-4,5.148810,172.2265,598.90,0.4104,0.102150,0.158027,26.083317
90,22,1.1000001e-4,5.113850,166.3094,600.24,0.3610,0.102563,0.155775,27.276758
100,25,1.25e-4,5.052951,156.4836,597.11,0.3944,0.101435,0.154559,26.271046
110,27,1.3500001e-4,4.987542,146.5757,555.43,0.3650,0.101884,0.155660,25.735468
120,30,1.5e-4,4.914867,136.3012,536.27,0.3889,0.099871,0.151292,25.293066
130,32,1.6000001e-4,4.819286,123.8767,612.65,0.3564,0.099840,0.149794,24.776968
140,35,1.7500001e-4,4.729231,113.2085,704.45,0.3540,0.099473,0.144810,24.529001
150,37,1.8500001e-4,4.640653,103.6120,544.75,0.3845,0.097796,0.145387,23.817329
160,40,2.0000001e-4,4.550871,94.7149,594.22,0.4158,0.095523,0.138213,23.480152
170,42,2.1e-4,4.456421,86.1785,704.42,0.3544,0.094379,0.133652,22.818747
180,45,2.2500001e-4,4.344847,77.0803,595.03,0.4058,0.092209,0.129560,22.359674
190,47,2.3500001e-4,4.256259,70.5456,631.18,0.3735,0.089877,0.123138,22.249409
200,50,2.5e-4,4.163156,64.2740,667.14,0.3854,0.087049,0.117147,21.174894
210,52,2.6e-4,4.049582,57.3735,586.74,0.3586,0.085290,0.113005,20.658686
220,55,2.7500003e-4,3.935681,51.1970,661.25,0.3834,0.082378,0.106285,19.914083
230,57,2.8500002e-4,3.865717,47.7375,591.31,0.3654,0.081322,0.102631,20.254070
240,60,3e-4,3.730742,41.7101,566.55,0.4056,0.078698,0.097814,19.426792
250,62,3.1e-4,3.654594,38.6518,630.75,0.3593,0.075928,0.093911,18.693516
260,65,3.25e-4,3.557073,35.0604,617.76,0.3754,0.075022,0.090805,18.656622
270,67,3.3500002e-4,3.431392,30.9197,556.23,0.3825,0.071009,0.084000,17.332399
280,70,3.5000002e-4,3.373856,29.1909,546.35,0.4090,0.071496,0.084438,17.831562
290,72,3.6000003e-4,3.264566,26.1688,550.86,0.3885,0.068021,0.080150,16.474081
300,75,3.75e-4,3.204431,24.6415,581.65,0.3902,0.066704,0.076833,16.748478
310,77,3.8500002e-4,3.119090,22.6258,510.10,0.3979,0.065811,0.077098,16.473185
320,80,4.0000002e-4,3.031919,20.7370,528.86,0.3989,0.064264,0.074412,16.054676
330,82,4.1e-4,2.904824,18.2620,521.28,0.3784,0.061218,0.069338,14.831787
340,85,4.2500003e-4,2.887205,17.9431,670.08,0.3654,0.061365,0.069622,15.171435
350,87,4.3500002e-4,2.803992,16.5104,598.73,0.3597,0.059315,0.066161,14.329458
