step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,2,1.0000001e-5,5.131066,169.1974,796.66,0.5511,0.098070,0.151510,26.726299
20,5,2.5000001e-5,5.138603,170.4775,745.78,0.4981,0.096239,0.149434,26.345734
30,7,3.5e-5,5.109330,165.5593,835.04,0.4644,0.098474,0.152684,26.814047
40,10,5.0000002e-5,5.088877,162.2076,778.51,0.4977,0.097097,0.151331,25.847437
50,12,6.0000002e-5,5.073933,159.8015,657.57,0.4526,0.098385,0.153553,26.380817
60,15,7.5e-5,5.008307,149.6511,805.11,0.4772,0.097115,0.149270,25.804276
70,17,8.500001e-5,4.954152,141.7624,664.56,0.4941,0.099681,0.153900,26.478561
80,20,1.00000005e-4,4.962205,142.9086,762.79,0.5228,0.097368,0.147050,25.126759
90,22,1.1000001e-4,4.849734,127.7064,771.35,0.4639,0.097419,0.149142,25.870831
100,25,1.25e-4,4.794398,120.8316,772.91,0.5105,0.094848,0.144017,24.928612
110,27,1.3500001e-4,4.703514,110.3342,708.95,0.4658,0.094454,0.140763,24.264456
120,30,1.5e-4,4.630643,102.5800,697.71,0.5060,0.093832,0.138631,23.837904
130,32,1.6000001e-4,4.541583,93.8392,762.44,0.4435,0.091156,0.133217,23.343325
140,35,1.7500001e-4,4.489257,89.0552,924.23,0.4644,0.091508,0.131437,23.282671
150,37,1.8500001e-4,4.430120,83.9415,695.14,0.4906,0.089361,0.124733,22.736652
160,40,2.0000001e-4,4.317193,74.9779,728.27,0.5096,0.087480,0.122381,22.269276
170,42,2.1e-4,4.174797,65.0266,866.26,0.4358,0.082661,0.111694,21.374195
180,45,2.2500001e-4,4.095958,60.0969,752.10,0.5129,0.082751,0.111341,21.073910
190,47,2.3500001e-4,4.000892,54.6469,775.88,0.4591,0.080441,0.105147,20.918486
200,50,2.5e-4,3.913756,50.0867,833.45,0.4815,0.077607,0.100319,19.906809
210,52,2.6e-4,3.811668,45.2258,766.92,0.4687,0.076145,0.097111,19.444942
220,55,2.7500003e-4,3.722533,41.3690,848.30,0.4919,0.073906,0.092996,18.831495
230,57,2.8500002e-4,3.626681,37.5878,740.74,0.4578,0.071710,0.088168,19.003202
240,60,3e-4,3.503112,33.2187,701.43,0.5022,0.070094,0.085561,18.239870
250,62,3.1e-4,3.420909,30.5972,812.02,0.4626,0.068575,0.083062,17.496796
260,65,3.25e-4,3.376995,29.2826,750.57,0.4561,0.066684,0.079204,17.712809
270,67,3.3500002e-4,3.279623,26.5657,657.45,0.4521,0.064651,0.075499,16.566610
280,70,3.5000002e-4,3.222236,25.0841,634.98,0.4754,0.065420,0.076825,17.038794
290,72,3.6000003e-4,3.128340,22.8360,662.38,0.4671,0.063353,0.073898,15.783381
300,75,3.75e-4,3.089065,21.9565,731.88,0.4910,0.062074,0.071278,16.141966
310,77,3.8500002e-4,3.016522,20.4202,594.06,0.4634,0.061240,0.070356,15.932922
320,80,4.0000002e-4,2.952212,19.1483,654.89,0.4940,0.060162,0.068680,15.632978
330,82,4.1e-4,2.815905,16.7083,656.23,0.4763,0.057348,0.064491,14.377661
340,85,4.2500003e-4,2.790191,16.2841,829.13,0.4521,0.057815,0.064618,14.658098
350,87,4.3500002e-4,2.718688,15.1604,771.03,0.4632,0.056177,0.061701,13.897812
360,90,4.5000002e-4,2.668412,14.4171,804.90,0.4951,0.055132,0.061139,13.657529
370,92,4.6000004e-4,2.532312,12.5826,866.13,0.4534,0.053434,0.058763,12.996302
380,95,4.75e-4,2.565120,13.0022,823.83,0.4613,0.054250,0.059375,13.471159
390,97,4.8500003e-4,2.493741,12.1065,761.13,0.4684,0.052597,0.057221,12.909711
400,100,5e-4,2.417777,11.2209,779.59,0.4738,0.051684,0.055953,12.581853
410,102,5e-4,2.411007,11.1452,676.80,0.4748,0.050913,0.054984,12.678487
420,105,5e-4,2.386330,10.8735,790.74,0.4883,0.049827,0.053468,12.284332
430,107,5e-4,2.253625,9.5222,701.08,0.5121,0.048664,0.052080,11.444163
440,110,5e-4,2.235245,9.3488,623.35,0.4918,0.048020,0.051515,11.396082
