step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.419846,225.8444,8383.15,8.3117,0.000644,0.040351
20,20,2e-5,4.769835,117.8998,8310.49,8.2878,0.003216,0.039905
30,30,3.0000001e-5,4.027997,56.1483,8351.51,8.2900,0.003518,0.037222
40,40,4e-5,3.372404,29.1485,7876.43,8.5115,0.003214,0.032844
50,50,5e-5,3.042989,20.9678,8360.96,8.3155,0.003210,0.030253
60,60,6.0000002e-5,2.820496,16.7852,7949.90,8.2916,0.003520,0.028191
70,70,6.9999995e-5,2.592353,13.3612,8387.15,8.3741,0.003629,0.026230
80,80,8e-5,2.573696,13.1142,8205.81,8.2672,0.004463,0.026086
90,90,8.9999994e-5,2.480804,11.9509,8056.93,8.0350,0.004149,0.025350
100,100,1e-4,2.319667,10.1723,8032.53,7.9904,0.004604,0.025127
110,110,1.1e-4,2.293444,9.9090,7342.23,7.7944,0.005640,0.026070
120,120,1.20000004e-4,2.203034,9.0524,7888.27,8.0151,0.005830,0.025640
130,130,1.2999999e-4,2.207671,9.0945,7450.77,8.0075,0.006384,0.026327
140,140,1.3999999e-4,2.115247,8.2916,7955.98,7.9035,0.005849,0.025804
150,150,1.4999999e-4,2.042104,7.7068,7977.72,8.3020,0.006798,0.025916
160,160,1.6e-4,2.029350,7.6091,8721.06,8.6888,0.006948,0.026237
170,170,1.7e-4,2.148799,8.5746,9953.07,10.8633,0.007492,0.026609
180,180,1.7999999e-4,2.060141,7.8471,8389.85,8.3442,0.007848,0.026123
190,190,1.8999999e-4,2.033227,7.6387,7980.05,7.9521,0.008140,0.026425
200,200,1.9983227e-4,2.126970,8.3894,7654.80,8.0910,0.007957,0.026527
210,210,1.9981508e-4,2.178251,8.8308,8144.13,9.0138,0.008535,0.025265
220,220,1.9979705e-4,1.921833,6.8335,9037.22,9.0196,0.008394,0.024875
230,230,1.997782e-4,1.844307,6.3237,8659.53,9.1209,0.008879,0.024726
240,240,1.997585e-4,1.943921,6.9861,8447.03,8.9858,0.009565,0.025163
250,250,1.9973796e-4,2.029946,7.6137,8959.19,9.2838,0.009079,0.025500
260,260,1.997166e-4,1.863601,6.4469,9150.28,9.0373,0.008149,0.023228
270,270,1.9969439e-4,1.826544,6.2124,8404.06,8.3438,0.008210,0.023143
280,280,1.9967135e-4,1.744305,5.7219,9516.90,9.4780,0.008335,0.023006
290,290,1.9964747e-4,1.665887,5.2904,9254.84,9.2027,0.008574,0.023202
300,300,1.9962277e-4,1.745642,5.7296,8965.26,9.4332,0.009099,0.023482
310,310,1.9959721e-4,1.739166,5.6926,8752.12,9.4081,0.009940,0.023728
320,320,1.9957083e-4,1.881733,6.5649,9445.20,9.3611,0.009962,0.024758
330,330,1.9954362e-4,1.909435,6.7493,7740.27,9.2572,0.009091,0.023306
340,340,1.9951556e-4,1.742624,5.7123,9397.43,9.3536,0.009183,0.022135
