step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.367228,214.2680,27395.51,27.1621,0.000895,0.029976
20,20,2e-5,4.019993,55.7007,27998.50,27.9221,0.002221,0.028077
30,30,3.0000001e-5,3.196464,24.4459,33355.61,33.1099,0.002012,0.025184
40,40,4e-5,2.716302,15.1243,31149.66,33.6611,0.002081,0.022067
50,50,5e-5,2.575679,13.1402,33661.50,33.4784,0.002483,0.021002
60,60,6.0000002e-5,2.406313,11.0930,32633.86,34.0365,0.002907,0.019667
70,70,6.9999995e-5,2.197407,9.0016,34102.13,34.0489,0.003329,0.018530
80,80,8e-5,2.321250,10.1884,33691.05,33.9430,0.003968,0.018908
90,90,8.9999994e-5,2.260488,9.5878,33686.10,33.5942,0.004032,0.018033
100,100,1e-4,2.105000,8.2071,32782.21,32.6102,0.004235,0.017226
110,110,1.1e-4,2.081941,8.0200,24503.46,26.0124,0.004565,0.017255
120,120,1.20000004e-4,2.027045,7.5916,25850.58,26.2661,0.004543,0.016692
130,130,1.2999999e-4,2.063908,7.8767,24611.26,26.4504,0.005019,0.016783
140,140,1.3999999e-4,1.960481,7.1027,26442.33,26.2679,0.004786,0.016159
150,150,1.4999999e-4,1.935448,6.9271,25257.86,26.2846,0.005359,0.015689
160,160,1.6e-4,1.931149,6.8974,26433.41,26.3357,0.005123,0.014932
170,170,1.7e-4,2.084100,8.0374,23867.16,26.0498,0.005517,0.015283
180,180,1.7999999e-4,1.936961,6.9376,26388.54,26.2450,0.005389,0.013925
190,190,1.8999999e-4,1.946451,7.0038,26334.52,26.2423,0.005154,0.013652
200,200,1.9983227e-4,2.036695,7.6652,25098.54,26.5286,0.005434,0.014004
210,210,1.9981508e-4,2.029655,7.6115,24101.46,26.6752,0.005409,0.012748
220,220,1.9979705e-4,1.819310,6.1676,26144.62,26.0937,0.005270,0.012620
230,230,1.997782e-4,1.743143,5.7153,24614.25,25.9257,0.005694,0.012326
240,240,1.997585e-4,1.884094,6.5804,24704.35,26.2801,0.005961,0.012486
250,250,1.9973796e-4,1.958891,7.0915,25102.45,26.0118,0.005540,0.012335
260,260,1.997166e-4,1.781762,5.9403,26449.70,26.1232,0.004939,0.011134
270,270,1.9969439e-4,1.733238,5.6589,26095.56,25.9083,0.004986,0.010995
280,280,1.9967135e-4,1.657136,5.2443,26097.58,25.9910,0.005071,0.011133
290,290,1.9964747e-4,1.567677,4.7955,26514.44,26.3651,0.005542,0.011230
300,300,1.9962277e-4,1.711280,5.5360,25518.14,26.8502,0.005440,0.011107
310,310,1.9959721e-4,1.669791,5.3111,24959.17,26.8299,0.005474,0.010378
320,320,1.9957083e-4,1.798094,6.0381,26756.72,26.5185,0.005263,0.010995
330,330,1.9954362e-4,1.736391,5.6768,21888.45,26.1782,0.005130,0.010721
340,340,1.9951556e-4,1.690278,5.4210,26596.43,26.4723,0.005080,0.010078
