step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.189935,179.4568,6565.57,6.5096,0.182312,0.103139
20,20,2e-5,4.435525,84.3965,6279.93,6.2628,0.164249,0.079007
30,30,3.0000001e-5,3.832418,46.1741,6145.35,6.1001,0.120194,0.051460
40,40,4e-5,3.392155,29.7299,5848.07,6.3196,0.079834,0.036000
50,50,5e-5,3.177059,23.9761,6199.28,6.1656,0.061731,0.025320
60,60,6.0000002e-5,3.045242,21.0151,6227.76,6.4954,0.055220,0.025811
70,70,6.9999995e-5,2.892712,18.0422,6558.90,6.5487,0.053539,0.023739
80,80,8e-5,2.827681,16.9062,6423.69,6.4717,0.054515,0.023403
90,90,8.9999994e-5,2.734895,15.4081,6370.21,6.3528,0.057059,0.022897
100,100,1e-4,2.583704,13.2461,6418.94,6.3853,0.059226,0.023502
110,110,1.1e-4,2.514469,12.3600,5803.76,6.1612,0.063643,0.024371
120,120,1.20000004e-4,2.407095,11.1017,6244.42,6.3448,0.057359,0.022811
130,130,1.2999999e-4,2.399330,11.0158,6074.17,6.5281,0.058227,0.024373
140,140,1.3999999e-4,2.308194,10.0562,6342.75,6.3009,0.057363,0.023873
150,150,1.4999999e-4,2.207897,9.0966,6082.80,6.3301,0.058404,0.024806
160,160,1.6e-4,2.158560,8.6587,6340.45,6.3170,0.056193,0.024079
170,170,1.7e-4,2.280414,9.7807,5686.79,6.2069,0.060211,0.025973
180,180,1.7999999e-4,2.199713,9.0224,6173.10,6.1395,0.059428,0.024283
190,190,1.8999999e-4,2.161232,8.6818,6097.04,6.0757,0.061858,0.024830
200,200,1.9983227e-4,2.244392,9.4347,5927.39,6.2651,0.056513,0.024333
210,210,1.9981508e-4,2.286599,9.8414,5650.31,6.2537,0.049726,0.022109
220,220,1.9979705e-4,2.018361,7.5260,6269.53,6.2573,0.054033,0.023608
230,230,1.997782e-4,1.956941,7.0776,5883.92,6.1974,0.052836,0.023294
240,240,1.997585e-4,2.069255,7.9189,5980.94,6.3624,0.051379,0.023609
250,250,1.9973796e-4,2.086571,8.0572,6003.51,6.2210,0.052161,0.022903
260,260,1.997166e-4,1.937102,6.9386,6362.80,6.2842,0.047686,0.021956
270,270,1.9969439e-4,1.946157,7.0017,6300.32,6.2551,0.046999,0.021339
280,280,1.9967135e-4,1.844980,6.3280,6373.35,6.3473,0.045927,0.021083
290,290,1.9964747e-4,1.751899,5.7655,6335.84,6.3002,0.049836,0.022105
300,300,1.9962277e-4,1.840001,6.2965,6178.05,6.5005,0.043447,0.021146
310,310,1.9959721e-4,1.844576,6.3254,6023.50,6.4750,0.044326,0.021225
320,320,1.9957083e-4,1.954495,7.0604,6410.10,6.3530,0.047088,0.022044
330,330,1.9954362e-4,2.023235,7.5627,5336.87,6.3828,0.043902,0.020865
340,340,1.9951556e-4,1.810697,6.1147,6567.84,6.5372,0.040368,0.019640
350,350,1.9948668e-4,1.928702,6.8806,6436.70,6.4092,0.040015,0.019975
360,360,1.9945696e-4,1.832963,6.2524,6053.26,6.2259,0.039906,0.019097
370,370,1.994264e-4,1.788137,5.9783,6056.38,6.0258,0.046013,0.020205
380,380,1.9939501e-4,1.759173,5.8076,5963.01,6.1393,0.047451,0.021764
390,390,1.993628e-4,1.877756,6.5388,5981.83,6.1034,0.047614,0.022017
400,400,1.9932975e-4,1.839350,6.2924,6451.65,6.4265,0.037531,0.019215
410,410,1.9929587e-4,1.766818,5.8522,6389.96,6.3589,0.040567,0.019591
420,420,1.9926114e-4,1.784962,5.9594,5950.86,6.3291,0.041472,0.020139
430,430,1.992256e-4,1.726032,5.6183,6294.22,6.4043,0.039350,0.019575
440,440,1.991892e-4,1.748075,5.7435,6301.12,6.4343,0.039166,0.019033
450,450,1.99152e-4,1.702621,5.4883,6353.33,6.3447,0.039268,0.018685
460,460,1.9911396e-4,1.596944,4.9379,6345.02,6.3364,0.038477,0.017949
470,470,1.9907509e-4,1.504493,4.5019,6146.00,6.4089,0.038087,0.018201
480,480,1.9903539e-4,1.622489,5.0657,6342.84,6.2876,0.040553,0.019844
490,490,1.9899487e-4,1.705855,5.5061,6083.44,6.2822,0.039003,0.019410
500,500,1.989535e-4,1.824833,6.2018,6091.38,6.2028,0.042239,0.020274
510,510,1.9891132e-4,1.553056,4.7259,6238.45,6.2287,0.038005,0.018130
520,520,1.988683e-4,1.636020,5.1347,6331.45,6.3056,0.038776,0.019348
530,530,1.9882445e-4,1.595472,4.9307,6282.37,6.2689,0.037482,0.018356
540,540,1.9877979e-4,1.665538,5.2885,5665.99,6.1605,0.038325,0.018890
550,550,1.9873428e-4,1.718934,5.5786,6333.60,6.2772,0.037952,0.019212
560,560,1.9868797e-4,1.791169,5.9965,5962.07,6.4591,0.036227,0.018863
570,570,1.9864082e-4,1.773331,5.8904,6502.18,6.4468,0.035295,0.018405
580,580,1.9859284e-4,1.766646,5.8512,6142.03,6.3813,0.035857,0.018183
590,590,1.9854403e-4,1.687033,5.4034,6055.61,6.0017,0.039263,0.018658
600,600,1.9849441e-4,1.698467,5.4656,5725.39,6.1896,0.037758,0.018500
