step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.310745,202.5010,10418.37,10.3296,0.134163,0.057337
20,20,2e-5,4.464526,86.8798,10176.77,10.1490,0.127495,0.049737
30,30,3.0000001e-5,3.760643,42.9760,10736.88,10.6578,0.111129,0.040193
40,40,4e-5,3.259166,26.0278,10115.24,10.9308,0.082826,0.031812
50,50,5e-5,3.012726,20.3428,10810.88,10.7521,0.069241,0.025240
60,60,6.0000002e-5,2.842489,17.1584,10550.70,11.0042,0.059509,0.023465
70,70,6.9999995e-5,2.630619,13.8824,11058.28,11.0410,0.055069,0.021662
80,80,8e-5,2.593687,13.3790,10863.90,10.9451,0.058691,0.021836
90,90,8.9999994e-5,2.507110,12.2694,10888.38,10.8587,0.057724,0.020980
100,100,1e-4,2.372297,10.7220,10929.74,10.8724,0.057432,0.020863
110,110,1.1e-4,2.324761,10.2242,10116.44,10.7394,0.062810,0.021647
120,120,1.20000004e-4,2.247581,9.4648,10698.93,10.8709,0.057257,0.020399
130,130,1.2999999e-4,2.277280,9.7501,10221.37,10.9852,0.055039,0.020308
140,140,1.3999999e-4,2.169646,8.7552,10940.59,10.8684,0.050118,0.019487
150,150,1.4999999e-4,2.090601,8.0898,10478.97,10.9049,0.050796,0.019796
160,160,1.6e-4,2.079557,8.0009,10939.19,10.8987,0.050584,0.020136
170,170,1.7e-4,2.216943,9.1792,9913.50,10.8201,0.051523,0.020691
180,180,1.7999999e-4,2.119174,8.3243,10836.25,10.7773,0.047442,0.018644
190,190,1.8999999e-4,2.106213,8.2171,10731.70,10.6941,0.047988,0.018757
200,200,1.9983227e-4,2.171793,8.7740,10208.44,10.7901,0.046019,0.018615
210,210,1.9981508e-4,2.258021,9.5641,9809.68,10.8572,0.042574,0.017389
220,220,1.9979705e-4,1.960831,7.1052,10808.38,10.7873,0.041697,0.017134
230,230,1.997782e-4,1.893020,6.6394,10015.20,10.5488,0.042129,0.017195
240,240,1.997585e-4,2.014554,7.4974,9972.84,10.6090,0.041618,0.017870
