step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.102286,164.3973,24613.20,24.4035,0.112664,0.048449
20,20,2e-5,3.978001,53.4101,23477.62,23.4136,0.103137,0.039130
30,30,3.0000001e-5,3.370079,29.0808,23276.14,23.1047,0.084950,0.029825
40,40,4e-5,2.922520,18.5881,21850.50,23.6122,0.063945,0.023733
50,50,5e-5,2.744220,15.5525,23449.58,23.3220,0.057511,0.020234
60,60,6.0000002e-5,2.611119,13.6143,23023.84,24.0135,0.050371,0.019318
70,70,6.9999995e-5,2.400658,11.0304,24226.04,24.1882,0.046348,0.017687
80,80,8e-5,2.458482,11.6871,23863.23,24.0417,0.048383,0.017729
90,90,8.9999994e-5,2.404041,11.0678,23936.69,23.8714,0.044966,0.016453
100,100,1e-4,2.263555,9.6172,24529.65,24.4010,0.041894,0.015613
110,110,1.1e-4,2.225545,9.2585,22648.29,24.0430,0.044103,0.015868
120,120,1.20000004e-4,2.154198,8.6210,23953.28,24.3383,0.039907,0.015024
130,130,1.2999999e-4,2.168347,8.7438,22831.56,24.5377,0.037919,0.014608
140,140,1.3999999e-4,2.079263,7.9986,24289.86,24.1296,0.036207,0.014148
150,150,1.4999999e-4,2.043256,7.7157,23134.56,24.0750,0.036113,0.014346
160,160,1.6e-4,2.030838,7.6205,24016.66,23.9279,0.033570,0.013646
170,170,1.7e-4,2.169080,8.7502,21710.88,23.6964,0.033539,0.014103
180,180,1.7999999e-4,2.052625,7.7883,23717.03,23.5880,0.030791,0.012561
190,190,1.8999999e-4,2.015453,7.5041,23506.89,23.4245,0.031227,0.012568
200,200,1.9983227e-4,2.108874,8.2390,22378.09,23.6531,0.030736,0.012884
210,210,1.9981508e-4,2.184639,8.8874,21466.54,23.7589,0.027448,0.011652
220,220,1.9979705e-4,1.924553,6.8521,23849.68,23.8032,0.027257,0.011382
230,230,1.997782e-4,1.832404,6.2489,22470.84,23.6681,0.025976,0.011306
240,240,1.997585e-4,1.970939,7.1774,22552.92,23.9915,0.025762,0.011619
250,250,1.9973796e-4,2.027122,7.5922,22901.20,23.7309,0.024952,0.011135
260,260,1.997166e-4,1.865756,6.4608,24111.42,23.8138,0.022212,0.010014
270,270,1.9969439e-4,1.838091,6.2845,23835.27,23.6643,0.022734,0.010074
280,280,1.9967135e-4,1.739163,5.6926,23820.47,23.7232,0.021723,0.009874
290,290,1.9964747e-4,1.654678,5.2314,23751.73,23.6180,0.022827,0.010126
300,300,1.9962277e-4,1.773780,5.8931,22825.47,24.0169,0.021442,0.010100
310,310,1.9959721e-4,1.752504,5.7690,22291.15,23.9619,0.020649,0.009725
320,320,1.9957083e-4,1.863266,6.4447,23942.50,23.7293,0.020843,0.009927
330,330,1.9954362e-4,1.952972,7.0496,19885.36,23.7825,0.019820,0.009691
340,340,1.9951556e-4,1.756963,5.7948,24236.94,24.1239,0.019008,0.009232
350,350,1.9948668e-4,1.867282,6.4707,24181.32,24.0779,0.018651,0.009271
360,360,1.9945696e-4,1.746995,5.7373,23079.13,23.7375,0.018526,0.009072
370,370,1.994264e-4,1.689087,5.4145,23439.94,23.3215,0.020694,0.009389
380,380,1.9939501e-4,1.693469,5.4383,22903.20,23.5802,0.020446,0.009712
390,390,1.993628e-4,1.780583,5.9333,23028.17,23.4963,0.020094,0.009553
400,400,1.9932975e-4,1.775323,5.9022,24258.08,24.1637,0.017431,0.008988
410,410,1.9929587e-4,1.700845,5.4786,23980.39,23.8639,0.017691,0.008697
420,420,1.9926114e-4,1.683601,5.3849,22281.45,23.6978,0.018164,0.009145
430,430,1.992256e-4,1.661813,5.2689,23452.22,23.8624,0.017910,0.008836
440,440,1.991892e-4,1.665776,5.2898,23384.80,23.8792,0.017128,0.008391
450,450,1.99152e-4,1.632466,5.1165,23760.61,23.7282,0.017384,0.008422
460,460,1.9911396e-4,1.537198,4.6515,23783.65,23.7512,0.017047,0.008132
470,470,1.9907509e-4,1.420763,4.1403,22842.03,23.8190,0.017337,0.008209
480,480,1.9903539e-4,1.540616,4.6675,23983.05,23.7741,0.017305,0.008675
490,490,1.9899487e-4,1.614779,5.0268,23080.44,23.8346,0.016872,0.008681
500,500,1.989535e-4,1.735935,5.6742,23214.85,23.6396,0.017495,0.008991
510,510,1.9891132e-4,1.482898,4.4057,23755.65,23.7186,0.016349,0.007975
520,520,1.988683e-4,1.563847,4.7772,23937.42,23.8396,0.017138,0.008668
530,530,1.9882445e-4,1.535738,4.6448,23815.43,23.7644,0.016327,0.008282
540,540,1.9877979e-4,1.590772,4.9075,21736.94,23.6341,0.016492,0.008317
550,550,1.9873428e-4,1.656638,5.2417,23983.88,23.7703,0.015929,0.008234
560,560,1.9868797e-4,1.703071,5.4908,22277.93,24.1352,0.015640,0.008138
570,570,1.9864082e-4,1.719929,5.5841,24356.84,24.1493,0.015045,0.007866
580,580,1.9859284e-4,1.718699,5.5773,23163.85,24.0663,0.015942,0.008350
590,590,1.9854403e-4,1.603658,4.9712,23547.34,23.3377,0.016535,0.008014
600,600,1.9849441e-4,1.623106,5.0688,21843.14,23.6142,0.016575,0.008310
610,610,1.9844396e-4,1.656649,5.2417,24176.55,24.0544,0.014570,0.007741
620,620,1.9839269e-4,1.543332,4.6802,24149.60,24.0369,0.014239,0.007425
630,630,1.9834058e-4,1.486400,4.4212,24395.99,24.3389,0.013770,0.007262
640,640,1.9828767e-4,1.471480,4.3557,24269.42,24.1468,0.014093,0.007263
650,650,1.9823393e-4,1.431234,4.1839,22840.68,23.9787,0.014721,0.007401
660,660,1.9817938e-4,1.527084,4.6047,23650.88,23.5910,0.015892,0.007919
670,670,1.9812399e-4,1.409817,4.0952,24041.17,23.8363,0.014914,0.007294
680,680,1.9806778e-4,1.447823,4.2538,23806.60,23.7140,0.015585,0.007610
690,690,1.9801076e-4,1.614270,5.0242,22471.82,23.9550,0.015386,0.007811
700,700,1.9795292e-4,1.413040,4.1084,23762.83,23.6888,0.014376,0.007214
