step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,1,2.0000002e-6,5.338596,208.2202,340.51,0.2356
20,2,4.0000004e-6,5.314716,203.3068,307.88,0.2056
30,3,6e-6,5.154773,173.2565,359.44,0.1999
40,5,1.0000001e-5,5.022482,151.7876,341.56,0.2184
50,6,1.2e-5,4.800975,121.6290,294.88,0.2030
60,7,1.4000001e-5,4.668843,106.5744,344.90,0.2044
70,8,1.6000002e-5,4.525587,92.3501,296.64,0.2206
80,10,2.0000001e-5,4.322365,75.3667,304.49,0.2087
90,11,2.2e-5,4.203271,66.9048,325.44,0.1957
100,12,2.4e-5,4.070888,58.6090,334.32,0.2208
110,13,2.6000002e-5,3.886961,48.7625,304.97,0.2004
120,15,3.0000001e-5,3.751900,42.6019,289.66,0.2101
130,16,3.2000004e-5,3.677893,39.5630,421.31,0.2451
140,17,3.4000004e-5,3.545862,34.6695,396.74,0.1994
150,18,3.6e-5,3.400167,29.9691,291.64,0.2058
160,20,4.0000003e-5,3.352914,28.5859,326.55,0.2285
170,21,4.2000003e-5,3.208715,24.7473,403.77,0.2031
180,22,4.4e-5,3.069225,21.5252,298.81,0.2038
190,23,4.6000005e-5,3.036125,20.8244,367.93,0.2177
200,25,5.0000002e-5,2.991839,19.9223,356.01,0.2057
210,26,5.2000003e-5,2.881164,17.8350,335.04,0.2048
220,27,5.4000004e-5,2.806828,16.5573,387.65,0.2248
230,28,5.6000004e-5,2.784963,16.1992,320.82,0.1983
240,30,6.0000002e-5,2.656580,14.2475,284.17,0.2035
250,31,6.2e-5,2.637593,13.9795,392.98,0.2239
260,32,6.400001e-5,2.607327,13.5627,324.57,0.1972
270,33,6.6e-5,2.518931,12.4153,302.98,0.2084
280,35,7e-5,2.495489,12.1277,302.31,0.2263
290,36,7.2e-5,2.449180,11.5788,298.20,0.2103
300,37,7.4e-5,2.400914,11.0333,298.18,0.2000
310,38,7.6000004e-5,2.369556,10.6926,290.55,0.2266
320,40,8.0000005e-5,2.340882,10.3904,268.38,0.2024
330,41,8.2000006e-5,2.211222,9.1269,285.27,0.2071
340,42,8.400001e-5,2.247482,9.4639,388.42,0.2118
350,43,8.6e-5,2.178552,8.8335,339.43,0.2039
360,45,9.000001e-5,2.142863,8.5238,332.99,0.2048
370,46,9.200001e-5,2.058367,7.8332,424.46,0.2222
380,47,9.4e-5,2.123934,8.3640,355.07,0.1988
390,48,9.6e-5,2.084489,8.0405,333.33,0.2051
400,50,1.00000005e-4,1.996929,7.3664,366.84,0.2230
410,51,1.02000005e-4,2.046745,7.7427,286.44,0.2009
420,52,1.04000006e-4,2.052396,7.7865,333.28,0.2058
430,53,1.06e-4,1.882064,6.5670,317.12,0.2316
440,55,1.1000001e-4,1.897438,6.6688,266.82,0.2105
450,56,1.1200001e-4,1.975175,7.2079,366.25,0.1986
460,57,1.14e-4,1.886366,6.5954,344.38,0.2144
470,58,1.16e-4,1.909191,6.7476,385.31,0.2001
480,60,1.20000004e-4,1.846227,6.3359,269.52,0.2087
490,61,1.22000005e-4,1.814580,6.1385,310.92,0.2292
500,62,1.24e-4,1.881634,6.5642,334.27,0.1962
510,63,1.26e-4,1.850629,6.3638,300.71,0.2027
520,65,1.3e-4,1.778320,5.9199,429.63,0.2240
530,66,1.32e-4,1.724584,5.6102,348.49,0.2055
540,67,1.34e-4,1.759782,5.8112,285.61,0.2004
550,68,1.3600002e-4,1.702809,5.4893,340.65,0.2206
560,70,1.4e-4,1.727958,5.6291,296.62,0.2052
570,71,1.42e-4,1.698984,5.4684,408.33,0.1961
580,72,1.44e-4,1.627455,5.0909,336.27,0.2234
590,73,1.46e-4,1.659551,5.2569,272.92,0.1989
600,75,1.5e-4,1.620268,5.0544,290.90,0.2036
610,76,1.5200001e-4,1.667041,5.2965,317.37,0.2276
