step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,5,1e-6,5.999560,403.2513,543.83,0.0697
20,10,2e-6,5.933956,377.6456,577.66,0.0640
30,15,2.9999999e-6,5.874052,355.6873,517.56,0.0581
40,20,4e-6,5.754981,315.7594,540.12,0.0530
50,25,5e-6,5.726231,306.8108,518.04,0.0620
60,30,5.9999998e-6,5.489808,242.2107,538.65,0.0693
70,35,6.9999996e-6,5.490080,242.2767,355.94,0.0792
80,40,8e-6,5.188990,179.2873,564.27,0.0771
90,45,9e-6,5.291529,198.6470,546.85,0.0597
100,50,1e-5,5.138221,170.4124,467.70,0.0652
110,55,1.1e-5,5.119771,167.2971,950.06,0.1407
120,60,1.19999995e-5,4.828744,125.0538,515.46,0.0596
130,65,1.2999999e-5,4.993422,147.4401,321.16,0.0753
140,70,1.3999999e-5,4.771527,118.0995,458.71,0.0608
150,75,1.50000005e-5,4.605264,100.0094,454.48,0.0653
160,80,1.6e-5,4.711846,111.2574,328.90,0.0698
170,85,1.7e-5,4.605455,100.0285,410.77,0.0659
180,90,1.8e-5,4.960547,142.6718,563.28,0.0525
190,95,1.9e-5,4.935229,139.1050,509.63,0.0425
200,100,2e-5,5.271923,194.7901,497.70,0.0415
210,105,2.0999998e-5,4.841831,126.7011,566.35,0.0472
220,110,2.2e-5,4.414654,82.6533,540.98,0.0453
230,115,2.3e-5,4.260768,70.8644,548.38,0.0457
240,120,2.3999999e-5,4.155430,63.7794,548.51,0.0460
250,125,2.5e-5,3.985379,53.8057,570.16,0.0478
260,130,2.5999998e-5,3.813467,45.3072,556.51,0.0467
270,135,2.7e-5,3.683605,39.7896,572.09,0.0489
280,140,2.7999999e-5,3.619794,37.3299,576.37,0.0485
290,145,2.8999999e-5,3.382355,29.4400,580.95,0.0547
300,150,3.0000001e-5,3.315188,27.5276,584.40,0.0546
310,155,3.1e-5,3.274653,26.4341,631.24,0.0546
320,160,3.2e-5,3.285151,26.7130,580.74,0.0520
330,165,3.3e-5,3.276843,26.4920,582.33,0.0572
340,170,3.4e-5,3.168943,23.7823,578.40,0.0668
350,175,3.4999997e-5,2.988347,19.8528,584.89,0.0611
360,180,3.6e-5,3.002422,20.1342,585.65,0.0551
370,185,3.6999998e-5,2.866395,17.5735,581.54,0.0566
380,190,3.8e-5,2.964659,19.3881,557.50,0.0520
390,195,3.9e-5,3.267026,26.2332,505.88,0.0422
400,200,4e-5,3.101647,22.2345,541.62,0.0452
410,205,4.1e-5,3.059890,21.3252,581.76,0.0485
420,210,4.1999996e-5,2.613833,13.6513,576.07,0.0549
430,215,4.3e-5,2.350384,10.4896,587.17,0.0593
440,220,4.4e-5,3.058581,21.2973,572.22,0.0511
450,225,4.4999997e-5,3.366105,28.9655,490.18,0.0564
460,230,4.6e-5,3.426138,30.7576,478.36,0.0655
470,235,4.6999998e-5,3.237224,25.4629,389.49,0.0691
480,240,4.7999998e-5,3.233168,25.3599,409.26,0.0636
490,245,4.9e-5,2.901676,18.2046,496.28,0.0618
500,250,5e-5,3.074360,21.6360,384.45,0.0699
510,255,5.1e-5,2.678694,14.5661,580.35,0.0647
520,260,5.1999996e-5,3.011015,20.3080,565.84,0.0631
530,265,5.2999996e-5,3.264801,26.1749,445.56,0.0649
540,270,5.4e-5,3.007927,20.2454,389.63,0.0645
550,275,5.5e-5,2.956567,19.2318,365.10,0.0627
560,280,5.5999997e-5,2.980875,19.7051,465.06,0.0634
570,285,5.6999997e-5,2.849710,17.2828,339.48,0.0733
580,290,5.7999998e-5,2.924003,18.6157,402.95,0.0851
590,295,5.8999995e-5,2.783639,16.1778,391.42,0.0662
600,300,6.0000002e-5,2.867004,17.5843,480.70,0.0616
610,305,6.1e-5,2.839683,17.1103,508.87,0.0631
620,310,6.2e-5,2.682230,14.6177,521.94,0.0594
