step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1.2e-5,5.120104,167.3528,8703.09,0.5516,0.321503,0.903468,37.197533
20,20,2.4e-5,4.851946,127.9892,8427.27,0.5411,0.292289,0.703982,36.301262
30,30,3.6e-5,4.572174,96.7542,7869.07,0.5362,0.229442,0.487250,33.437328
40,40,4.8e-5,4.314325,74.7631,8083.72,0.5420,0.185522,0.331148,30.981430
50,50,6.0000002e-5,4.040248,56.8405,8968.62,0.5428,0.151993,0.233546,29.310062
60,60,7.2e-5,3.839812,46.5167,8403.79,0.5384,0.134879,0.148443,28.679401
70,70,8.400001e-5,3.706380,40.7062,9742.24,0.5273,0.126928,0.098054,28.249277
80,80,9.6e-5,3.556647,35.0455,9973.79,0.5460,0.130630,0.075303,25.639477
90,90,1.0800001e-4,3.468650,32.0934,8896.40,0.5483,0.141079,0.061251,25.169586
100,100,1.20000004e-4,3.381185,29.4056,8433.85,0.5563,0.148667,0.055743,23.775902
110,110,1.32e-4,3.322804,27.7380,8621.03,0.5342,0.179691,0.051801,24.511303
120,120,1.44e-4,3.227241,25.2100,9456.86,0.5343,0.217167,0.050937,23.466602
130,130,1.56e-4,3.153313,23.4135,8855.09,0.5329,0.274490,0.055562,22.990124
140,140,1.6800001e-4,3.070869,21.5606,7298.02,0.5300,0.327711,0.057373,22.637865
150,150,1.8000002e-4,3.006346,20.2134,7765.86,0.5279,0.370265,0.058840,22.155399
160,160,1.92e-4,2.882127,17.8522,10638.41,0.5456,0.430745,0.059366,20.596022
170,170,2.0400001e-4,2.769114,15.9445,8631.73,0.5400,0.503202,0.057977,19.759941
180,180,2.1600001e-4,2.739511,15.4794,7422.55,0.5386,0.654084,0.071820,19.509407
190,190,2.28e-4,2.694884,14.8038,9941.79,0.5269,0.566046,0.053262,20.000357
200,200,2.4000001e-4,2.578609,13.1788,8517.09,0.5382,0.616168,0.054463,18.563198
210,210,2.52e-4,2.545201,12.7458,7386.84,0.5346,0.702911,0.055895,18.411789
220,220,2.64e-4,2.499250,12.1734,8101.84,0.5348,0.679737,0.052335,18.298208
230,230,2.76e-4,2.422506,11.2741,8577.04,0.5420,0.780373,0.053382,17.503672
240,240,2.88e-4,2.372578,10.7250,9123.94,0.5387,0.861694,0.059664,17.132687
250,250,3e-4,2.338405,10.3647,8372.36,0.5399,0.781911,0.051588,16.757538
260,260,3.12e-4,2.373493,10.7348,8108.23,0.5318,0.744488,0.049823,17.195127
270,270,3.2400002e-4,2.284052,9.8164,8311.25,0.5432,0.652532,0.039014,16.430014
280,280,3.3600003e-4,2.244228,9.4331,8583.36,0.5537,0.657212,0.039880,15.857112
290,290,3.48e-4,2.392813,10.9442,6206.05,0.5456,0.707130,0.043659,17.302555
300,300,3.6000003e-4,2.289431,9.8693,8385.93,0.5357,0.574472,0.033581,16.747952
310,310,3.72e-4,2.226117,9.2638,8416.76,0.5420,0.604095,0.034615,15.873007
320,320,3.84e-4,2.205692,9.0765,7288.57,0.5412,0.618288,0.034641,15.894915
330,330,3.9600005e-4,2.154571,8.6242,10523.81,0.5486,0.612214,0.032612,15.408183
340,340,4.0800002e-4,2.113579,8.2778,8680.25,0.5420,0.666740,0.034867,15.158522
350,350,4.2000003e-4,2.128756,8.4044,8823.21,0.5299,0.704499,0.035780,15.653872
360,360,4.3200003e-4,2.167001,8.7321,8578.72,0.5366,0.725224,0.037167,15.443868
370,370,4.4400003e-4,2.236136,9.3571,8653.77,0.5427,0.637092,0.033805,15.805359
380,380,4.56e-4,2.147115,8.5601,8040.70,0.5394,0.537030,0.029136,15.316080
390,390,4.68e-4,2.089431,8.0803,8928.55,0.5366,0.709955,0.034536,15.151782
400,400,4.8000002e-4,2.086537,8.0570,7296.21,0.5392,0.684357,0.033513,15.066129
410,410,4.92e-4,2.074142,7.9577,8764.98,0.5403,0.701769,0.033850,14.852941
420,420,5.04e-4,2.088632,8.0739,9150.28,0.5448,0.689801,0.035157,15.059590
430,430,5.1600003e-4,2.039689,7.6882,9109.17,0.5485,0.660277,0.034724,14.886683
440,440,5.28e-4,2.010984,7.4707,7163.08,0.5500,0.666487,0.035770,14.307582
450,450,5.4000004e-4,2.050858,7.7746,6285.39,0.5385,0.684886,0.036400,15.286345
460,460,5.52e-4,1.997551,7.3710,10336.87,0.5450,0.684880,0.036653,14.708624
470,470,5.6400005e-4,2.025174,7.5774,8345.26,0.5418,0.697113,0.040256,14.648453
480,480,5.76e-4,2.057826,7.8289,8724.22,0.5523,0.624122,0.037028,14.525749
490,490,5.8800005e-4,2.042959,7.7134,7865.11,0.5590,0.624766,0.033530,14.252066
500,500,5.9987174e-4,2.104122,8.1999,8855.95,0.5444,0.622676,0.034829,15.500214
510,510,5.998665e-4,1.955987,7.0709,8607.39,0.5558,0.575804,0.033689,13.668413
520,520,5.9986126e-4,1.966295,7.1442,9774.42,0.5559,0.600263,0.036128,13.867422
530,530,5.998558e-4,1.930106,6.8902,9607.90,0.5487,0.614568,0.038866,14.046303
540,540,5.998503e-4,1.904624,6.7169,7450.81,0.5414,0.636592,0.042354,13.834066
550,550,5.9984473e-4,1.939344,6.9542,7866.33,0.5409,0.676737,0.044277,14.111079
560,560,5.99839e-4,1.908317,6.7417,7884.35,0.5513,0.608570,0.040301,13.607574
570,570,5.998332e-4,1.917629,6.8048,7197.65,0.5568,0.627441,0.042857,13.679105
580,580,5.998274e-4,1.940180,6.9600,8296.35,0.5374,0.630758,0.044634,14.523216
590,590,5.9982133e-4,1.950686,7.0335,8556.72,0.5332,0.666414,0.046439,14.704359
600,600,5.998153e-4,1.875977,6.5272,9547.82,0.5542,0.601715,0.039846,13.229334
610,610,5.998091e-4,1.887603,6.6035,10653.34,0.5486,0.636029,0.049280,13.396380
620,620,5.998027e-4,1.831261,6.2418,8412.27,0.5470,0.642981,0.043555,13.190857
630,630,5.997963e-4,1.889374,6.6152,8517.67,0.5355,0.683043,0.048969,14.037600
640,640,5.997898e-4,1.841228,6.3043,7407.96,0.5538,0.675176,0.048670,13.244303
650,650,5.9978315e-4,1.838706,6.2884,7933.52,0.5489,0.670990,0.050437,13.479952
660,660,5.997765e-4,1.823809,6.1954,7218.62,0.5436,0.643267,0.046633,13.260689
670,670,5.9976964e-4,1.818768,6.1643,7010.01,0.5405,0.668558,0.047595,13.351834
680,680,5.9976266e-4,1.810917,6.1161,7528.74,0.5397,0.681090,0.044759,13.315908
690,690,5.997557e-4,1.819519,6.1689,9334.43,0.5468,0.697427,0.048739,13.195427
700,700,5.997486e-4,1.786218,5.9668,8218.08,0.5522,0.693538,0.050365,12.814509
710,710,5.9974135e-4,1.813688,6.1330,8707.89,0.5507,0.703410,0.048095,13.013323
720,720,5.99734e-4,1.796039,6.0257,7500.34,0.5383,0.700684,0.050433,13.476756
730,730,5.9972657e-4,1.822272,6.1859,8771.40,0.5227,0.718808,0.048380,13.299387
