step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.135505,169.9501,6511.09,6.4556,0.237639,0.120067
20,20,2e-5,4.565102,96.0724,6250.42,6.2334,0.219465,0.096400
30,30,3.0000001e-5,4.036704,56.6394,6199.64,6.1540,0.178922,0.070345
40,40,4e-5,3.529272,34.0991,5872.72,6.3462,0.120250,0.048900
50,50,5e-5,3.272945,26.3889,6202.39,6.1687,0.085792,0.031279
60,60,6.0000002e-5,3.129557,22.8639,6195.52,6.4618,0.069403,0.028179
70,70,6.9999995e-5,2.953552,19.1739,6634.47,6.6241,0.058480,0.022765
80,80,8e-5,2.868623,17.6128,6420.43,6.4684,0.058897,0.021995
90,90,8.9999994e-5,2.777772,16.0832,6376.40,6.3590,0.060257,0.020331
100,100,1e-4,2.603079,13.5053,6391.91,6.3584,0.065521,0.021318
110,110,1.1e-4,2.516945,12.3907,5823.60,6.1822,0.074148,0.023165
120,120,1.20000004e-4,2.418669,11.2309,6222.96,6.3230,0.070868,0.022292
130,130,1.2999999e-4,2.410190,11.1361,5989.31,6.4369,0.063843,0.021393
140,140,1.3999999e-4,2.337295,10.3532,6419.91,6.3776,0.061292,0.020762
150,150,1.4999999e-4,2.238545,9.3797,6160.88,6.4113,0.064678,0.021434
160,160,1.6e-4,2.209964,9.1154,6351.61,6.3281,0.063840,0.021755
170,170,1.7e-4,2.353844,10.5260,5711.14,6.2334,0.063312,0.023056
180,180,1.7999999e-4,2.278318,9.7602,6293.73,6.2595,0.057143,0.019915
190,190,1.8999999e-4,2.216132,9.1718,6276.05,6.2541,0.062608,0.020966
200,200,1.9983227e-4,2.271093,9.6900,5863.42,6.1975,0.062645,0.022003
210,210,1.9981508e-4,2.292055,9.8952,5651.66,6.2552,0.055690,0.020452
220,220,1.9979705e-4,2.063158,7.8708,6288.31,6.2761,0.057971,0.020934
230,230,1.997782e-4,1.976116,7.2147,5901.84,6.2163,0.057665,0.020832
240,240,1.997585e-4,2.096282,8.1359,6008.66,6.3919,0.055905,0.021227
250,250,1.9973796e-4,2.120598,8.3361,6085.37,6.3058,0.055196,0.020629
260,260,1.997166e-4,1.990277,7.3176,6391.46,6.3126,0.049311,0.019143
270,270,1.9969439e-4,1.966657,7.1467,6260.95,6.2160,0.050060,0.019008
280,280,1.9967135e-4,1.879628,6.5511,6266.70,6.2411,0.052972,0.019919
290,290,1.9964747e-4,1.782531,5.9449,6229.55,6.1945,0.053761,0.019925
300,300,1.9962277e-4,1.880847,6.5591,6083.32,6.4009,0.047832,0.019271
310,310,1.9959721e-4,1.865860,6.4615,5920.85,6.3646,0.047524,0.019148
320,320,1.9957083e-4,1.992353,7.3328,6303.67,6.2475,0.048529,0.019627
330,330,1.9954362e-4,1.999048,7.3820,5270.84,6.3038,0.046286,0.019265
340,340,1.9951556e-4,1.819343,6.1678,6478.95,6.4487,0.044652,0.017984
350,350,1.9948668e-4,1.941043,6.9660,6447.62,6.4200,0.042065,0.018079
360,360,1.9945696e-4,1.858924,6.4168,6051.24,6.2239,0.044293,0.018698
370,370,1.994264e-4,1.796029,6.0257,6037.31,6.0068,0.048044,0.018601
380,380,1.9939501e-4,1.783389,5.9500,5948.40,6.1242,0.047901,0.019389
390,390,1.993628e-4,1.875238,6.5224,5966.24,6.0875,0.048646,0.020220
400,400,1.9932975e-4,1.855503,6.3949,6485.07,6.4598,0.040014,0.017739
410,410,1.9929587e-4,1.777375,5.9143,6416.75,6.3856,0.042411,0.018091
420,420,1.9926114e-4,1.812675,6.1268,5933.79,6.3110,0.042331,0.018188
430,430,1.992256e-4,1.732842,5.6567,6271.91,6.3816,0.041320,0.017210
440,440,1.991892e-4,1.749999,5.7546,6282.58,6.4154,0.040287,0.017112
450,450,1.99152e-4,1.712189,5.5411,6326.13,6.3175,0.041008,0.017447
460,460,1.9911396e-4,1.619444,5.0503,6310.18,6.3016,0.040879,0.017104
470,470,1.9907509e-4,1.492542,4.4484,6087.23,6.3476,0.041361,0.016980
480,480,1.9903539e-4,1.633416,5.1213,6284.71,6.2300,0.043100,0.018760
490,490,1.9899487e-4,1.721579,5.5934,6080.85,6.2795,0.041644,0.018434
500,500,1.989535e-4,1.840152,6.2975,6097.15,6.2087,0.040981,0.017643
510,510,1.9891132e-4,1.573125,4.8217,6249.14,6.2394,0.038178,0.015933
520,520,1.988683e-4,1.639533,5.1528,6319.47,6.2937,0.040745,0.017797
530,530,1.9882445e-4,1.606956,4.9876,6281.73,6.2683,0.038498,0.016780
540,540,1.9877979e-4,1.675501,5.3415,5722.29,6.2217,0.039293,0.017082
550,550,1.9873428e-4,1.740594,5.7007,6310.41,6.2542,0.038703,0.017586
560,560,1.9868797e-4,1.797181,6.0326,5952.11,6.4483,0.035951,0.016767
570,570,1.9864082e-4,1.761765,5.8227,6512.22,6.4567,0.035983,0.016891
580,580,1.9859284e-4,1.766457,5.8501,6160.56,6.4006,0.036648,0.016650
590,590,1.9854403e-4,1.697329,5.4593,6175.46,6.1205,0.040306,0.017295
600,600,1.9849441e-4,1.724223,5.6082,5830.85,6.3036,0.038064,0.016889
610,610,1.9844396e-4,1.736565,5.6778,6520.06,6.4871,0.035613,0.018005
620,620,1.9839269e-4,1.616869,5.0373,6534.09,6.5036,0.034009,0.015723
630,630,1.9834058e-4,1.544247,4.6844,6621.36,6.6059,0.033593,0.015685
640,640,1.9828767e-4,1.555161,4.7358,6534.93,6.5019,0.035657,0.015920
650,650,1.9823393e-4,1.507289,4.5145,6110.61,6.4151,0.034518,0.015293
660,660,1.9817938e-4,1.630658,5.1072,6256.15,6.2403,0.039534,0.017569
670,670,1.9812399e-4,1.508126,4.5183,6404.12,6.3495,0.035848,0.015977
680,680,1.9806778e-4,1.508012,4.5177,6334.97,6.3103,0.037339,0.016311
690,690,1.9801076e-4,1.685749,5.3965,6013.82,6.4107,0.038474,0.017620
700,700,1.9795292e-4,1.507193,4.5140,6184.18,6.1649,0.036663,0.015806
710,710,1.9789426e-4,1.701260,5.4809,5947.98,6.4235,0.038716,0.017338
720,720,1.9783479e-4,1.506981,4.5131,6692.25,6.6701,0.031715,0.014497
730,730,1.9777448e-4,1.472586,4.3605,5755.16,6.1982,0.035976,0.015627
740,740,1.9771337e-4,1.518417,4.5650,6161.27,6.1230,0.038434,0.016882
750,750,1.9765143e-4,1.639210,5.1511,6359.18,6.3148,0.037273,0.017114
760,760,1.975887e-4,1.508392,4.5195,6051.27,6.2756,0.036391,0.015374
770,770,1.9752514e-4,1.445767,4.2451,5983.95,6.2361,0.035534,0.015155
780,780,1.9746076e-4,1.471650,4.3564,6274.78,6.2552,0.035673,0.015479
790,790,1.9739557e-4,1.454066,4.2805,5924.76,6.3970,0.036426,0.015687
800,800,1.9732956e-4,1.696639,5.4556,6315.74,6.2887,0.036137,0.016338
810,810,1.9726275e-4,1.514990,4.5494,6294.30,6.2662,0.033379,0.014993
820,820,1.9719511e-4,1.570092,4.8071,5779.17,6.2836,0.036069,0.016028
830,830,1.9712668e-4,1.569895,4.8061,6000.68,6.2433,0.034608,0.015558
840,840,1.9705744e-4,1.607067,4.9882,6365.68,6.3249,0.033938,0.015934
850,850,1.9698737e-4,1.557858,4.7486,6111.61,6.4240,0.034851,0.015565
860,860,1.969165e-4,1.677193,5.3505,6270.81,6.3065,0.037892,0.017255
870,870,1.9684482e-4,1.452949,4.2757,5942.56,6.3853,0.036054,0.015649
880,880,1.9677235e-4,1.487343,4.4253,6466.53,6.4139,0.035813,0.015676
890,890,1.9669905e-4,1.449684,4.2618,6367.22,6.3375,0.036274,0.015862
900,900,1.9662495e-4,1.592945,4.9182,6358.99,6.6323,0.033712,0.015408
910,910,1.9655006e-4,1.567634,4.7953,6602.13,6.5624,0.034477,0.015466
920,920,1.9647436e-4,1.442015,4.2292,5840.14,6.4596,0.033328,0.015208
930,930,1.9639783e-4,1.519136,4.5683,6392.61,6.3578,0.035680,0.015446
940,940,1.9632051e-4,1.504277,4.5009,5801.58,6.2946,0.034557,0.014750
950,950,1.962424e-4,1.603515,4.9705,6233.41,6.2529,0.037591,0.015952
960,960,1.9616348e-4,1.590352,4.9055,6342.13,6.3113,0.036653,0.015592
970,970,1.9608375e-4,1.262979,3.5359,6389.92,6.3601,0.031694,0.012754
980,980,1.9600324e-4,1.636659,5.1380,6201.29,6.2110,0.038516,0.016933
990,990,1.9592191e-4,1.432249,4.1881,6183.37,6.1509,0.033935,0.014837
1000,1000,1.9583979e-4,1.363429,3.9096,6181.22,6.1345,0.033790,0.014431
1010,1010,1.9575687e-4,1.451944,4.2714,5969.60,6.1424,0.036427,0.015419
1020,1020,1.9567317e-4,1.751279,5.7620,6211.95,6.1818,0.036929,0.017069
1030,1030,1.9558865e-4,1.676314,5.3458,6271.54,6.2326,0.035285,0.015450
1040,1040,1.9550335e-4,1.605236,4.9790,6209.56,6.1794,0.035345,0.015354
1050,1050,1.9541725e-4,1.407024,4.0838,6149.88,6.1105,0.035552,0.015002
1060,1060,1.9533036e-4,1.351728,3.8641,6233.02,6.1883,0.036475,0.014813
1070,1070,1.9524267e-4,1.406979,4.0836,5615.55,6.1646,0.035235,0.014553
1080,1080,1.9515419e-4,1.397557,4.0453,5967.99,6.1779,0.034590,0.014689
1090,1090,1.9506492e-4,1.517278,4.5598,6415.03,6.3814,0.035891,0.016321
1100,1100,1.9497485e-4,1.586912,4.8886,5788.40,6.3204,0.036056,0.015289
1110,1110,1.94884e-4,1.394539,4.0331,6302.42,6.2415,0.036523,0.015310
1120,1120,1.9479237e-4,1.395204,4.0358,6409.14,6.5057,0.032180,0.014051
1130,1130,1.9469995e-4,1.239636,3.4544,6246.99,6.2034,0.031882,0.013101
1140,1140,1.9460674e-4,1.431082,4.1832,5799.89,6.3222,0.032949,0.014533
1150,1150,1.9451273e-4,1.521873,4.5808,6421.85,6.4106,0.031887,0.014321
1160,1160,1.9441797e-4,1.359258,3.8933,6288.04,6.2831,0.029908,0.013094
