step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.106019,165.0121,6509.33,6.4539,0.000501,0.094707
20,20,2e-5,4.616566,101.1461,6218.94,6.2020,0.002844,0.086098
30,30,3.0000001e-5,3.948019,51.8326,6187.63,6.1420,0.003795,0.069841
40,40,4e-5,3.419428,30.5519,5857.01,6.3292,0.003238,0.052077
50,50,5e-5,3.144372,23.2051,6184.98,6.1513,0.002826,0.040918
60,60,6.0000002e-5,2.953261,19.1684,6179.27,6.4449,0.002894,0.036921
70,70,6.9999995e-5,2.719510,15.1729,6614.79,6.6045,0.003059,0.032997
80,80,8e-5,2.667964,14.4106,6419.24,6.4672,0.003506,0.034255
90,90,8.9999994e-5,2.565808,13.0112,6391.83,6.3744,0.003442,0.032764
100,100,1e-4,2.424939,11.3015,6395.18,6.3616,0.003604,0.031834
110,110,1.1e-4,2.380908,10.8147,5840.73,6.2004,0.004009,0.032963
120,120,1.20000004e-4,2.275259,9.7304,6225.44,6.3255,0.003957,0.032677
130,130,1.2999999e-4,2.261382,9.5963,6001.70,6.4502,0.004085,0.032877
140,140,1.3999999e-4,2.174531,8.7981,6425.72,6.3833,0.004102,0.033007
150,150,1.4999999e-4,2.098637,8.1550,6162.96,6.4135,0.004521,0.033100
160,160,1.6e-4,2.091173,8.0944,6371.02,6.3475,0.004519,0.032777
170,170,1.7e-4,2.201352,9.0372,5714.33,6.2369,0.005113,0.033952
180,180,1.7999999e-4,2.118457,8.3183,6293.57,6.2593,0.005026,0.031614
190,190,1.8999999e-4,2.113252,8.2751,6109.61,6.0882,0.005294,0.032280
200,200,1.9983227e-4,2.170021,8.7585,5825.77,6.1577,0.006055,0.033512
210,210,1.9981508e-4,2.180156,8.8477,5614.12,6.2136,0.005324,0.030631
220,220,1.9979705e-4,1.972371,7.1877,6237.33,6.2252,0.005289,0.030135
230,230,1.997782e-4,1.888908,6.6121,5857.37,6.1695,0.005801,0.030311
240,240,1.997585e-4,2.003206,7.4128,5958.47,6.3385,0.005866,0.031211
250,250,1.9973796e-4,2.045854,7.7358,6052.67,6.2719,0.005837,0.030674
260,260,1.997166e-4,1.874790,6.5194,6369.71,6.2911,0.005225,0.027184
270,270,1.9969439e-4,1.858538,6.4144,6243.60,6.1988,0.005512,0.028045
280,280,1.9967135e-4,1.782674,5.9457,6251.70,6.2262,0.005403,0.027887
290,290,1.9964747e-4,1.715288,5.5583,6202.87,6.1679,0.005555,0.028306
300,300,1.9962277e-4,1.798578,6.0411,6051.28,6.3671,0.005524,0.028129
310,310,1.9959721e-4,1.786841,5.9706,5890.04,6.3315,0.005673,0.027716
320,320,1.9957083e-4,1.918606,6.8115,6265.91,6.2101,0.005828,0.029396
330,330,1.9954362e-4,1.943390,6.9824,5204.31,6.2243,0.005950,0.027909
340,340,1.9951556e-4,1.776521,5.9093,6412.66,6.3827,0.005729,0.025086
350,350,1.9948668e-4,1.901516,6.6960,6417.34,6.3899,0.005630,0.025975
360,360,1.9945696e-4,1.784101,5.9542,6026.49,6.1984,0.005938,0.025448
370,370,1.994264e-4,1.744566,5.7234,6047.60,6.0170,0.006532,0.026826
380,380,1.9939501e-4,1.711767,5.5387,5965.62,6.1420,0.006669,0.027495
390,390,1.993628e-4,1.812894,6.1282,5989.75,6.1115,0.006544,0.028600
400,400,1.9932975e-4,1.802419,6.0643,6465.91,6.4407,0.006378,0.026726
410,410,1.9929587e-4,1.723956,5.6067,6345.10,6.3143,0.006604,0.025855
420,420,1.9926114e-4,1.747106,5.7380,5852.56,6.2246,0.006829,0.027624
430,430,1.992256e-4,1.694852,5.4458,6169.30,6.2772,0.006657,0.025192
440,440,1.991892e-4,1.709320,5.5252,6155.35,6.2855,0.006881,0.024872
450,450,1.99152e-4,1.662500,5.2725,6230.96,6.2225,0.006973,0.025023
460,460,1.9911396e-4,1.572131,4.8169,6188.84,6.1804,0.007364,0.024426
470,470,1.9907509e-4,1.461052,4.3105,5999.72,6.2563,0.007848,0.023720
480,480,1.9903539e-4,1.587238,4.8902,6273.82,6.2192,0.007584,0.026733
490,490,1.9899487e-4,1.693899,5.4407,6058.31,6.2563,0.007969,0.026592
500,500,1.989535e-4,1.804207,6.0752,6058.56,6.1694,0.007479,0.027144
510,510,1.9891132e-4,1.532516,4.6298,6188.90,6.1792,0.007051,0.023327
520,520,1.988683e-4,1.614571,5.0257,6265.61,6.2400,0.007678,0.025081
530,530,1.9882445e-4,1.564301,4.7793,6219.67,6.2063,0.007588,0.023935
540,540,1.9877979e-4,1.645684,5.1846,5759.89,6.2626,0.008084,0.024759
550,550,1.9873428e-4,1.698712,5.4669,6380.44,6.3236,0.008043,0.025162
560,560,1.9868797e-4,1.735830,5.6736,6012.83,6.5141,0.007817,0.024670
570,570,1.9864082e-4,1.738074,5.6864,6564.91,6.5090,0.008239,0.024200
580,580,1.9859284e-4,1.735723,5.6730,6229.20,6.4719,0.008610,0.024214
590,590,1.9854403e-4,1.663223,5.2763,6165.22,6.1103,0.008847,0.025814
600,600,1.9849441e-4,1.667880,5.3009,5721.42,6.1853,0.008765,0.024698
610,610,1.9844396e-4,1.722954,5.6010,6412.03,6.3796,0.008690,0.024453
620,620,1.9839269e-4,1.603699,4.9714,6403.60,6.3737,0.008804,0.023167
630,630,1.9834058e-4,1.527420,4.6063,6525.48,6.5102,0.008409,0.022016
640,640,1.9828767e-4,1.511547,4.5337,6523.72,6.4908,0.008611,0.022794
650,650,1.9823393e-4,1.494782,4.4584,6115.52,6.4202,0.008944,0.023190
660,660,1.9817938e-4,1.591094,4.9091,6118.10,6.1026,0.009374,0.025813
670,670,1.9812399e-4,1.463119,4.3194,6262.22,6.2089,0.008891,0.023602
680,680,1.9806778e-4,1.503894,4.4992,6186.37,6.1623,0.009386,0.024116
690,690,1.9801076e-4,1.652864,5.2219,5886.82,6.2753,0.010137,0.024915
700,700,1.9795292e-4,1.469997,4.3492,6185.67,6.1664,0.009603,0.023434
710,710,1.9789426e-4,1.664073,5.2808,5872.65,6.3421,0.010100,0.024663
720,720,1.9783479e-4,1.489555,4.4351,6509.27,6.4877,0.009157,0.020876
730,730,1.9777448e-4,1.466159,4.3326,5741.93,6.1840,0.010063,0.022225
740,740,1.9771337e-4,1.499633,4.4800,6160.00,6.1217,0.010838,0.024178
750,750,1.9765143e-4,1.586491,4.8866,6328.86,6.2847,0.010466,0.024723
760,760,1.975887e-4,1.489659,4.4356,5931.48,6.1513,0.010728,0.022842
770,770,1.9752514e-4,1.421785,4.1445,5907.43,6.1563,0.009815,0.021898
780,780,1.9746076e-4,1.461118,4.3108,6268.79,6.2493,0.010356,0.022678
790,790,1.9739557e-4,1.443566,4.2358,5870.27,6.3382,0.011062,0.023046
800,800,1.9732956e-4,1.675149,5.3396,6284.99,6.2581,0.010646,0.024467
810,810,1.9726275e-4,1.491798,4.4451,6228.11,6.2003,0.009906,0.022215
820,820,1.9719511e-4,1.553157,4.7264,5774.19,6.2782,0.010596,0.024093
830,830,1.9712668e-4,1.541182,4.6701,6051.60,6.2963,0.010546,0.023648
840,840,1.9705744e-4,1.606534,4.9855,6309.91,6.2695,0.009961,0.024160
850,850,1.9698737e-4,1.528319,4.6104,6105.59,6.4177,0.010554,0.023074
860,860,1.969165e-4,1.664396,5.2825,6311.88,6.3478,0.011041,0.024777
870,870,1.9684482e-4,1.428117,4.1708,5871.45,6.3089,0.009674,0.022111
880,880,1.9677235e-4,1.478836,4.3878,6559.36,6.5060,0.010149,0.022257
890,890,1.9669905e-4,1.442983,4.2333,6347.53,6.3179,0.010625,0.023483
900,900,1.9662495e-4,1.581700,4.8632,6381.90,6.6562,0.010500,0.023194
910,910,1.9655006e-4,1.542060,4.6742,6580.68,6.5411,0.010019,0.022460
920,920,1.9647436e-4,1.421165,4.1419,5877.16,6.5006,0.010124,0.021826
930,930,1.9639783e-4,1.484910,4.4146,6356.89,6.3223,0.011270,0.022899
940,940,1.9632051e-4,1.482726,4.4049,5886.83,6.3871,0.011246,0.023295
950,950,1.962424e-4,1.576131,4.8362,6183.08,6.2025,0.011598,0.024303
960,960,1.9616348e-4,1.576129,4.8362,6341.95,6.3111,0.011118,0.023259
970,970,1.9608375e-4,1.251141,3.4943,6407.75,6.3779,0.010127,0.018774
980,980,1.9600324e-4,1.621417,5.0603,6298.64,6.3085,0.011481,0.025710
990,990,1.9592191e-4,1.424895,4.1574,6212.08,6.1795,0.010962,0.022399
1000,1000,1.9583979e-4,1.354206,3.8737,6186.08,6.1393,0.011116,0.021342
1010,1010,1.9575687e-4,1.441155,4.2256,5988.31,6.1616,0.011383,0.022417
