step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.560874,260.0500,6434.52,6.3797,0.001513,0.051650
20,20,2e-5,4.662000,105.8475,6244.30,6.2273,0.005392,0.048072
30,30,3.0000001e-5,3.871484,48.0136,6200.54,6.1549,0.004309,0.041004
40,40,4e-5,3.252321,25.8503,5883.15,6.3575,0.004414,0.033530
50,50,5e-5,3.014829,20.3856,6205.26,6.1715,0.004496,0.031011
60,60,6.0000002e-5,2.836682,17.0591,6200.73,6.4672,0.004443,0.028594
70,70,6.9999995e-5,2.616013,13.6811,6646.09,6.6357,0.004733,0.026001
80,80,8e-5,2.579190,13.1865,6450.13,6.4984,0.005385,0.027283
90,90,8.9999994e-5,2.496860,12.1443,6419.07,6.4016,0.005536,0.026578
100,100,1e-4,2.326483,10.2419,6428.05,6.3943,0.006113,0.026730
110,110,1.1e-4,2.306884,10.0431,5859.97,6.2208,0.006619,0.029337
120,120,1.20000004e-4,2.205759,9.0771,6251.21,6.3517,0.006583,0.027580
130,130,1.2999999e-4,2.205297,9.0729,6035.74,6.4868,0.007294,0.028188
140,140,1.3999999e-4,2.125995,8.3812,6462.35,6.4197,0.007171,0.029106
150,150,1.4999999e-4,2.054636,7.8040,6197.36,6.4493,0.008452,0.028418
160,160,1.6e-4,2.050673,7.7731,6410.15,6.3865,0.007995,0.027924
170,170,1.7e-4,2.161143,8.6811,5749.48,6.2753,0.008966,0.029056
180,180,1.7999999e-4,2.062470,7.8654,6328.24,6.2938,0.009923,0.029407
190,190,1.8999999e-4,2.049811,7.7664,6177.09,6.1554,0.009906,0.030343
200,200,1.9983227e-4,2.132283,8.4341,5889.47,6.2250,0.009901,0.028911
210,210,1.9981508e-4,2.176350,8.8141,5675.39,6.2815,0.009609,0.026724
220,220,1.9979705e-4,1.933853,6.9161,6305.93,6.2936,0.009980,0.027833
230,230,1.997782e-4,1.845165,6.3291,5919.79,6.2352,0.010807,0.028089
240,240,1.997585e-4,1.965840,7.1409,6015.91,6.3996,0.011064,0.028335
250,250,1.9973796e-4,2.031879,7.6284,6103.75,6.3249,0.010789,0.028669
260,260,1.997166e-4,1.868408,6.4780,6410.45,6.3313,0.009142,0.025264
270,270,1.9969439e-4,1.833704,6.2570,6274.01,6.2290,0.009712,0.026393
280,280,1.9967135e-4,1.742657,5.7125,6278.03,6.2524,0.009869,0.026256
290,290,1.9964747e-4,1.692850,5.4349,6237.49,6.2024,0.010156,0.026938
300,300,1.9962277e-4,1.768808,5.8639,6082.76,6.4003,0.010018,0.025784
310,310,1.9959721e-4,1.765653,5.8454,5920.94,6.3647,0.010526,0.025447
320,320,1.9957083e-4,1.894802,6.6512,6307.00,6.2508,0.010673,0.027139
330,330,1.9954362e-4,1.938211,6.9463,5269.29,6.3020,0.010392,0.025518
340,340,1.9951556e-4,1.746091,5.7322,6497.98,6.4677,0.010309,0.023650
350,350,1.9948668e-4,1.855666,6.3960,6477.28,6.4496,0.009349,0.024082
360,360,1.9945696e-4,1.771304,5.8785,6096.76,6.2707,0.009496,0.024717
370,370,1.994264e-4,1.719445,5.5814,6090.84,6.0601,0.010418,0.026167
380,380,1.9939501e-4,1.703755,5.4945,6020.61,6.1986,0.010692,0.026281
390,390,1.993628e-4,1.808954,6.1041,6028.81,6.1514,0.010396,0.026918
400,400,1.9932975e-4,1.791189,5.9966,6490.13,6.4649,0.009902,0.024987
410,410,1.9929587e-4,1.718085,5.5738,6347.29,6.3164,0.009883,0.023775
420,420,1.9926114e-4,1.732828,5.6566,5861.07,6.2336,0.009709,0.025374
430,430,1.992256e-4,1.670856,5.3167,6195.70,6.3041,0.009572,0.023789
440,440,1.991892e-4,1.686442,5.4002,6200.48,6.3316,0.010121,0.022942
450,450,1.99152e-4,1.641516,5.1630,6259.83,6.2513,0.010387,0.023982
460,460,1.9911396e-4,1.560781,4.7625,6245.27,6.2367,0.010386,0.023455
470,470,1.9907509e-4,1.445072,4.2422,6060.69,6.3199,0.010974,0.022312
480,480,1.9903539e-4,1.559001,4.7541,6352.29,6.2969,0.011205,0.025323
490,490,1.9899487e-4,1.670444,5.3145,6123.83,6.3239,0.011657,0.024879
500,500,1.989535e-4,1.787247,5.9730,6121.11,6.2331,0.011401,0.025125
510,510,1.9891132e-4,1.536154,4.6467,6272.92,6.2631,0.010809,0.022195
520,520,1.988683e-4,1.600638,4.9562,6339.57,6.3137,0.011185,0.024180
530,530,1.9882445e-4,1.562855,4.7724,6287.32,6.2738,0.010833,0.023025
540,540,1.9877979e-4,1.645057,5.1813,5700.36,6.1979,0.011211,0.023811
550,550,1.9873428e-4,1.700301,5.4756,6328.10,6.2718,0.011099,0.024137
560,560,1.9868797e-4,1.745439,5.7284,5965.97,6.4633,0.010781,0.023250
570,570,1.9864082e-4,1.721210,5.5913,6535.00,6.4793,0.010846,0.022712
580,580,1.9859284e-4,1.735912,5.6741,6186.91,6.4280,0.011063,0.023147
590,590,1.9854403e-4,1.670588,5.3153,6129.92,6.0753,0.011020,0.024538
600,600,1.9849441e-4,1.678560,5.3578,5751.96,6.2183,0.011311,0.023368
610,610,1.9844396e-4,1.719468,5.5816,6465.81,6.4331,0.010883,0.023223
620,620,1.9839269e-4,1.597025,4.9383,6453.79,6.4237,0.010563,0.020775
630,630,1.9834058e-4,1.512959,4.5401,6568.58,6.5532,0.010626,0.020469
640,640,1.9828767e-4,1.501700,4.4893,6466.37,6.4337,0.010882,0.021126
650,650,1.9823393e-4,1.477850,4.3835,6058.88,6.3608,0.010987,0.021364
660,660,1.9817938e-4,1.602885,4.9673,6180.42,6.1648,0.011888,0.024190
670,670,1.9812399e-4,1.451819,4.2709,6348.40,6.2943,0.010966,0.021395
680,680,1.9806778e-4,1.493008,4.4505,6254.28,6.2299,0.011882,0.022492
690,690,1.9801076e-4,1.640540,5.1580,5954.56,6.3476,0.012220,0.023218
700,700,1.9795292e-4,1.477048,4.3800,6216.41,6.1970,0.012654,0.023327
