step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,8e-6,4.888130,132.7052,5185.09,3.2332,0.177094,0.234622,25.625843
20,20,1.6e-5,4.836648,126.0462,5274.46,3.3221,0.169493,0.230854,24.568113
30,30,2.3999999e-5,4.727048,112.9616,5295.25,3.1636,0.170401,0.224525,25.025061
40,40,3.2e-5,4.574121,96.9427,5180.86,3.3341,0.151413,0.161316,23.196650
50,50,4e-5,4.443061,85.0349,4928.55,3.4791,0.149303,0.147332,22.885998
60,60,4.7999998e-5,4.319716,75.1673,5226.50,3.3229,0.137329,0.123787,22.258896
70,70,5.5999997e-5,4.196152,66.4302,5212.52,3.2201,0.139892,0.110210,22.290077
80,80,6.4e-5,4.084164,59.3922,5021.07,3.4563,0.127392,0.094547,21.096830
90,90,7.2e-5,3.986039,53.8412,5045.22,3.3456,0.124931,0.084327,21.081957
100,100,8e-5,3.877921,48.3236,4890.16,3.5469,0.125530,0.080978,20.008636
110,110,8.8e-5,3.808742,45.0937,5314.89,3.2453,0.120443,0.070927,19.714188
120,120,9.5999996e-5,3.700820,40.4805,5182.96,3.3668,0.108919,0.060508,18.915798
130,130,1.0399999e-4,3.659550,38.8439,5201.99,3.3452,0.105846,0.056356,19.089594
140,140,1.11999994e-4,3.583585,36.0024,5909.09,3.0053,0.105424,0.049199,18.424555
150,150,1.20000004e-4,3.495950,32.9816,5154.19,3.3772,0.101184,0.041945,17.903221
160,160,1.28e-4,3.441978,31.2487,5149.20,3.4368,0.098452,0.040243,17.599951
170,170,1.36e-4,3.364830,28.9286,5618.15,3.0026,0.101450,0.040309,17.537642
180,180,1.44e-4,3.286355,26.7452,5155.11,3.3774,0.100936,0.035997,16.847431
190,190,1.52e-4,3.244942,25.6602,5423.84,3.1993,0.104778,0.040250,16.891169
200,200,1.6e-4,3.171706,23.8481,5324.13,3.3006,0.106911,0.035972,16.091757
210,210,1.6799998e-4,3.119434,22.6336,5665.73,3.0995,0.113236,0.036765,15.881783
220,220,1.76e-4,3.071674,21.5780,5280.23,3.3274,0.114561,0.033968,15.641737
