step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
10,10,2e-6,5.164893,175.0187,2663.00,1.6625,21.910425
20,20,4e-6,5.032033,153.2442,2576.02,1.6245,20.527538
30,30,5.9999998e-6,4.747582,115.3052,2718.94,1.6263,20.391211
40,40,8e-6,4.509419,90.8690,2520.20,1.6239,18.349651
50,50,1e-5,4.178025,65.2369,2308.71,1.6320,17.352934
60,60,1.19999995e-5,3.954773,52.1839,2572.92,1.6379,16.442318
70,70,1.3999999e-5,3.710308,40.8664,2638.64,1.6320,15.996567
80,80,1.6e-5,3.476886,32.3588,2385.10,1.6440,14.471716
90,90,1.8e-5,3.325114,27.8022,2462.40,1.6350,14.249823
100,100,2e-5,3.177603,23.9892,2239.56,1.6267,13.226471
110,110,2.2e-5,3.061118,21.3514,2692.19,1.6459,12.769922
120,120,2.3999999e-5,2.916205,18.4711,2584.23,1.6808,11.992317
130,130,2.5999998e-5,2.863696,17.5262,2616.89,1.6849,12.058832
140,140,2.7999999e-5,2.756236,15.7405,3294.37,1.6772,11.402794
150,150,3.0000001e-5,2.717218,15.1381,2579.58,1.6924,11.192621
160,160,3.2e-5,2.671533,14.4621,2545.71,1.7013,10.983859
170,170,3.4e-5,2.602491,13.4973,3163.31,1.6924,10.959314
180,180,3.6e-5,2.508289,12.2839,2578.34,1.6914,10.355393
190,190,3.8e-5,2.580522,13.2040,2842.70,1.6787,10.843536
200,200,4e-5,2.515591,12.3739,2706.60,1.6799,10.247679
210,210,4.1999996e-5,2.458338,11.6854,3081.30,1.6875,10.057901
220,220,4.4e-5,2.475334,11.8857,2678.11,1.6897,10.125029
230,230,4.6e-5,2.396930,10.9894,2652.20,1.6957,10.205852
240,240,4.7999998e-5,2.358217,10.5721,2739.68,1.6933,9.968583
250,250,5e-5,2.359787,10.5887,2945.26,1.6890,9.863329
260,260,5.1999996e-5,2.361598,10.6079,2331.36,1.6879,9.724217
