step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-6,5.209897,183.0751,2494.81,1.5556,0.194793,0.147985,27.314142
20,20,4e-6,5.081158,160.9603,2542.72,1.6015,0.184886,0.143249,25.819820
30,30,5.9999998e-6,4.865558,129.7433,2534.55,1.5142,0.171819,0.119174,25.763269
40,40,8e-6,4.646882,104.2594,2454.82,1.5798,0.148851,0.091852,23.563122
50,50,1e-5,4.409910,82.2621,2192.83,1.5480,0.146394,0.085859,22.720551
60,60,1.19999995e-5,4.171248,64.7963,2495.05,1.5863,0.141342,0.074278,21.500126
70,70,1.3999999e-5,4.037321,56.6743,2464.08,1.5222,0.133817,0.061222,21.446129
80,80,1.6e-5,3.878565,48.3548,2268.89,1.5618,0.119084,0.045483,20.035583
90,90,1.8e-5,3.836738,46.3740,2260.64,1.4991,0.121868,0.039182,20.299213
100,100,2e-5,3.763065,43.0803,2142.44,1.5539,0.129131,0.040685,19.420420
110,110,2.2e-5,3.719218,41.2321,2520.33,1.5389,0.135414,0.038635,19.249792
120,120,2.3999999e-5,3.643846,38.2386,2401.96,1.5603,0.152982,0.041998,18.624006
130,130,2.5999998e-5,3.633388,37.8408,2396.18,1.5409,0.170102,0.051982,18.954580
140,140,2.7999999e-5,3.562199,35.2406,3062.23,1.5574,0.172985,0.046096,18.316053
150,150,3.0000001e-5,3.523087,33.8889,2390.27,1.5662,0.172269,0.042477,18.044144
160,160,3.2e-5,3.494188,32.9235,2387.82,1.5937,0.182813,0.046986,17.868240
170,170,3.4e-5,3.461126,31.8528,2857.21,1.5270,0.192606,0.043588,18.040169
180,180,3.6e-5,3.384520,29.5038,2359.62,1.5459,0.204443,0.040370,17.352177
190,190,3.8e-5,3.373321,29.1753,2610.48,1.5398,0.217760,0.042442,17.564949
200,200,4e-5,3.324959,27.7979,2536.62,1.5725,0.220335,0.043802,16.872128
210,210,4.1999996e-5,3.280475,26.5884,2856.13,1.5625,0.235385,0.046532,16.701662
220,220,4.4e-5,3.242119,25.5879,2575.39,1.6229,0.247112,0.046059,16.509588
230,230,4.6e-5,3.189768,24.2828,2442.86,1.5599,0.257686,0.047484,16.765827
240,240,4.7999998e-5,3.157032,23.5007,2562.04,1.5816,0.277746,0.049890,16.512911
250,250,5e-5,3.120546,22.6588,2723.73,1.5602,0.280102,0.051260,16.162914
260,260,5.1999996e-5,3.102836,22.2610,2151.46,1.5554,0.296568,0.053313,15.882418
270,270,5.4e-5,3.040567,20.9171,2376.28,1.5578,0.308476,0.045354,15.548439
280,280,5.5999997e-5,3.026876,20.6327,2179.14,1.5548,0.330656,0.051661,15.663332
290,290,5.7999998e-5,2.983079,19.7485,2091.23,1.5513,0.317110,0.050594,15.301494
300,300,6.0000002e-5,2.974576,19.5813,2083.45,1.5133,0.340997,0.049002,15.668272
310,310,6.2e-5,2.879586,17.8069,2041.02,1.5127,0.354663,0.051048,15.197759
320,320,6.4e-5,2.918756,18.5182,2110.33,1.5099,0.391109,0.056204,15.378146
