step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-6,5.180525,177.7761,17033.01,2.7744,0.234061,0.419795,38.218819
20,20,4e-6,5.028613,152.7210,14961.41,2.7594,0.226125,0.395314,35.767418
30,30,5.9999998e-6,4.808829,122.5880,13385.33,2.7581,0.223037,0.345009,34.450066
40,40,8e-6,4.566901,96.2454,14850.17,2.6328,0.217933,0.324427,34.713627
50,50,1e-5,4.238157,69.2801,15289.53,2.6814,0.183325,0.259766,31.315409
60,60,1.19999995e-5,3.955756,52.2352,13332.93,2.7027,0.153372,0.168323,28.530624
70,70,1.3999999e-5,3.792426,44.3639,14013.70,2.6204,0.136235,0.128936,28.544903
80,80,1.6e-5,3.609818,36.9593,14976.21,2.6937,0.113698,0.089957,26.016602
90,90,1.8e-5,3.523385,33.8990,15897.96,2.6798,0.107214,0.064442,26.075481
100,100,2e-5,3.460096,31.8200,13984.04,2.6973,0.103980,0.054138,25.467617
110,110,2.2e-5,3.383111,29.4623,15227.97,2.6906,0.103058,0.044281,24.039665
120,120,2.3999999e-5,3.316087,27.5523,15957.36,2.6938,0.107659,0.039091,23.825317
130,130,2.5999998e-5,3.275373,26.4531,14477.92,2.7116,0.116268,0.035864,23.605757
140,140,2.7999999e-5,3.257426,25.9826,14595.40,2.6388,0.127804,0.034939,23.958908
150,150,3.0000001e-5,3.183256,24.1252,14299.30,2.6583,0.140585,0.038555,23.630085
160,160,3.2e-5,3.168313,23.7673,14143.70,2.6427,0.146249,0.033980,23.754272
170,170,3.4e-5,3.105202,22.3137,15514.55,2.6556,0.163555,0.035368,22.945271
180,180,3.6e-5,3.080587,21.7712,14633.20,2.5746,0.180412,0.034237,23.750973
190,190,3.8e-5,3.057967,21.2842,17002.70,2.6286,0.201283,0.034063,23.673208
200,200,4e-5,2.983509,19.7570,15758.48,2.7882,0.225593,0.034056,21.936821
210,210,4.1999996e-5,2.958399,19.2671,14428.22,2.7989,0.243677,0.037849,21.139494
220,220,4.4e-5,2.880939,17.8310,15871.68,2.7670,0.277468,0.034928,21.127224
230,230,4.6e-5,2.886140,17.9240,15617.25,2.8216,0.309233,0.038489,21.585125
240,240,4.7999998e-5,2.783498,16.1755,16233.87,2.7879,0.331636,0.036763,19.626211
250,250,5e-5,2.740205,15.4902,16112.62,2.8016,0.382269,0.040471,19.312889
260,260,5.1999996e-5,2.718780,15.1618,16274.83,2.7882,0.433185,0.041761,19.813980
270,270,5.4e-5,2.698744,14.8611,12374.78,2.7546,0.505794,0.046517,19.505371
280,280,5.5999997e-5,2.592644,13.3651,16108.17,2.8435,0.473808,0.040288,17.762411
290,290,5.7999998e-5,2.604115,13.5193,15785.18,2.7905,0.521018,0.041155,18.404711
300,300,6.0000002e-5,2.570652,13.0743,15453.18,2.7556,0.545010,0.040342,18.469318
310,310,6.2e-5,2.536074,12.6300,16484.47,2.7568,0.556377,0.039140,18.490318
320,320,6.4e-5,2.545436,12.7488,12070.42,2.6530,0.600296,0.042013,19.348602
330,330,6.6e-5,2.532088,12.5797,13367.64,2.7077,0.618904,0.041486,18.809458
340,340,6.8e-5,2.495123,12.1232,16309.65,2.7359,0.602582,0.039027,18.026134
350,350,6.9999995e-5,2.432264,11.3846,14099.56,2.7390,0.573737,0.034239,17.646755
360,360,7.2e-5,2.366580,10.6609,16144.66,2.7684,0.595259,0.033606,16.825031
370,370,7.3999996e-5,2.372249,10.7215,16439.01,2.6741,0.673845,0.037015,17.791737
380,380,7.6e-5,2.330039,10.2783,14098.01,2.7465,0.694484,0.036795,16.830278
390,390,7.8e-5,2.355973,10.5484,16508.32,2.6833,0.731493,0.038617,17.389866
400,400,8e-5,2.268632,9.6662,16274.25,2.7030,0.707982,0.034805,16.717529
410,410,8.2e-5,2.346646,10.4505,14471.22,2.7425,0.738346,0.039494,16.997108
420,420,8.399999e-5,2.337729,10.3577,15346.53,2.7660,0.637145,0.031243,16.965546
430,430,8.6e-5,2.310562,10.0801,14566.50,2.6629,0.652088,0.035023,17.104031
440,440,8.8e-5,2.226074,9.2634,15758.58,2.7040,0.662373,0.032593,16.530100
450,450,8.9999994e-5,2.200085,9.0258,15639.49,2.7440,0.660864,0.030041,15.671593
460,460,9.2e-5,2.182153,8.8654,16038.51,2.8694,0.683008,0.031138,15.090261
470,470,9.3999995e-5,2.177718,8.8261,16383.47,2.7637,0.700879,0.031121,15.685228
480,480,9.5999996e-5,2.138803,8.4893,14136.15,2.7182,0.701858,0.031745,15.276136
490,490,9.8e-5,2.215871,9.1694,14305.05,2.6588,0.729945,0.032054,16.515663
500,500,1e-4,2.177067,8.8204,13688.12,2.7561,0.681143,0.029822,15.581111
510,510,1.02e-4,2.231481,9.3137,14696.08,2.6820,0.672486,0.029837,16.300461
520,520,1.0399999e-4,2.150944,8.5930,15532.80,2.7558,0.597003,0.026234,15.091537
530,530,1.0599999e-4,2.159706,8.6686,13690.33,2.6391,0.658811,0.029184,15.893530
540,540,1.08e-4,2.157827,8.6523,15495.83,2.6295,0.666108,0.029060,16.324018
550,550,1.1e-4,2.091214,8.0947,16122.98,2.6972,0.654164,0.027768,15.143591
560,560,1.11999994e-4,2.146913,8.5584,13191.79,2.6872,0.682656,0.029686,15.556994
570,570,1.13999995e-4,2.072605,7.9455,15134.33,2.7587,0.643215,0.027366,14.592897
580,580,1.15999996e-4,2.103679,8.1963,14586.15,2.7088,0.679697,0.029022,15.007901
590,590,1.1799999e-4,2.127930,8.3975,14745.44,2.6660,0.660923,0.027942,15.833911
600,600,1.20000004e-4,2.162149,8.6898,13105.40,2.6890,0.654682,0.028682,15.883690
610,610,1.22e-4,2.062975,7.8693,15374.06,2.8069,0.623699,0.026380,14.579039
620,620,1.24e-4,2.083155,8.0298,13580.79,2.7871,0.650754,0.027838,14.918297
630,630,1.26e-4,2.086854,8.0595,11780.03,2.7053,0.649258,0.028051,15.443576
640,640,1.28e-4,2.048559,7.7567,15679.01,2.6836,0.643368,0.027576,15.120573
650,650,1.2999999e-4,2.073545,7.9530,13886.85,2.7533,0.640314,0.028630,14.783676
660,660,1.32e-4,2.053194,7.7928,15478.12,2.7263,0.655186,0.027801,14.822484
670,670,1.34e-4,2.052295,7.7857,14548.05,2.7589,0.649167,0.027131,14.592508
680,680,1.36e-4,2.041604,7.7030,14876.96,2.7174,0.658358,0.026876,14.748510
690,690,1.38e-4,2.020114,7.5392,14658.82,2.6856,0.637677,0.026492,14.918028
700,700,1.3999999e-4,1.972715,7.1902,14910.01,2.7828,0.640945,0.027653,13.717604
710,710,1.4199999e-4,2.076189,7.9740,14965.36,2.6701,0.665491,0.028033,15.451381
720,720,1.44e-4,2.036355,7.6626,13332.77,2.7875,0.586326,0.025231,14.607191
730,730,1.46e-4,2.035645,7.6572,15609.92,2.7783,0.609610,0.026030,14.331637
740,740,1.4799999e-4,2.052751,7.7893,13532.39,2.6309,0.624553,0.026392,15.480261
